,Feb2026,Mar2026,Apr2026,mean,std,cv
idm_volume_lag,0.6785714285714286,0.6428571428571428,0.4642857142857143,0.5952380952380952,0.09373818897633107,0.1574801574802362
dow_sin,0.7142857142857143,0.7142857142857143,0.35714285714285715,0.5952380952380952,0.16835875742536846,0.282842712474619
load_rmean8,0.3928571428571429,0.5714285714285714,0.7857142857142858,0.5833333333333334,0.16060401860990528,0.2753211747598376
load_rmean4,0.75,0.2857142857142857,0.5357142857142857,0.5238095238095237,0.18973068393463366,0.36221312387520976
proxy_rmean8,0.4642857142857143,0.5714285714285714,0.4642857142857143,0.5,0.05050762722761051,0.10101525445522103
damas_fe_rmean4,0.4642857142857143,0.5357142857142857,0.4642857142857143,0.48809523809523814,0.033671751485073675,0.06898602743283387
reg_vol_rmean4,0.4642857142857143,0.3214285714285714,0.6785714285714286,0.48809523809523814,0.14677176197545183,0.3007031220960476
nowcast_momentum_h2h3,0.5357142857142857,0.3214285714285714,0.6071428571428571,0.4880952380952381,0.12140522651411392,0.24873265919964804
dow_cos,0.5357142857142857,0.35714285714285715,0.5,0.46428571428571425,0.07715167498104594,0.16617283842071434
proxy_yesterday_2,0.3928571428571429,0.5714285714285714,0.4285714285714286,0.46428571428571425,0.07715167498104593,0.16617283842071431
load_momentum,0.5357142857142857,0.35714285714285715,0.5,0.46428571428571425,0.07715167498104594,0.16617283842071434
da_price_qh_dev_hourly,0.2142857142857143,0.3928571428571429,0.7142857142857143,0.4404761904761905,0.20688270472598533,0.46967965397250716
nowcast_momentum_h4h5,0.2857142857142857,0.5357142857142857,0.4642857142857143,0.42857142857142855,0.10514001031342675,0.2453266907313291
nowcast_pred_error_abs,0.3928571428571429,0.3928571428571429,0.4642857142857143,0.4166666666666667,0.033671751485073675,0.08081220356417682
prod_rmean8,0.6428571428571428,0.2142857142857143,0.2857142857142857,0.38095238095238093,0.18747637795266212,0.4921254921257381
nowcast_pred_rmean4,0.2142857142857143,0.35714285714285715,0.5714285714285714,0.38095238095238093,0.1467717619754518,0.385275875185561
is_peak,0.3928571428571429,0.35714285714285715,0.3928571428571429,0.38095238095238093,0.016835875742536865,0.04419417382415927
reg_rmean8,0.4642857142857143,0.25,0.4285714285714286,0.38095238095238093,0.0937381889763311,0.24606274606286915
da_price_qh_diff_prev,0.5357142857142857,0.3928571428571429,0.17857142857142858,0.36904761904761907,0.1467717619754518,0.3977041292238049
xborder_deviation,0.25,0.4285714285714286,0.3928571428571429,0.3571428571428572,0.07715167498104597,0.21602468994692867
nowcast_momentum_h3h4,0.3928571428571429,0.3928571428571429,0.2142857142857143,0.3333333333333333,0.08417937871268424,0.25253813613805276
proxy_rmin4,0.2142857142857143,0.4642857142857143,0.3214285714285714,0.3333333333333333,0.10240863413145984,0.3072259023943795
proxy_abs_rmean8,0.35714285714285715,0.3214285714285714,0.2857142857142857,0.32142857142857145,0.029160592175990225,0.09072184232530292
xborder_rmean8,0.07142857142857142,0.2857142857142857,0.5714285714285714,0.3095238095238095,0.20481726826291966,0.6617173282340482
prod_vol,0.35714285714285715,0.14285714285714285,0.35714285714285715,0.28571428571428575,0.10101525445522108,0.35355339059327373
damas_fe_abs,0.10714285714285715,0.2142857142857143,0.5357142857142857,0.28571428571428575,0.1821078397711709,0.6373774391990981
proxy_lag17,0.14285714285714285,0.5,0.2142857142857143,0.2857142857142857,0.1543033499620919,0.5400617248673217
proxy_rstd8,0.25,0.10714285714285715,0.35714285714285715,0.2380952380952381,0.10240863413145984,0.4301162633521313
proxy_lag_neg,0.25,0.25,0.2142857142857143,0.2380952380952381,0.016835875742536838,0.07071067811865471
proxy_range8,0.2857142857142857,0.3214285714285714,0.10714285714285715,0.23809523809523805,0.09373818897633107,0.39370039370059057
proxy_lag9,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.23809523809523805,0.06734350297014738,0.28284271247461906
proxy_lag96_diff,0.3214285714285714,0.07142857142857142,0.3214285714285714,0.23809523809523805,0.1178511301977579,0.4949747468305833
prod_deviation,0.14285714285714285,0.2142857142857143,0.3214285714285714,0.2261904761904762,0.07338588098772589,0.324442842261525
proxy_pos_ratio_8,0.25,0.25,0.17857142857142858,0.2261904761904762,0.03367175148507369,0.14886458551295736
proxy_momentum4,0.10714285714285715,0.14285714285714285,0.4285714285714286,0.2261904761904762,0.1438457853999354,0.6359497880839249
proxy_rmean4,0.10714285714285715,0.35714285714285715,0.14285714285714285,0.2023809523809524,0.11040022018447268,0.5455069703232767
xborder_rmean4,0.14285714285714285,0.2142857142857143,0.2142857142857143,0.19047619047619047,0.0336717514850737,0.17677669529663695
reg_rmean4,0.14285714285714285,0.17857142857142858,0.25,0.19047619047619047,0.044543540318737404,0.2338535866733714
xborder_momentum,0.3928571428571429,0.14285714285714285,0.0,0.1785714285714286,0.16235930591649833,0.9092121131323905
proxy_lag10,0.10714285714285715,0.35714285714285715,0.07142857142857142,0.17857142857142858,0.12710807442894417,0.7118052168020873
