feature,pnl_drop_mean,pnl_drop_std,pnl_drop_pct,is_positive,rank,cumulative_pct
proxy_momentum,37.32800509616827,116.6627979875059,0.14520574689269078,True,45,133.4458019525293
prod_rmean4,36.2601972692788,395.4686894830437,0.14105197996510155,True,46,133.58685393249442
proxy_lag_neg,19.46148815930392,80.81409495331789,0.07570508835215158,True,47,133.66255902084657
xborder_rmean8,16.96896435639428,150.3741125330778,0.06600918364154984,True,48,133.7285682044881
proxy_acceleration,13.757063210335764,118.95252936964194,0.053514904784231765,True,49,133.78208310927235
proxy_abs_rmean8,8.877128836364136,223.3208759590913,0.03453198529163335,True,50,133.81661509456399
month_cos,0.0,0.0,0.0,False,51,133.81661509456399
month_sin,0.0,0.0,0.0,False,52,133.81661509456399
proxy_yesterday,-2.226882052016299,302.5695490139408,-0.008662559672607503,False,53,133.80795253489137
load_rstd4,-6.257878872726724,161.91700544290785,-0.024343116470790186,False,54,133.78360941842058
proxy_lag13,-13.226208095670154,167.33571542947686,-0.051449881131930095,False,55,133.73215953728865
proxy_lag18,-19.769566812858464,98.84897774924298,-0.07690351272216098,False,56,133.65525602456648
proxy_momentum4,-20.080137413563353,88.14490899192892,-0.07811163075370545,False,57,133.57714439381277
damas_fe,-22.569504953092473,322.30765011085214,-0.08779525761607025,False,58,133.4893491361967
proxy_lag96_diff,-25.969645854474585,41.207515433697004,-0.10102178814867184,False,59,133.38832734804802
proxy_lag23,-34.24983529659912,117.69849924829596,-0.13323168228202015,False,60,133.255095665766
proxy_rmean32,-39.23485346400666,290.65703419672667,-0.15262337718795413,False,61,133.10247228857804
proxy_rmean8,-59.59999982057889,227.29730080931805,-0.2318436912568831,False,62,132.87062859732117
temp_national,-65.07456457342013,194.4212217288278,-0.25313971984991157,False,63,132.61748887747126
proxy_lag14,-69.05765216643631,392.59551679803604,-0.26863390999998454,False,64,132.34885496747128
proxy_lag12,-74.18466403866515,124.70036817809203,-0.2885779596837728,False,65,132.0602770077875
damas_fe_rmean4,-77.19517369550121,239.48352043277177,-0.3002888266889161,False,66,131.75998818109858
da_supply,-91.60299613578135,392.99058985398347,-0.3563351815141544,False,67,131.40365299958444
proxy_dev_from_hour,-96.36742472407204,225.93414807888365,-0.37486878409745056,False,68,131.02878421548698
load_momentum,-97.8435829717193,326.669620856845,-0.38061103205121083,False,69,130.64817318343577
load_rmean16,-97.91423578503709,169.41174208541216,-0.38088587112984496,False,70,130.26728731230594
temp_rmean24h,-115.9325769481853,175.01761793747056,-0.45097712512591825,False,71,129.81631018718002
da_price_change24h,-117.3246439591876,398.71984627604996,-0.45639225860375887,False,72,129.35991792857627
reg_rstd8,-118.05060854887779,119.73202894813106,-0.4592162571054745,False,73,128.90070167147078
proxy_lag19,-119.96078790940518,246.64957123739816,-0.4666468449450816,False,74,128.4340548265257
imb_price_rmean4,-148.58124161049454,151.85666067104552,-0.5779802619162703,False,75,127.85607456460944
reg_momentum,-158.06113936996334,92.02246531631282,-0.6148570152033436,False,76,127.2412175494061
xborder_vol,-186.28012305041412,111.40648739728168,-0.7246287158692633,False,77,126.51658883353684
damas_fe_rmean24,-201.4620263561381,500.456708124932,-0.7836862412602077,False,78,125.73290259227663
reg_rmean8,-206.73994583819803,242.4955509872492,-0.8042173207662664,False,79,124.92868527151036
da_flow_cz,-213.50745745141649,240.89436885336906,-0.8305429059635108,False,80,124.09814236554685
load_ramp4,-214.91267447215395,160.7582942927312,-0.8360091929112548,False,81,123.2621331726356
da_flow_hu,-218.3949445197897,551.701483951314,-0.8495552053982949,False,82,122.41257796723731
proxy_rmax4,-219.58344183950356,273.0420152098641,-0.8541784538291821,False,83,121.55839951340813
proxy_pos_ratio_8,-219.78530624842023,158.56629871481366,-0.8549637053365231,False,84,120.70343580807162
prod_deviation,-222.80773539765178,171.8432992026644,-0.8667209391054784,False,85,119.83671486896614
proxy_lag_pos,-234.59282661231228,119.35909372325452,-0.9125648830187556,False,86,118.92414998594738
proxy_pos_ratio_16,-235.91542316146297,109.3992218234523,-0.9177097767590545,False,87,118.00644020918833
pressure_change6h,-255.699843323222,456.93761799151247,-0.9946710689316687,False,88,117.01176914025666
proxy_lag16,-274.08116338608016,318.4282505017224,-1.0661743089715414,False,89,115.94559483128512
nowcast_pred_error_abs,-283.6141647904169,328.9363801196094,-1.1032576351626826,False,90,114.84233719612244
