datetime,direction,pred,target,size,pnl,spread,limit_price,thresh_s,thresh_d,scale_s,scale_d,month,week
2026-02-26 16:00:00,surplus,6.383046262261706,-11.289,3.191523131130853,-40.486126521019145,0.480000000000004,67.81,5.0,3.0,0.5,1.0,2026-02,2026-02-23/2026-03-01
2026-02-27 03:00:00,deficit,-5.065011053204727,-0.851,4.052008842563782,-6.239612441498165,1.6800000000000068,68.91,3.0,4.0,1.3,0.8,2026-02,2026-02-23/2026-03-01
2026-02-27 08:30:00,surplus,3.396763507607794,1.336,4.415792559890132,33.945135763794426,0.07000000000000739,67.65,3.0,4.0,1.3,0.8,2026-02,2026-02-23/2026-03-01
2026-02-27 08:45:00,surplus,5.274465740006777,1.119,5.0,21.7235625,1.6400000000000006,54.28,3.0,4.0,1.3,0.8,2026-02,2026-02-23/2026-03-01
2026-02-27 09:15:00,surplus,3.5486019874158363,5.999,4.6131825836405875,26.239004061186673,1.1899999999999977,60.78,3.0,4.0,1.3,0.8,2026-02,2026-02-23/2026-03-01
2026-02-27 09:30:00,surplus,6.072630195925274,5.2,5.0,15.451656250000001,1.5900000000000034,50.39,3.0,4.0,1.3,0.8,2026-02,2026-02-23/2026-03-01
2026-02-27 09:45:00,surplus,7.726151727969378,8.413,5.0,-10.86084375,2.3000000000000007,29.34,3.0,4.0,1.3,0.8,2026-02,2026-02-23/2026-03-01
2026-02-27 10:00:00,surplus,3.5410264874329704,29.12,4.603334433662861,51.72450423864643,1.990000000000002,40.88,3.0,4.0,1.3,0.8,2026-02,2026-02-23/2026-03-01
2026-02-27 10:15:00,surplus,6.5816388610486785,24.496,5.0,8.7690625,1.08,2.95,3.0,4.0,1.3,0.8,2026-02,2026-02-23/2026-03-01
2026-02-27 10:30:00,surplus,9.326778928487675,11.655,5.0,-1.2184374999999992,1.13,-5.04,3.0,4.0,1.3,0.8,2026-02,2026-02-23/2026-03-01
2026-02-27 10:45:00,surplus,10.41233017115189,27.31,5.0,-2.893437499999999,0.5200000000000005,-6.38,3.0,4.0,1.3,0.8,2026-02,2026-02-23/2026-03-01
2026-02-27 11:00:00,surplus,10.161944429045633,21.244,5.0,62.08875,0.3799999999999999,1.38,3.0,4.0,1.3,0.8,2026-02,2026-02-23/2026-03-01
2026-02-27 11:15:00,surplus,13.342477515675323,28.365,5.0,56.988749999999996,0.5999999999999996,-2.7,3.0,4.0,1.3,0.8,2026-02,2026-02-23/2026-03-01
2026-02-27 11:30:00,surplus,11.98288009230062,41.402,5.0,57.701249999999995,0.8400000000000003,-2.13,3.0,4.0,1.3,0.8,2026-02,2026-02-23/2026-03-01
2026-02-27 11:45:00,surplus,11.65748622091976,30.434,5.0,55.81375,0.37999999999999945,-3.64,3.0,4.0,1.3,0.8,2026-02,2026-02-23/2026-03-01
2026-02-27 13:00:00,surplus,16.7822608240206,23.609,5.0,56.901875,0.75,-3.02,3.0,4.0,1.3,0.8,2026-02,2026-02-23/2026-03-01
2026-02-27 13:30:00,surplus,18.323311967857073,8.108,5.0,59.03937499999999,0.5999999999999999,-1.31,3.0,4.0,1.3,0.8,2026-02,2026-02-23/2026-03-01
2026-02-27 13:45:00,surplus,19.235766426623478,12.241,5.0,62.364375,0.6200000000000001,1.35,3.0,4.0,1.5,0.8,2026-02,2026-02-23/2026-03-01
2026-02-27 14:00:00,surplus,23.746365727242438,16.568,5.0,42.333437499999995,0.4300000000000006,-4.27,3.0,4.0,1.5,0.8,2026-02,2026-02-23/2026-03-01
2026-02-27 14:15:00,surplus,23.603734033341855,14.773,5.0,44.020937499999995,0.20999999999999996,-2.92,3.0,4.0,1.5,0.8,2026-02,2026-02-23/2026-03-01
2026-02-27 14:30:00,surplus,16.94216646598306,7.995,5.0,49.6709375,0.8,1.6,3.0,4.0,1.5,0.8,2026-02,2026-02-23/2026-03-01
2026-02-27 15:00:00,surplus,12.479657789448762,-4.893,5.0,-143.10084375,0.9699999999999998,7.37,3.0,4.0,1.5,0.8,2026-02,2026-02-23/2026-03-01
2026-02-27 15:15:00,surplus,5.948443015234873,-7.34,5.0,-78.96334374999999,0.7800000000000011,58.68,3.0,4.0,1.5,0.8,2026-02,2026-02-23/2026-03-01
2026-02-27 18:45:00,surplus,3.2029800114940064,2.966,4.80447001724101,39.45040414969417,2.1200000000000045,120.06,3.0,4.0,1.5,0.8,2026-02,2026-02-23/2026-03-01
