spread,hour,mean,median,std,q25,q75,pct_positive,count,skew,kurtosis
DA-Imbalance,3,44.521677878548886,34.191025,67.49572736522016,10.168568749999986,63.06037500000002,81.86119873817034,634,1.7809860418334742,6.954065757735944
DA-Imbalance,4,39.98696894778481,34.05602499999999,71.30893234432214,4.324587499999996,66.623225,78.16455696202532,632,0.5484832682262285,7.064144235439324
DA-Imbalance,5,45.1959567063492,38.600750000000005,83.007274109871,11.897412500000002,65.703675,84.12698412698413,630,1.5704760381825877,15.232301972622553
DA-Imbalance,6,32.47847452531646,31.837049999999994,60.33992648879286,2.3362374999999957,60.34746249999999,77.53164556962025,632,0.5272817858905433,3.5701541663790493
DA-Imbalance,7,21.864956042654025,31.828525000000013,146.8933894222555,0.857325000000003,63.608125,75.35545023696683,633,-9.587788598864835,108.37996621935386
DA-Imbalance,8,35.07357819400631,30.411600000000014,75.77280913172571,1.2526750000000106,72.2587,76.34069400630915,634,-2.2577084677455987,21.94535381274343
DA-Imbalance,9,15.018393099369085,24.9761875,115.53433449770438,-9.586349999999992,56.568325,68.92744479495269,634,-7.553115247534296,77.85612461258467
DA-Imbalance,10,9.69564787066246,17.045950000000005,109.85996292176455,-16.535674999999998,49.068725,62.93375394321766,634,-5.8907426733619035,55.59110440793008
DA-Imbalance,11,4.098573895899054,4.888999999999996,76.72618638193202,-24.31980625000001,38.319925,55.83596214511041,634,-0.19230126682449583,13.219527448165636
DA-Imbalance,12,23.397233911671925,13.6911125,150.15995608549875,-15.913887499999998,47.71994375,62.618296529968454,634,11.0222635908338,152.18113797391428
DA-Imbalance,13,-0.6613599763406937,1.17649999999999,85.3384171413545,-33.68188125,35.30501875,52.05047318611987,634,0.8487748193293592,33.593706392479376
DA-Imbalance,14,-15.54511238170347,-11.547774999999998,108.04870745548246,-39.31252499999999,22.347250000000003,40.851735015772874,634,-6.867606777622322,70.69092301227924
DA-Imbalance,15,-13.132071214511042,-8.954625000000007,92.30198306995113,-41.19735000000001,19.119025,42.90220820189275,634,-6.856071420265287,118.95272304235347
DA-Imbalance,16,2.0402367902208205,5.548424999999995,70.3558224068828,-22.0868,32.9346125,53.785488958990534,634,-0.8075277609178749,4.7728443143183155
DA-Imbalance,17,12.731598343848578,10.44351249999999,58.99021004216516,-18.5655,41.58348749999999,58.0441640378549,634,0.3845989507356996,3.1313641168655346
DA-Imbalance,18,18.669395701892746,14.052412500000003,58.549297799750946,-14.038174999999995,47.97114375000001,63.09148264984227,634,0.15426893317400284,3.269967308817593
DA-Imbalance,19,23.13701640378549,18.691025,74.42338593025067,-11.117281250000003,54.605481250000004,64.66876971608832,634,-4.015179286872959,65.79634574977727
DA-Imbalance,20,32.66613375394322,23.664562499999988,57.494306604764255,-1.8145999999999989,60.87927499999999,73.65930599369085,634,0.5011794271597773,2.105270922072907
DA-Imbalance,21,26.894524802839115,22.242475,67.74528939962629,-1.8705562500000035,52.85715,72.55520504731862,634,-2.763914647099577,48.69785670468278
DA-Imbalance,22,16.199799723974767,14.043750000000005,42.74459250451023,-9.680781249999992,39.321793750000005,65.29968454258676,634,0.5329439342146063,1.9718817213764401
DA-Imbalance,23,2.5686759083728274,9.265,55.942381413884156,-15.406549999999996,30.632749999999994,61.29541864139021,633,-1.9943156468511318,9.233401439504167
IDM-Imbalance,0,10.425018072755417,10.653500000000008,66.5364325318,-10.067156249999996,33.3118125,63.46749226006192,646,-4.725431593690965,68.68079686302325
IDM-Imbalance,1,3.025860764984228,10.749550000000006,72.89522882044457,-7.128749999999997,23.84295625,68.29652996845425,634,-7.260753374633748,69.02714458654951
IDM-Imbalance,2,2.1988263779527557,10.420325000000004,69.6065277955412,-7.513762500000006,22.9553,67.08661417322834,635,-7.153563198345806,67.52343925552523
IDM-Imbalance,3,9.792356111987383,11.348974999999989,38.14584481379811,-6.945450000000008,27.7484,68.92744479495269,634,-0.3759610234706104,12.271047731132917
IDM-Imbalance,4,1.8991841376582281,7.112349999999996,49.33636796178953,-9.1385625,26.38607499999999,65.82278481012658,632,-3.517819570819473,18.218692824844208
IDM-Imbalance,5,13.764686865079366,14.640625,60.52146351492235,-4.730649999999997,32.070375000000006,70.7936507936508,630,2.460262853046006,28.015151764598162
IDM-Imbalance,6,18.93535743670886,17.834500000000006,48.95913231598414,-1.7087749999999922,43.694118749999994,73.10126582278481,632,-1.8853009160450083,14.403822473607935
IDM-Imbalance,7,25.791733293838863,31.64075,135.35739901746075,11.66435,57.192350000000005,84.04423380726699,633,-10.030119944114203,115.02615078931393
IDM-Imbalance,8,31.458893651419558,28.78925000000001,60.85072790765334,6.702675000000003,54.74985,80.12618296529969,634,-0.7146981458597343,14.8407706571248
IDM-Imbalance,9,10.625475118296531,19.8151,106.76033454890272,-10.201974999999996,45.28576875,69.08517350157729,634,-7.58623486611924,77.60998606143532
IDM-Imbalance,10,6.5430453470031535,13.585075,105.86196508430976,-16.19375,42.7792875,64.82649842271293,634,-6.264684892158059,58.08672200363041
IDM-Imbalance,11,6.933968217665616,7.8849500000000035,71.4309869965315,-19.82340625,38.36835,58.51735015772871,634,-0.6238654158629918,12.177292243904017
IDM-Imbalance,12,13.291114037854893,4.518000000000001,142.4250647379722,-23.303906250000004,31.4701,54.25867507886435,634,11.665630092966119,166.51938732644058
IDM-Imbalance,13,-2.4389467271293372,-2.094825,73.20306314908858,-26.19877500000001,24.372918750000007,46.52996845425867,634,1.5660937449252803,39.96996230703759
IDM-Imbalance,14,-7.179150236593061,-5.693775000000002,105.09417077545662,-23.96370625,23.98398125,45.89905362776025,634,-7.014189756317283,73.5096538913057
IDM-Imbalance,15,8.960136987381704,11.065975000000009,87.7685300747343,-20.080937500000005,39.3483,60.41009463722398,634,-6.708385412270155,120.64493712821023
IDM-Imbalance,16,19.57414846214511,17.93979999999999,64.42717364497004,-8.006862499999999,48.9325,68.45425867507886,634,-0.5169892936767072,3.9894040753723115
IDM-Imbalance,17,34.385494242902205,33.714625,55.65350225311309,3.9625749999999904,60.43270000000001,76.81388012618297,634,0.13040744647111369,2.1832031025580534
IDM-Imbalance,18,42.83624112776025,37.09903750000001,50.16180104164409,15.0929375,66.56390625,88.32807570977917,634,-0.35954058995196236,6.148822637512228
IDM-Imbalance,19,51.40460315457413,44.307725000000005,68.97415086505909,22.10409999999999,76.6761625,89.74763406940063,634,-5.836067013458685,106.65855584035671
IDM-Imbalance,20,43.37069211356467,37.2703375,46.133368960173186,12.843975,68.16578750000001,86.90851735015774,634,0.3580389860594596,2.621044372170217
IDM-Imbalance,21,33.252915970031545,31.279875000000004,55.885625630035015,11.10780625,53.0945,84.38485804416403,634,-5.275526601031328,96.01361717309
IDM-Imbalance,22,23.673758714511038,20.457175000000014,35.183002720232565,1.1216749999999962,42.297087499999996,76.34069400630915,634,0.5998914530736106,2.923072157428005
IDM-Imbalance,23,9.66995552922591,14.913775000000015,49.60464683861387,-3.894225000000006,30.3368,69.3522906793049,633,-3.1565638079158624,16.93281361181582
