target,feature,pearson_r,pearson_p,spearman_r,spearman_p,n_obs,abs_spearman
DA-IDM,prev2_flow_cz_mean,0.015534239885348551,0.759749009952275,0.04219751609149303,0.4059569691467889,390,0.04219751609149303
DA-IDM,prev2_flow_pl_mean,-0.04222408586454879,0.40566117717657735,0.04106060475793347,0.41873363139651687,390,0.04106060475793347
DA-IDM,temp_forecast_mean,0.1078284901277286,0.216679419094675,0.03564542291957845,0.6837640209113842,133,0.03564542291957845
DA-IDM,prev2_da_price_range,-0.014294117687469578,0.7784078492593602,-0.03514259690171432,0.48893935297068647,390,0.03514259690171432
DA-IDM,prev_load_actual_mean,-0.01999085665389968,0.6939059891627437,0.034280919836352584,0.4996635088512268,390,0.034280919836352584
DA-IDM,net_import_mean,0.03806541120095608,0.4535014413601161,0.03295272765157511,0.5164343010914908,390,0.03295272765157511
DA-IDM,prev2_da_price_std,-0.009505292842604944,0.8515695407276738,-0.03241137983509728,0.5233522147560037,390,0.03241137983509728
DA-IDM,flow_pl_mean,-0.0066636059971673465,0.8956370886591825,0.028762339508629754,0.5711867131489959,390,0.028762339508629754
DA-IDM,prev2_flow_hu_mean,0.04709273264855015,0.3536480737360087,-0.02737053346327569,0.589962285012096,390,0.02737053346327569
DA-IDM,prev2_spread_da_idm_mean,-0.1156623158769746,0.022691754395326082,-0.025649006267415047,0.6144865309012973,388,0.025649006267415047
DA-IDM,gas_mean,-0.13414515080590075,0.007986253617059685,-0.022304804512445587,0.6605707225609,390,0.022304804512445587
DA-IDM,prev_flow_cz_mean,-0.014522126614482819,0.7749673179049134,0.020133546622215184,0.6918323832587225,390,0.020133546622215184
DA-IDM,solar_actual_mean,0.03353058205763406,0.5091023169051752,-0.01951441743301993,0.7008461982680737,390,0.01951441743301993
DA-IDM,solar_forecast_mean,0.05704822259228218,0.47366095953142906,-0.018503977398805257,0.8163488536754752,160,0.018503977398805257
DA-IDM,load_forecast_mean,-0.10332573747286553,0.041406971992119554,-0.018502528591583047,0.7156683643505127,390,0.018502528591583047
DA-IDM,month,0.025420166491445444,0.6167388466713072,-0.01761756573659262,0.7287196440243111,390,0.01761756573659262
DA-IDM,prev_net_import_mean,0.06859588038384719,0.1764058167883346,0.015014411160342429,0.7675540837684521,390,0.015014411160342429
DA-IDM,prev_da_price_range,0.057390391849698026,0.2581967224536329,-0.010319493325956223,0.8390217598454491,390,0.010319493325956223
DA-IDM,flow_cz_mean,-0.04219613702159296,0.40597232535037164,-0.010303309534731174,0.8392707853621029,390,0.010303309534731174
DA-IDM,prev2_da_supply_mean,-0.03725207911191655,0.4632151985421819,0.009435251432897702,0.8526507586184764,390,0.009435251432897702
DA-IDM,prev_da_price_std,0.08412234861003456,0.09713749510325431,0.006182309396663205,0.9031365372356809,390,0.006182309396663205
DA-Imbalance,da_price_mean,0.4340015990073089,3.756924087171623e-18,0.48054660159267876,1.981496047498176e-22,364,0.48054660159267876
DA-Imbalance,da_price_min,0.27174196983613386,1.3935623607505284e-07,0.37027333515484656,2.8522250145914e-13,364,0.37027333515484656
DA-Imbalance,da_demand_mean,0.24065794500446164,3.4156369463246334e-06,0.3281453495536444,1.3839700878721552e-10,364,0.3281453495536444
DA-Imbalance,prev_spread_da_imb_mean,0.23336828878342347,7.018785467969465e-06,0.32523353090907087,2.1731533526054205e-10,363,0.32523353090907087
DA-Imbalance,da_price_max,0.3124586500350211,1.1007113646210791e-09,0.30504903627493984,2.81277490079302e-09,364,0.30504903627493984
DA-Imbalance,da_price_change,0.30988531438120953,1.5292185087945462e-09,0.30218125585497935,4.016127388583299e-09,364,0.30218125585497935
DA-Imbalance,prev_spread_idm_imb_mean,0.18036448283433346,0.0005645028906183334,0.2885623178895814,2.2621778560298945e-08,362,0.2885623178895814
DA-Imbalance,da_supply_mean,0.20364822346101585,9.112649202597698e-05,0.28527835800563073,3.032035247888358e-08,364,0.28527835800563073
DA-Imbalance,prev_da_price_mean,0.18575611430454653,0.0003668251926910483,0.261738510555447,4.083040235631001e-07,364,0.261738510555447
DA-Imbalance,nuclear_mean,0.1757770685799589,0.0007562204815116638,0.2495730140792652,1.4235205854855733e-06,364,0.2495730140792652
DA-Imbalance,load_forecast_mean,0.16751837786637028,0.001337774208858126,0.24223679254644181,2.9323276731911124e-06,364,0.24223679254644181
