date,spread_mean,spread_sum,spread_std,spread_positive_pct,reg_vol,n_hours,direction,direction_binary,dow,dow_name,month,year_month,is_weekend,direction_lag1,direction_lag2,direction_lag3,spread_lag1,spread_lag2,reg_vol_lag1,direction_rolling_3d,direction_rolling_7d,spread_rolling_7d,period
2025-04-20,121.50801874999998,2916.1924499999996,331.837980750473,79.16666666666666,32.748530523537795,24,1.0,1,6,Sunday,4,2025-04,1,1.0,1.0,0.0,9.939710416666664,28.40532916666667,27.844587718283194,0.6666666666666666,0.7142857142857143,8.4734994047619,2025
2025-04-21,103.74060312499999,2489.7744749999997,399.1540330685308,75.0,27.22858368559696,24,1.0,1,0,Monday,4,2025-04,0,1.0,1.0,1.0,121.50801874999998,9.939710416666664,32.748530523537795,1.0,0.8571428571428571,27.453871130952376,2025
2025-04-22,48.550834375,1165.220025,52.607017435054324,91.66666666666666,24.907876735168,24,1.0,1,1,Tuesday,4,2025-04,0,1.0,1.0,1.0,103.74060312499999,121.50801874999998,27.22858368559696,1.0,0.8571428571428571,40.71046800595237,2025
2025-04-23,52.48399270833334,1259.615825,38.552695408935506,100.0,29.15636304468225,24,1.0,1,2,Wednesday,4,2025-04,0,1.0,1.0,1.0,48.550834375,103.74060312499999,24.907876735168,1.0,0.8571428571428571,46.715172619047614,2025
2025-04-24,47.38630625,1137.27135,72.63569933648863,70.83333333333334,27.137013260239105,24,1.0,1,3,Thursday,4,2025-04,0,1.0,1.0,1.0,52.48399270833334,48.550834375,29.15636304468225,1.0,0.8571428571428571,49.3699488095238,2025
2025-04-25,12.998466666666667,311.96320000000003,25.537632545945232,79.16666666666666,28.68596233662298,24,1.0,1,4,Friday,4,2025-04,0,1.0,1.0,1.0,47.38630625,52.48399270833334,27.137013260239105,1.0,1.0,58.859256398809514,2025
2025-04-26,52.45986145833333,1259.0366749999998,132.45553457443356,75.0,37.46608304258096,24,1.0,1,5,Saturday,4,2025-04,1,1.0,1.0,1.0,12.998466666666667,47.38630625,28.68596233662298,1.0,1.0,56.65827604166666,2025
2025-04-27,-1.3086708333333334,-31.4081,91.17453097512575,54.166666666666664,33.826537913973006,24,-1.0,0,6,Sunday,4,2025-04,1,1.0,1.0,1.0,52.45986145833333,12.998466666666667,37.46608304258096,1.0,1.0,62.732583333333324,2025
2025-04-28,29.874651041666667,716.991625,37.09463973446872,75.0,32.1904723926693,24,1.0,1,0,Monday,4,2025-04,0,0.0,1.0,1.0,-1.3086708333333334,52.45986145833333,33.826537913973006,0.6666666666666666,0.8571428571428571,45.1873419642857,2025
2025-04-29,4.452213541666665,106.85312499999995,45.5446695261778,41.66666666666667,30.73338985100327,24,1.0,1,1,Tuesday,4,2025-04,0,1.0,0.0,1.0,29.874651041666667,-1.3086708333333334,32.1904723926693,0.6666666666666666,0.8571428571428571,34.63506309523809,2025
