datetime,reg_mean,reg_std,reg_range,reg_abs_mean,reg_count,imbalance,imb_price,idm_price,idm_imb_spread,month,year_month,reg_vol_quartile,period
2025-01-03 20:00:00,-63.19175,50.343040605203,138.154,63.30164999999999,60,64.328,-43.726924999999994,178.70499999999998,222.43192499999998,2025-01,2025-01,Q4 (High),2025
2025-01-03 21:00:00,-22.556449999999998,40.30632834630525,177.606,31.59125,60,20.079,35.03595,132.355,97.31904999999999,2025-01,2025-01,Q4 (High),2025
2025-01-03 22:00:00,-38.1834,39.16975721278439,127.29299999999999,39.8531,60,37.834,27.194725,180.695,153.500275,2025-01,2025-01,Q4 (High),2025
2025-01-03 23:00:00,-34.382799999999996,19.746086083584736,74.61800000000001,34.382799999999996,60,29.257,78.19435,121.71000000000001,43.51565000000001,2025-01,2025-01,Q2,2025
2025-01-04 00:00:00,-7.917100000000001,48.00477407180192,159.972,42.81389999999999,60,11.321,31.667874999999995,152.38,120.712125,2025-01,2025-01,Q4 (High),2025
2025-01-04 01:00:00,-43.50495,37.38297942457871,113.723,44.48784999999999,60,46.539,-31.533925,106.29499999999999,137.828925,2025-01,2025-01,Q4 (High),2025
2025-01-04 02:00:00,-63.10845,23.321307829147674,100.707,63.10845,60,62.146,8.200325,104.74,96.53967499999999,2025-01,2025-01,Q2,2025
2025-01-04 03:00:00,-46.57005,20.667749631441893,83.443,46.57005,60,42.608000000000004,43.815625,99.555,55.73937500000001,2025-01,2025-01,Q2,2025
2025-01-04 04:00:00,-15.792200000000001,20.274219466511436,69.789,20.547999999999995,60,13.023,152.697025,94.195,-58.502025,2025-01,2025-01,Q2,2025
2025-01-04 05:00:00,-28.77655,29.708915505667335,133.144,37.22645,60,34.352000000000004,0.7609749999999997,83.64,82.879025,2025-01,2025-01,Q3,2025
2025-01-04 06:00:00,-11.858450000000001,23.03950547552572,78.66600000000001,16.580049999999996,60,8.133,79.722725,79.36500000000001,-0.35772499999998786,2025-01,2025-01,Q2,2025
2025-01-04 07:00:00,-31.341,28.086001533425737,111.029,36.034,60,32.379,-7.26875,97.25,104.51875,2025-01,2025-01,Q3,2025
2025-01-04 08:00:00,-62.2022,26.275984815551986,88.20200000000001,62.20219999999999,60,65.882,85.963325,124.17500000000001,38.211675000000014,2025-01,2025-01,Q3,2025
2025-01-04 09:00:00,-52.6092,17.031169604431607,62.093999999999994,52.60920000000001,60,53.736000000000004,89.957125,141.415,51.45787499999999,2025-01,2025-01,Q1 (Low),2025
2025-01-04 10:00:00,-55.23695,20.76537824542148,75.67599999999999,55.23694999999999,60,56.797999999999995,109.423475,122.16,12.736525,2025-01,2025-01,Q2,2025
2025-01-04 11:00:00,-49.49095,25.806202489511335,109.80399999999999,49.49094999999999,60,45.647000000000006,59.04875,134.18,75.13125000000001,2025-01,2025-01,Q3,2025
2025-01-04 12:00:00,18.33085,27.744771901970516,113.426,26.031750000000006,60,-21.706,135.317725,130.455,-4.862724999999983,2025-01,2025-01,Q3,2025
2025-01-04 13:00:00,16.57105,18.97617196079318,69.503,19.437249999999995,60,-15.492,131.924825,127.84,-4.084824999999995,2025-01,2025-01,Q1 (Low),2025
2025-01-04 14:00:00,-17.65555,30.046173156268015,103.332,29.407750000000007,60,15.833,124.32335,127.38499999999999,3.061649999999986,2025-01,2025-01,Q3,2025
2025-01-04 16:00:00,-5.344950000000001,28.57979786221231,112.906,22.955449999999995,60,2.4109999999999996,88.143,111.82,23.676999999999992,2025-01,2025-01,Q3,2025
2025-01-04 17:00:00,18.0136,33.26276312666071,99.628,31.8856,60,-19.808,92.11122499999999,141.32,49.208775,2025-01,2025-01,Q3,2025
2025-01-04 18:00:00,14.33255,27.189952068218762,107.133,25.673649999999995,60,-11.363999999999999,77.1564,136.0,58.843599999999995,2025-01,2025-01,Q3,2025
2025-01-04 19:00:00,8.702449999999999,24.999252012827245,93.381,18.257550000000005,60,-9.431999999999999,126.3023,137.31,11.0077,2025-01,2025-01,Q2,2025
2025-01-04 20:00:00,10.015500000000001,29.613614749392273,123.289,23.3909,60,-10.652,141.666725,157.67000000000002,16.003275000000002,2025-01,2025-01,Q3,2025
2025-01-04 21:00:00,48.90445,40.547004009962286,184.951,51.927150000000005,60,-51.487,163.766825,169.235,5.468175000000002,2025-01,2025-01,Q4 (High),2025
2025-01-04 22:00:00,15.44375,37.79680652352947,158.703,24.00965,60,-14.728000000000002,75.15,153.125,77.975,2025-01,2025-01,Q4 (High),2025
2025-01-04 23:00:00,31.705499999999997,32.8685831989831,128.96099999999998,37.8436,60,-33.605000000000004,156.45532500000002,123.35000000000001,-33.10532500000001,2025-01,2025-01,Q3,2025
2025-01-05 00:00:00,31.427799999999998,40.69779300466853,129.261,44.68049999999999,60,-30.953,121.197975,152.97500000000002,31.777025000000023,2025-01,2025-01,Q4 (High),2025
2025-01-05 01:00:00,47.635,37.0050705536142,143.233,48.693200000000004,60,-43.345,146.280225,111.71000000000001,-34.57022499999999,2025-01,2025-01,Q4 (High),2025
2025-01-05 02:00:00,22.924699999999998,22.734918096567387,98.2,24.805500000000002,60,-24.498,117.5189,107.7,-9.8189,2025-01,2025-01,Q2,2025
2025-01-05 03:00:00,11.368149999999998,9.323495652410015,37.958999999999996,13.205450000000003,60,-9.461,73.123775,94.905,21.781225000000006,2025-01,2025-01,Q1 (Low),2025
2025-01-05 04:00:00,13.53245,21.160282225878124,77.07300000000001,20.299249999999994,60,-13.688,137.501875,81.205,-56.296875000000014,2025-01,2025-01,Q2,2025
2025-01-05 05:00:00,48.774750000000004,27.47696776416044,102.815,53.21694999999999,60,-48.676,98.695825,88.88,-9.815825000000004,2025-01,2025-01,Q3,2025
2025-01-05 06:00:00,27.995749999999997,23.72437609947461,90.938,33.094649999999994,60,-34.289,98.5917,80.65,-17.941699999999997,2025-01,2025-01,Q2,2025
2025-01-05 07:00:00,49.6374,22.0898733277015,92.489,49.6374,60,-45.828,66.96407500000001,81.17,14.205924999999993,2025-01,2025-01,Q2,2025
2025-01-05 08:00:00,-20.06295,24.637149930387096,98.313,26.98445,60,25.668,-3.765025,99.655,103.420025,2025-01,2025-01,Q2,2025
2025-01-05 09:00:00,-36.28675,29.61273530181034,112.627,41.37524999999999,60,34.762,6.8885749999999994,105.605,98.716425,2025-01,2025-01,Q3,2025
2025-01-05 10:00:00,-35.469849999999994,28.988532304113136,101.599,37.00685000000001,60,36.215,-0.48744999999999994,90.08000000000001,90.56745000000001,2025-01,2025-01,Q3,2025
2025-01-05 11:00:00,33.376799999999996,31.544749915753936,154.406,41.35620000000001,60,-39.914,106.265425,86.165,-20.100424999999987,2025-01,2025-01,Q3,2025
2025-01-05 12:00:00,41.3741,16.771361758785954,63.35000000000001,41.374100000000006,60,-38.657,258.8891,105.89500000000001,-152.99409999999997,2025-01,2025-01,Q1 (Low),2025
2025-01-05 13:00:00,-18.171049999999997,16.623981103911913,61.887,18.62515000000001,60,19.212,118.07195,110.16499999999999,-7.906950000000009,2025-01,2025-01,Q1 (Low),2025
2025-01-05 14:00:00,4.25205,12.862153253615489,43.730000000000004,11.11075,60,-6.132,153.7104,110.07,-43.6404,2025-01,2025-01,Q1 (Low),2025
