date,spread_mean,direction_binary,period,da_price_mean,da_price_std,da_price_max,da_price_min,da_price_range,morning_idm_price,morning_imb_price,morning_spread,morning_spread_positive,prev_afternoon_spread,prev_afternoon_positive
2025-06-04,0.4659885416666682,1,2025,80.97166666666666,51.274994979472474,220.76,9.69,211.07,66.80714285714285,113.42101785714286,-46.613875,0.14285714285714285,13.37689583333333,0.5833333333333334
2025-06-05,11.179779166666668,1,2025,91.755,47.87787525705829,220.59,8.06,212.53,97.63,72.49908928571429,25.13091071428571,0.8571428571428571,4.330175000000001,0.5
2025-06-06,25.657538541666668,1,2025,60.242916666666666,50.40937192705053,172.92,0.04,172.88,63.55214285714286,24.070407142857142,39.48173571428572,1.0,-9.48341458333333,0.3333333333333333
2025-06-07,-68.58977916666667,0,2025,70.3975,48.8363377049793,164.53,-0.02,164.55,96.92857142857143,203.60528928571426,-106.67671785714286,0.7142857142857143,6.8383999999999965,0.5
2025-06-08,-32.02922083333333,0,2025,43.92875,52.54231853944019,161.49,-32.42,193.91000000000003,79.20142857142856,17.413907142857145,61.78752142857143,1.0,-69.44558958333333,0.25
2025-06-09,175.16553541666667,1,2025,52.695,57.55639948554053,193.9,-8.42,202.32,29.642142857142858,-3.3982821428571452,33.040425000000006,0.8571428571428571,-64.17564375,0.5
2025-06-10,26.53822604166667,1,2025,76.75666666666667,52.95296269304499,208.8,-0.19,208.99,69.99214285714285,3.286417857142857,66.705725,1.0,323.4517333333334,1.0
2025-06-11,-3.2650895833333315,0,2025,79.31958333333334,54.48024488222806,218.01,1.32,216.69,89.86857142857143,95.75121785714285,-5.882646428571426,0.5714285714285714,16.816764583333335,0.5
2025-06-12,28.96769791666667,1,2025,76.35125000000001,55.497455195280565,204.53,0.01,204.52,91.52285714285715,59.195567857142855,32.327289285714286,0.8571428571428571,0.7727770833333322,0.3333333333333333
2025-06-13,22.846380208333333,1,2025,72.38958333333333,50.37710258675297,184.92,-1.4,186.32,83.16714285714285,87.88263214285713,-4.715489285714287,0.42857142857142855,26.47170416666667,0.4166666666666667
2025-06-14,35.32147291666667,1,2025,54.1275,62.86539140860034,175.28,-28.26,203.54,93.44857142857143,61.216632142857144,32.23193928571428,1.0,36.007210416666666,0.5
2025-06-15,42.52543958333333,1,2025,63.38625,55.54382357652379,162.0,-5.8,167.8,96.64785714285713,41.08777857142858,55.560078571428576,1.0,29.856137500000006,0.6666666666666666
2025-06-16,68.78716874999999,1,2025,93.41666666666667,39.22705174246208,189.91,39.38,150.53,94.95285714285714,36.681985714285716,58.27087142857142,1.0,47.193785416666664,0.6666666666666666
2025-06-17,10.194207291666672,1,2025,92.05666666666667,64.60132201276613,250.07,6.02,244.04999999999998,95.20928571428571,93.05041428571428,2.15887142857143,0.5714285714285714,77.73871458333333,1.0
2025-06-18,5.1641218749999975,1,2025,93.16375,57.30011592768454,231.25,1.17,230.08,99.27071428571428,79.78794285714285,19.482771428571425,0.7142857142857143,5.802516666666672,0.25
2025-06-19,-76.42999583333334,0,2025,85.23958333333333,48.037948810349896,167.94,0.48,167.46,101.7807142857143,91.40523571428571,10.375478571428571,0.7142857142857143,-22.05730416666667,0.5
2025-06-20,23.061645833333333,1,2025,87.76041666666667,57.56944770027322,202.93,-0.44,203.37,105.30714285714285,66.42151428571428,38.885628571428576,1.0,-51.00813541666667,0.4166666666666667
2025-06-21,16.227024999999998,1,2025,74.62208333333334,61.49071976493806,166.9,-21.86,188.76,111.53785714285713,78.07516785714286,33.46268928571428,0.8571428571428571,9.040114583333333,0.5
2025-06-22,3.326838541666668,1,2025,46.611250000000005,72.88091563356593,145.42,-88.42,233.83999999999997,94.33928571428571,70.47268571428572,23.866600000000002,0.8571428571428571,3.090037499999999,0.4166666666666667
2025-06-23,43.259128125,1,2025,81.24208333333333,43.42945443892105,210.15,16.13,194.02,88.60428571428572,79.36428928571429,9.239996428571434,0.7142857142857143,-2.8253583333333303,0.5
2025-06-24,-7.143903125000001,0,2025,88.91666666666667,47.206987385036705,186.58,18.18,168.4,105.55071428571429,129.35920714285714,-23.80849285714286,0.42857142857142855,54.45940833333333,0.75
2025-06-25,-8.322145652173914,0,2025,104.97708333333333,58.927847147032764,240.25,13.66,226.59,117.33833333333332,62.1666625,55.17167083333333,0.8333333333333334,-0.7923770833333327,0.4166666666666667
2025-06-26,-63.933984375,0,2025,120.31833333333333,47.9629628546559,252.35,70.59,181.76,114.52714285714286,113.01606428571428,1.5110785714285737,0.42857142857142855,-50.051956249999996,0.4166666666666667
2025-06-27,44.64615729166667,1,2025,110.90916666666668,25.558274405360596,144.3,55.16,89.14000000000001,101.68357142857143,108.36873214285713,-6.685160714285715,0.2857142857142857,-124.00237916666667,0.4166666666666667
2025-06-28,27.52889479166667,1,2025,58.13833333333333,46.10270874496626,126.51,-0.32,126.83,87.46428571428571,65.56013214285714,21.90415357142857,0.8571428571428571,40.43378125,0.75
2025-06-29,-11.658923958333332,0,2025,58.97458333333333,47.10303202455016,118.07,-13.22,131.29,94.53642857142857,77.68984642857143,16.84658214285714,0.7142857142857143,36.49347708333333,0.6666666666666666
2025-06-30,39.085470833333325,1,2025,111.60541666666667,54.055042477183804,280.05,45.67,234.38,91.75928571428572,83.27928928571428,8.479996428571429,0.8571428571428571,-20.39338333333333,0.3333333333333333
2025-07-02,51.75991458333333,1,2025,121.66916666666667,84.6218869784709,391.06,33.58,357.48,107.89928571428571,79.49614999999999,28.403135714285714,0.7142857142857143,,
2025-07-03,22.425119791666663,1,2025,101.92333333333333,45.73756905639395,239.09,42.16,196.93,93.035,66.993075,26.041925,0.7142857142857143,60.259802083333334,0.8333333333333334
2025-07-04,4.421865625000002,1,2025,102.3275,32.20708810049496,177.94,52.71,125.22999999999999,102.53428571428572,84.777675,17.756610714285717,0.5714285714285714,11.60937916666667,0.5
2025-07-05,42.21123229166667,1,2025,72.16375000000001,57.013957239510184,177.38,-2.53,179.91,98.66571428571429,78.92580714285714,19.739907142857138,0.5714285714285714,32.08252291666667,0.9166666666666666
2025-07-06,39.62075625,1,2025,81.83749999999999,46.91548953912398,176.99,7.61,169.38,95.33285714285715,25.764592857142855,69.56826428571428,0.7142857142857143,51.676425,0.9166666666666666
2025-07-07,44.01878695652174,1,2025,122.19416666666666,30.401818011523538,205.27,89.74,115.53000000000002,99.06583333333333,73.976025,25.089808333333334,0.8333333333333334,12.01038541666667,0.5833333333333334
