datetime,target,pred_median,direction,size,bid,ask,mid,spread,imb_settlement_price,pnl
2026-03-17 11:45:00,2.359,4.153563952582203,surplus,4.153563952582203,96.77,97.25,97.01,0.480000000000004,39.62375,59.34015100631267
2026-03-17 12:45:00,-4.482,4.7152628372947945,surplus,4.7152628372947945,85.38,87.31,86.345,1.9300000000000068,121.8295,-42.967243196994154
2026-03-17 13:00:00,-2.125,3.2033240864479517,surplus,3.2033240864479517,78.47,79.49,78.97999999999999,1.019999999999996,101.75425,-18.64674971496893
2026-03-17 13:15:00,-0.14,5.18976256652839,surplus,5.0,75.38,76.39,75.88499999999999,1.0100000000000051,101.75425,-32.96781250000001
2026-03-17 13:30:00,7.986,6.1009087377867806,surplus,5.0,75.91,76.1,76.005,0.1899999999999977,101.75425,-32.3053125
2026-03-17 13:45:00,6.459,3.608212091250185,surplus,3.608212091250185,80.43,84.99,82.71000000000001,4.559999999999988,101.75425,-19.235604171710435
2026-03-17 14:00:00,19.46,4.999503839329075,surplus,4.999503839329075,73.76,74.67,74.215,0.9099999999999966,73.29325,0.5833796042517173
2026-03-17 14:15:00,18.39,2.894827263969613,surplus,2.894827263969613,83.42,84.3,83.86,0.8799999999999955,73.29325,7.328797998851071
2026-03-17 14:30:00,9.167,2.2759710233979726,surplus,2.2759710233979726,96.13,97.49,96.81,1.3599999999999994,73.29325,12.99394531714591
2026-03-17 15:00:00,16.321,4.277434572185418,surplus,4.277434572185418,90.1,90.4,90.25,0.3000000000000113,104.9153,-15.842869104324663
2026-03-17 15:15:00,6.762,4.320422246893661,surplus,4.320422246893661,99.48,99.99,99.735,0.5099999999999909,104.9153,-5.870697759635276
2026-03-17 15:30:00,3.299,2.118389976141872,surplus,2.118389976141872,111.51,113.33,112.42,1.8199999999999927,104.9153,3.4925365939157023
2026-03-17 15:45:00,4.506,4.086964498347808,surplus,4.086964498347808,121.1,121.91,121.505,0.8100000000000023,104.9153,16.536573579102434
