delivery_start,lead_minutes,snapshot_time,bid,ask,mid,spread,mid_move_from_start,mid_change_15min,mid_change_1h,spread_change_15min,n_updates_session,session_start_mid
2025-02-21 00:00:00,105,2025-02-20 22:10:00.896,,115.0,115.0,,-3.3899999999999864,0.010000000000005116,-82.57,,385,118.38999999999999
2025-02-21 00:00:00,120,2025-02-20 21:52:40.194,,114.99,114.99,,-3.3999999999999915,24.989999999999995,-82.58,,385,118.38999999999999
2025-02-21 01:00:00,60,2025-02-20 23:59:20.792,,172.9,172.9,,55.900000000000006,25.125,-2.4399999999999977,,509,117.0
2025-02-21 01:00:00,75,2025-02-20 23:44:40.877,143.8,151.75,147.775,7.949999999999989,30.775000000000006,-25.73999999999998,16.42500000000001,0.9399999999999693,509,117.0
2025-02-21 01:00:00,90,2025-02-20 23:29:21.918,170.01,177.02,173.515,7.010000000000019,56.514999999999986,34.02499999999998,-5.385000000000019,,509,117.0
2025-02-21 01:00:00,105,2025-02-20 23:14:40.690,139.49,,139.49,,22.49000000000001,-35.849999999999994,18.49000000000001,,509,117.0
2025-02-21 01:00:00,120,2025-02-20 22:59:20.863,175.34,,175.34,,58.34,43.99000000000001,-42.74000000000001,,509,117.0
2025-02-21 02:00:00,60,2025-02-21 00:58:42.024,82.97,,82.97,,-67.26499999999999,-65.9,-5.8799999999999955,,990,150.23499999999999
2025-02-21 02:00:00,75,2025-02-21 00:44:02.283,148.87,,148.87,,-1.3649999999999807,60.730000000000004,49.99000000000001,,990,150.23499999999999
2025-02-21 02:00:00,90,2025-02-21 00:29:20.749,,88.14,88.14,,-62.094999999999985,-0.4299999999999926,-68.42,,990,150.23499999999999
2025-02-21 02:00:00,105,2025-02-21 00:14:42.203,,88.57,88.57,,-61.66499999999999,-0.28000000000000114,-0.5400000000000063,,990,150.23499999999999
2025-02-21 02:00:00,120,2025-02-20 23:59:20.792,,88.85,88.85,,-61.38499999999999,-10.030000000000001,-39.03,,990,150.23499999999999
2025-02-21 03:00:00,60,2025-02-21 01:59:21.904,,81.4,81.4,,2.135000000000005,-0.4299999999999926,-0.8199999999999932,,594,79.265
2025-02-21 03:00:00,75,2025-02-21 01:44:41.995,,81.83,81.83,,2.5649999999999977,-0.3299999999999983,-1.7600000000000051,,594,79.265
2025-02-21 03:00:00,90,2025-02-21 01:29:21.888,,82.16,82.16,,2.894999999999996,-0.020000000000010232,-0.09000000000000341,,594,79.265
2025-02-21 03:00:00,105,2025-02-21 01:14:41.891,,82.18,82.18,,2.9150000000000063,-0.03999999999999204,-1.5999999999999943,,594,79.265
2025-02-21 03:00:00,120,2025-02-21 00:53:21.843,,82.22,82.22,,2.9549999999999983,-1.3700000000000045,-0.6700000000000017,,594,79.265
2025-02-21 04:00:00,60,2025-02-21 02:59:21.777,,144.27,144.27,,-0.7049999999999841,1.200000000000017,7.219999999999999,,308,144.975
2025-02-21 04:00:00,75,2025-02-21 02:43:20.793,,143.07,143.07,,-1.9050000000000011,-0.09999999999999432,5.900000000000006,,308,144.975
2025-02-21 04:00:00,90,2025-02-21 02:29:20.815,,143.17,143.17,,-1.8050000000000068,-0.7300000000000182,6.9199999999999875,,308,144.975
