datetime,limit_price,filled,entry_bid,entry_ask,entry_spread,n_snapshots,fallback_price,target,pred_median,direction,size,imb_settlement_price,pnl_limit,pnl_fallback
2026-03-04 07:00:00,154.4,False,154.4,156.32,1.9199999999999875,55,165.98,-10.274,-4.619413765340664,deficit,4.619413765340664,287.37225,153.56346051458004,140.19025766391883
2026-03-04 08:00:00,167.13,False,167.13,180.89,13.759999999999991,54,185.34,-4.145,-5.147076287345045,deficit,5.0,175.493975,10.454968750000013,-12.307531249999997
2026-03-04 08:15:00,104.71,False,104.71,,,52,128.55,2.55,-3.965476966211457,deficit,3.965476966211457,175.493975,70.17305560984691,46.53881289122661
2026-03-04 08:30:00,88.11,False,88.11,,,53,,-8.191,-3.921491487662123,deficit,3.921491487662123,175.493975,85.66887853014495,
2026-03-04 09:00:00,81.57,True,81.57,93.97,12.400000000000006,53,123.83,-2.704,-9.00245878236293,deficit,5.0,134.107,65.67125000000001,12.846250000000001
2026-03-04 09:15:00,95.62,True,,96.62,,50,110.72,-6.332,-9.181059199241831,deficit,5.0,134.107,48.10874999999999,29.23375
2026-03-04 09:30:00,78.73,False,78.73,,,53,98.4,-5.725,-9.152797813594011,deficit,5.0,134.107,69.22125,44.63374999999999
2026-03-04 09:45:00,53.5,False,53.5,79.33,25.83,54,97.36,3.109,-6.861798581485552,deficit,5.0,134.107,100.75874999999999,45.93375
2026-03-04 10:00:00,90.77,True,90.77,96.76,5.990000000000009,55,126.49,-4.711,-4.600971977940095,deficit,4.600971977940095,113.056,25.634315375093237,-15.452364387911805
2026-03-04 10:45:00,46.44,True,46.44,49.64,3.200000000000003,55,78.58,-9.171,-3.6439643851041392,deficit,3.6439643851041392,113.056,60.68658286952434,31.407329035212577
2026-03-04 11:00:00,63.61,False,63.61,,,53,105.56,-18.946,-5.285082359107189,deficit,5.0,77.805,17.74375000000001,-34.693749999999994
2026-03-04 11:30:00,39.26,False,39.26,45.5,6.240000000000002,52,97.5,-27.292,-3.0090846332668217,deficit,3.0090846332668217,77.805,28.99629179731742,-14.815980463047508
2026-03-04 12:45:00,49.9,False,49.9,59.43,9.530000000000001,54,70.63,-19.832,-4.00464846479387,deficit,4.00464846479387,66.72925000000001,16.848807544033065,-3.9052831247611595
2026-03-04 14:00:00,14.66,True,14.66,15.92,1.2599999999999998,55,9.06,8.555,-4.662035111923935,deficit,4.662035111923935,0.0,-17.086358685201223,-10.559509528507714
2026-03-04 14:15:00,51.09,True,51.09,54.42,3.3299999999999983,55,50.85,4.484,-6.7554829191074965,deficit,5.0,0.0,-63.862500000000004,-63.5625
2026-03-04 14:30:00,73.29,True,73.29,74.79,1.5,55,74.98,12.197,-8.771049457314387,deficit,5.0,0.0,-91.61250000000001,-93.72500000000001
2026-03-04 14:45:00,90.19,True,90.19,93.95,3.760000000000005,54,91.39,6.331,-10.980234022530748,deficit,5.0,0.0,-112.7375,-114.2375
2026-03-04 15:00:00,65.77,True,,66.77,,55,81.37,-2.607,-7.270680034815563,deficit,5.0,77.132325,14.202906249999998,-5.297093750000013
