tradeday,hour,ttd_bucket,avg_bid,avg_ask,n_snapshots,mid_price,spread,da_price,idm_da_diff,idm_da_pct
2025-04-10,2,6.0,92.66268292682926,98.615,83,95.63884146341462,5.952317073170732,92.11,3.528841463414622,3.831116559998504
2025-04-10,2,3.0,84.23666666666666,98.1921052631579,46,91.21438596491228,13.955438596491234,92.11,-0.8956140350877178,-0.9723309467894015
2025-04-10,2,1.0,80.87049180327868,105.96272727272728,83,93.41660953800297,25.092235469448596,92.11,1.3066095380029736,1.4185316882021208
2025-04-10,3,12.0,66.67268421052631,125.15243243243243,227,95.91255832147937,58.47974822190612,91.45,4.462558321479364,4.879779465805756
2025-04-10,3,6.0,83.8338596491228,91.34785714285714,113,87.59085839598997,7.513997493734337,91.45,-3.859141604010034,-4.219947079289266
2025-04-10,3,3.0,84.6081443298969,85.50186440677966,253,85.05500436833827,0.893720076882758,91.45,-6.394995631661729,-6.992887514118894
2025-04-10,3,1.0,83.27694117647059,85.06523255813953,171,84.17108686730506,1.788291381668941,91.45,-7.278913132694939,-7.959445743788889
2025-04-10,4,12.0,85.04392857142857,126.04212121212122,94,105.54302489177489,40.99819264069265,94.32,11.223024891774898,11.898881352602734
2025-04-10,4,6.0,84.60956043956044,93.6562,141,89.13288021978022,9.046639560439559,94.32,-5.187119780219774,-5.4994908611320765
2025-04-10,4,3.0,86.9667415730337,87.26469387755103,325,87.11571772529237,0.2979523045173238,94.32,-7.204282274707623,-7.638127941801976
2025-04-10,4,1.0,89.23482352941177,90.95329411764706,170,90.09405882352942,1.7184705882352915,94.32,-4.22594117647057,-4.480429576410698
2025-04-10,5,12.0,96.17814814814815,145.108,158,120.64307407407408,48.92985185185185,103.48,17.163074074074075,16.58588526678979
2025-04-10,5,6.0,97.21622641509434,99.6519801980198,260,98.43410330655706,2.4357537829254596,103.48,-5.045896693442941,-4.8762047675327995
2025-04-10,5,3.0,98.21747311827957,99.74797687861272,359,98.98272499844614,1.530503760333147,103.48,-4.497275001553859,-4.3460330513663115
2025-04-10,5,1.0,105.45477272727273,107.43214285714286,172,106.4434577922078,1.9773701298701383,103.48,2.963457792207791,2.8637976345262763
2025-04-10,6,12.0,110.55697674418604,129.40569892473118,308,119.98133783445861,18.84872218054514,146.3,-26.318662165541397,-17.989516176036496
2025-04-10,6,6.0,126.62985074626866,139.0036842105263,172,132.81676747839748,12.373833464257643,146.3,-13.483232521602531,-9.216153466577259
2025-04-10,6,3.0,129.81610738255034,139.9674358974359,188,134.89177163999312,10.151328514885563,146.3,-11.408228360006888,-7.797832098432596
2025-04-10,6,1.0,145.32484848484847,161.65906666666666,141,153.49195757575757,16.334218181818187,146.3,7.191957575757556,4.915897180968938
2025-04-10,7,12.0,164.93969696969697,176.55559139784947,192,170.74764418377322,11.615894428152501,175.74,-4.992355816226791,-2.8407623854710313
2025-04-10,7,6.0,166.53716049382717,167.51375464684014,512,167.02545757033366,0.976594153012968,175.74,-8.714542429666352,-4.958770018018864
2025-04-10,7,3.0,174.94333333333333,177.486875,375,176.21510416666666,2.5435416666666697,175.74,0.4751041666666538,0.27034492242326946
2025-04-10,7,1.0,196.08607142857142,203.8620987654321,165,199.97408509700176,7.776027336860693,175.74,24.234085097001753,13.789737735860792
2025-04-10,7,0.5,,422.74,1,422.74,,175.74,247.0,140.54853761238192
2025-04-10,8,12.0,112.94854368932039,139.8398076923077,207,126.39417569081404,26.8912640029873,137.58,-11.185824309185975,-8.130414529136482
2025-04-10,8,6.0,136.80017647058824,138.94727272727272,346,137.8737245989305,2.1470962566844776,137.58,0.2937245989304813,0.21349367562907492
2025-04-10,8,3.0,145.25617346938776,148.7568131868132,378,147.00649332810048,3.500639717425429,137.58,9.426493328100463,6.8516450996514475
2025-04-10,8,1.0,153.96157303370788,158.7391111111111,179,156.3503420724095,4.7775380774032215,137.58,18.770342072409477,13.643219997390228
2025-04-10,8,0.5,67.0,151.495,3,109.2475,84.495,137.58,-28.33250000000001,-20.59347288850124
2025-04-10,9,12.0,100.53578947368422,114.3156,132,107.4256947368421,13.779810526315785,103.85,3.5756947368421095,3.4431340749562924
2025-04-10,9,6.0,95.26462264150943,102.89826923076923,210,99.08144593613933,7.633646589259797,103.85,-4.7685540638606625,-4.591770884796016
2025-04-10,9,3.0,103.71773195876288,112.63507042253521,168,108.17640119064905,8.917338463772325,103.85,4.326401190649051,4.166009812854165
2025-04-10,9,1.0,120.41537313432836,128.99924242424242,133,124.7073077792854,8.583869289914063,103.85,20.857307779285406,20.08407104408802
2025-04-10,10,12.0,76.18894736842105,103.58025,78,89.88459868421053,27.391302631578952,88.46,1.4245986842105367,1.610443911610374
2025-04-10,10,6.0,68.761875,75.12,78,71.9409375,6.358125000000001,88.46,-16.51906249999999,-18.674047592132027
2025-04-10,10,3.0,72.21767241379311,77.59371428571428,186,74.9056933497537,5.376041871921174,88.46,-13.55430665024629,-15.322526170298767
2025-04-10,10,1.0,78.8245945945946,89.64152777777778,146,84.23306118618619,10.816933183183181,88.46,-4.226938813813803,-4.778361761037534
2025-04-10,10,0.5,60.0,,1,60.0,,88.46,-28.459999999999994,-32.17273343884241
2025-04-10,11,12.0,64.83242424242424,72.45869918699186,345,68.64556171470805,7.626274944567626,69.14,-0.4944382852919489,-0.7151262442753094
2025-04-10,11,6.0,57.9096875,68.28865853658536,114,63.099173018292674,10.378971036585362,69.14,-6.040826981707326,-8.737094274959974
2025-04-10,11,3.0,66.14025974025974,70.57310344827586,164,68.3566815942678,4.432843708016122,69.14,-0.7833184057322029,-1.1329453366100706
2025-04-10,11,1.0,68.89739130434782,80.11192307692308,147,74.50465719063544,11.214531772575256,69.14,5.364657190635441,7.759122346883773
2025-04-10,11,0.5,55.004999999999995,69.0,3,62.0025,13.995000000000005,69.14,-7.137500000000003,-10.323257159386756
2025-04-10,12,24.0,36.62157894736842,111.6245,39,74.1230394736842,75.00292105263158,39.73,34.393039473684205,86.56692543086888
2025-04-10,12,12.0,39.02823529411765,47.9126706231454,524,43.470452958631526,8.884435329027752,39.73,3.740452958631529,9.414681496681423
2025-04-10,12,6.0,44.31926829268293,48.55360655737705,204,46.43643742502999,4.234338264694124,39.73,6.706437425029996,16.88003379066196
2025-04-10,12,3.0,39.575223880597015,43.45619834710744,255,41.51571111385223,3.8809744665104233,39.73,1.78571111385223,4.494616445638636
2025-04-10,12,1.0,35.697049180327866,43.306333333333335,121,39.5016912568306,7.6092841530054685,39.73,-0.22830874316939997,-0.5746507504893028
2025-04-10,13,24.0,9.66859375,14.299464285714286,120,11.984029017857143,4.630870535714287,2.52,9.464029017857143,375.55670705782313
2025-04-10,13,12.0,22.6975,25.641618798955612,739,24.169559399477805,2.9441187989556106,2.52,21.649559399477805,859.109499979278
2025-04-10,13,6.0,40.86907949790795,41.028350168350165,536,40.94871483312906,0.15927067044221843,2.52,38.42871483312906,1524.949001314645
2025-04-10,13,3.0,34.70472,40.06335664335664,268,37.38403832167832,5.35863664335664,2.52,34.864038321678315,1383.493584193584
2025-04-10,13,1.0,34.65736842105263,50.344470588235296,161,42.50091950464396,15.687102167182665,2.52,39.98091950464396,1586.5444247874586
2025-04-10,14,24.0,6.528053097345133,8.936774193548388,268,7.73241364544676,2.408721096203255,0.09,7.64241364544676,8491.570717163067
2025-04-10,14,12.0,14.398302469135803,17.80881028938907,635,16.103556379262436,3.4105078202532653,0.09,16.013556379262436,17792.840421402707
2025-04-10,14,6.0,28.72171617161716,32.522056451612904,551,30.621886311615032,3.800340279995744,0.09,30.531886311615033,33924.3181240167
2025-04-10,14,3.0,22.95212962962963,128.87714285714287,122,75.91463624338625,105.92501322751323,0.09,75.82463624338625,84249.59582598472
2025-04-10,14,1.0,8.239444444444445,52.644,51,30.44172222222222,44.404555555555554,0.09,30.35172222222222,33724.135802469136
2025-04-10,15,24.0,8.735409836065573,12.248888888888889,212,10.492149362477232,3.5134790528233157,2.22,8.272149362477231,372.61934065212745
2025-04-10,15,12.0,17.711028806584363,12.412558139534884,329,15.061793473059623,-5.298470667049479,2.22,12.841793473059623,578.4591654531362
