hour,ttd_bucket,avg_spread,median_spread
20,1.0,62.95052810252466,18.01329893271457
20,3.0,28.299354194589522,9.614964885359406
20,6.0,42.57524688659464,10.465652386541464
20,12.0,81.50841507397327,14.772455652173903
20,24.0,62.616010600269675,30.926555995845455
21,0.5,176.47681930695433,80.68583333333333
21,1.0,48.35546974575775,14.381663740546387
21,3.0,29.56327394199238,8.002798028692695
21,6.0,24.77205076887739,7.454884615384621
21,12.0,44.140259253815586,10.482009562841526
21,24.0,54.054065010567285,21.514146606634142
22,0.5,195.5154132735856,90.273
22,1.0,51.817090856923244,10.610634920634922
22,3.0,25.443015237388508,4.649549549549548
22,6.0,26.83837081594136,4.8834913793103425
22,12.0,35.90178533912223,6.382003401360549
22,24.0,36.98254053967796,15.909625000000005
23,0.5,164.55660215053763,116.67250000000001
23,1.0,37.36984633129929,7.464254496756961
23,3.0,15.523231651837474,3.3058379583435027
23,6.0,19.722423680279817,3.7103952569169962
23,12.0,27.155037945294033,4.7700022526344235
23,24.0,32.56204838934384,12.438775436440523
24,1.0,322.415,322.415
24,3.0,0.6919671760045247,0.6919671760045247
24,6.0,0.4982579331046395,0.4982579331046395
24,12.0,4.779759499759507,4.779759499759507
24,24.0,3.845706084959815,3.845706084959815
