date,load_fcst_mean,load_fcst_peak,load_fcst_peak_hour,load_fcst_offpeak,load_fcst_range,solar_share_of_load,da_price_mean,da_price_max,da_price_max_hour,da_price_min,da_price_min_hour,da_price_range,da_price_std,da_price_median,peak_in_morning,peak_in_evening,extreme_price_flag,day_of_week,is_weekend,month,idm_vwap_mean,spread_da_idm_mean,spread_positive,solar_fcst_total,solar_fcst_peak,solar_fcst_peak_hour,solar_fcst_max_ramp,temp_fcst_mean,temp_fcst_min,temp_fcst_max,temp_fcst_range,cold_spell,da_price_yesterday,da_volatility_yesterday,da_range_yesterday,da_max_yesterday,idm_vwap_yesterday,spread_yesterday,load_actual_yesterday,nuclear_yesterday,hydro_yesterday,gas_yesterday,solar_actual_yesterday,net_import_yesterday,da_price_7d,da_volatility_7d,da_range_7d,idm_vwap_7d,spread_7d,load_actual_7d,load_fcst_vs_7d,temp_fcst_vs_7d,solar_fcst_vs_7d,load_fcst_vs_last_week,high_volatility
2025-12-04,3561.6125000000006,4001.5,9.0,2864.0,1137.5,0.007496604417240785,177.06208333333333,262.82,1,100.89,23,161.93,52.35413894896677,174.73,1,0,1,3,0,12,126.96499999999999,50.09708333333334,1.0,640.8,33.5,12.0,15.0,4.280931270541667,2.70236936225,5.891332929,3.18896356675,0.0,120.24416666666667,13.321976751270942,51.260000000000005,137.55,156.70958333333334,-36.46541666666667,3530.9166666666665,2462.9791666666665,595.8874999999999,594.5749999999999,744.4,-510.1375,138.0519642857143,36.45013279461799,127.64999999999999,128.8735119047619,9.17845238095238,3477.5672619047623,84.04523809523835,2.4099681196846534,-1433.0285714285717,-9.733333333332666,1
2025-12-05,3456.8708333333343,3902.3,9.0,2722.8,1179.5,0.005477014978623488,141.835,186.56,4,94.16,23,92.4,28.13241157548765,138.585,1,0,0,4,0,12,126.06416666666667,15.770833333333336,1.0,454.40000000000003,24.8,11.0,10.0,5.715525082270833,4.9856891935,6.4932945795000006,1.5076053860000007,0.0,177.06208333333333,52.35413894896677,161.93,262.82,126.96499999999999,50.09708333333334,3481.5,2458.725,577.65,571.4791666666666,442.4000000000001,-266.10833333333335,139.2955357142857,36.640232523824956,124.39285714285714,130.64125,8.654285714285717,3461.5017857142857,-4.630952380951385,3.4580464800059523,-1169.942857142857,-117.87499999999864,0
2025-12-06,3041.4583333333335,3412.3,11.0,2634.3,778.0,0.014801013768066307,145.62791666666666,221.02,1,98.34,23,122.68,37.05213214737671,134.965,1,0,1,5,1,12,91.75916666666667,53.86875,1.0,1080.4,57.8,11.0,21.5,5.700669454739583,4.675539012,7.04299572275,2.36745671075,0.0,141.835,28.13241157548765,92.4,186.56,126.06416666666667,15.770833333333336,3415.7916666666665,2452.258333333333,656.9666666666667,583.725,354.40000000000003,-173.41666666666666,134.2329761904762,29.65198834859848,101.90285714285714,131.72351190476192,2.509464285714285,3436.716071428571,-395.2577380952375,2.486599435821131,45.600000000000136,-223.72916666666652,0
2025-12-07,2983.025,3439.5,11.0,2501.8,937.6999999999998,0.00843103896212737,123.92041666666667,152.31,3,89.15,23,63.16,17.587175346446813,122.315,1,0,0,6,1,12,91.19791666666667,32.7225,1.0,603.5999999999999,31.7,11.0,13.3,5.55273177753125,4.21521420375,6.760401192,2.5451869882499993,0.0,145.62791666666666,37.05213214737671,122.68,221.02,91.75916666666667,53.86875,3044.7083333333335,2456.6208333333334,431.1541666666667,479.1000000000001,2470.8,-168.00833333333335,134.5872023809524,27.491035483566318,93.40571428571431,129.05005952380952,5.5371428571428565,3401.7517857142857,-418.7267857142856,1.5894556739294643,-417.5428571428572,-150.72083333333285,0
2025-12-08,3374.0791666666664,3870.8,11.0,2548.8,1322.0,0.00393193698527623,111.80416666666667,156.88,0,72.13,23,84.75,22.19189399979744,106.87,1,0,0,0,0,12,96.67750000000001,15.12666666666667,1.0,318.4,18.6,11.0,6.300000000000001,5.1966932985000005,4.08889189675,6.29304395725,2.2041520605000002,0.0,123.92041666666667,17.587175346446813,63.16,152.31,91.19791666666667,32.7225,2961.375,2412.241666666667,492.1458333333333,337.90000000000003,1171.1999999999998,-171.32916666666668,136.0479761904762,26.25733879980608,88.77857142857144,127.5182142857143,8.529761904761903,3370.4303571428572,3.6488095238091773,0.6829532987833336,-678.1142857142856,-216.7750000000001,0
2025-12-09,3416.3541666666665,3862.5,9.0,2672.5,1190.0,0.01591852913376223,107.37333333333333,133.97,8,78.96,23,55.010000000000005,15.951941420645928,109.14500000000001,1,0,0,1,0,12,119.78583333333331,-12.4125,0.0,1305.1999999999998,56.8,11.0,19.8,5.457460232770834,4.06053146275,7.3655816105,3.3050501477499994,0.0,111.80416666666667,22.19189399979744,84.75,156.88,96.67750000000001,15.12666666666667,3410.1666666666665,2460.8500000000004,505.6000000000001,486.9958333333334,900.0,-204.05000000000004,135.1645238095238,26.903989388726476,91.52285714285715,118.49053571428571,16.673988095238094,3351.6071428571427,64.74702380952385,0.5399922540148818,333.71428571428555,-141.77083333333348,0
2025-12-10,3395.066666666667,3860.5,9.0,2711.3,1149.1999999999998,0.009906531045045752,100.38583333333334,118.32,8,60.97,23,57.349999999999994,16.1638801794662,108.68,1,0,0,2,0,12,111.04,-10.654166666666667,0.0,807.1999999999999,40.5,12.0,14.299999999999997,5.2437998561666666,3.10618668775,8.213003386,5.10681669825,0.0,107.37333333333333,15.951941420645928,55.010000000000005,133.97,119.78583333333331,-12.4125,3426.4583333333335,2459.1041666666665,629.4708333333334,496.48749999999995,1077.6,-513.1958333333333,132.5524404761905,26.65595288428461,90.17,115.59416666666665,16.95827380952381,3324.416666666667,70.65000000000009,-0.1384273753273817,-215.7714285714285,-179.04583333333358,0
2025-12-11,3420.5875,3910.5,9.0,2711.3,1199.1999999999998,0.0158988282958215,112.52749999999999,130.33,5,81.02,23,49.31000000000002,15.152711829552944,116.825,1,0,0,3,0,12,106.40333333333335,6.124166666666665,1.0,1305.1999999999998,56.8,11.0,19.8,5.303738326697917,3.31521262375,7.63049963925,4.3152870155,0.0,100.38583333333334,16.1638801794662,57.349999999999994,118.32,111.04,-10.654166666666667,3429.5833333333335,2463.9041666666667,586.1708333333332,501.2541666666666,640.4000000000001,-619.85,129.71553571428572,27.061939088312503,91.04,109.06994047619048,20.64559523809524,3309.940476190476,110.64702380952394,-0.25404163543303504,297.08571428571406,-141.02500000000055,0
2025-12-12,3457.5083333333337,3901.3,9.0,2787.3,1114.0,0.010498890096673662,113.62291666666665,139.25,2,65.87,23,73.38,20.417000239308656,115.055,1,0,0,4,0,12,114.61833333333333,-0.995416666666665,0.0,871.1999999999999,45.8,11.0,18.0,4.519114822114584,2.393590405,7.70271259575,5.309122190749999,0.0,112.52749999999999,15.152711829552944,49.31000000000002,130.33,106.40333333333335,6.124166666666665,3458.9583333333335,2463.1833333333334,610.875,570.1208333333334,684.4,-309.60416666666663,120.49630952380953,21.747449499824814,74.95142857142858,106.13255952380952,14.363749999999998,3306.7202380952376,150.78809523809605,-1.0438395722127964,-171.48571428571415,0.6374999999993634,0
2025-12-13,3122.2208333333333,3465.0,11.0,2718.0,747.0,0.009731321054858121,99.45833333333333,115.99,0,73.42,23,42.56999999999999,12.377924208820243,100.175,1,0,0,5,1,12,102.08875,-2.6304166666666666,0.0,729.2,37.5,12.0,18.8,2.199744514309375,0.33915255255,4.79131011325,4.4521575607,0.0,113.62291666666665,20.417000239308656,73.38,139.25,114.61833333333333,-0.995416666666665,3399.8333333333335,2462.8583333333336,560.3833333333333,588.2583333333333,838.8,-250.78750000000002,116.4660119047619,20.645247880370672,72.23428571428572,104.49744047619048,11.968571428571426,3304.4404761904766,-182.2196428571433,-2.9812186672739576,-382.6857142857143,80.76249999999982,0
