                          Výber                     Kód                       Atribút                   Poznámka                  
108                       False                     RBO_Rozs_n                RBO - Regulačný rozsah - (záporný)                           
109                       False                     RBO_Rozs_p                RBO - Regulačný rozsah + (kladný)                           
110                       False                     RBO_Suc_IO                RBO - Delta žiadaného a skutočného výkonu sú v zhode                           
111                       False                     RBO_Tax                   RBO - Poplatky                                      
112                       False                     RBO_VPCm                  RBO - VPC mínus IO                                  
113                       False                     RBO_VPCp                  RBO - VPC plus IO                                   
114                       False                     RBO_VyuRoz                RBO - Využitie regulačného rozsahu                           
115                       False                     RE_aFRR_S                 RE - aFRR prepočítaná pomerovo oproti vyhodnoteniu z DaE                           
116                       False                     RE_aFRR_T                 RE - Optimálna aFRR z TASDR                           
117                       False                     RE_aFRR_TS                RE - Optimálna aFRR z TASDR                           
118                       False                     SEP_3M_GCC                SEPS - 3 minútová regulačná elektrina                           
119                       False                     SEP_ODCH                  SEPS - Odchýlka sústavy                             
120                       False                     SoC.15M                   Priebeh SoC (15min)                                 
121                       False                     SoC.1M                    Priebeh SoC (1min)                                  
122                       False                     SoC.Actual                Aktuálne SoC                                        
123                       False                     SoC.Plan                  Planovany priebeh SoC (Podla DT,VDA,VDT,PP+)                           
124                       False                     SoC_HL                    SoC HL - max rezerva pre RBO- (Pre VDT) Aby RBO- nenabijalo viacej ako je kupene na VDT (drzi tam rezervu) 
125                       False                     SoC_LL                    SoC LL - min rezerva pre RBO+ (Pre VDT) Aby RBO+ nevybijalo viacej ako je predane na VDT (drzi tam rezervu) 
126                       False                     SoC_TechH                 SoC - Horný limit                                   
127                       False                     SoC_TechL                 SoC - Dolný limit                                   
128                       False                     VDT.Avol                  VDT zobchodovaná práca                              
129                       False                     VDT.Avoln                 VDT nákup – práca                                   
130                       False                     VDT.Avolp                 VDT predaj - práca                                  
131                       False                     VDT.Buy.JC                VDT jednotková cena nákup                           
132                       False                     VDT.COSTn                 VDT cena nákup                                      
133                       False                     VDT.COSTp                 VDT cena predaj                                     
134                       False                     VDT.Income                VDT príjem                                          
135                       False                     VDT.OP.BUY                VDT Otvorené množstvo - Nákup                           
136                       False                     VDT.OP.SEL                VDT Otvorené množstvo - Predaj                           
137                       False                     VDT.Pvol                  VDT Zobchodované saldo                              
138                       False                     VDT.Pvoln                 VDT nákup - výkon                                   
139                       False                     VDT.Pvolp                 VDT predaj - výkon                                  
140                       False                     VDT.Sel.JC                VDT jednotková cena predaj                           
141                       False                     VDT_Cycl                  VDT - počet cyklov                                  

