X,A,Y,rule,total_rev,rev_per_mwh,n_curtailed,pct_curtailed
-4,80.0,-8.0,combined,79321.7910987144,28.96647352421648,8148,81.5126050420168
-4,80.0,-6.0,combined,86379.69799692743,31.543856995664417,7949,79.5218087234894
-4,85.0,-20.0,combined,49218.87288081019,17.973587817999633,8807,88.10524209683874
-4,85.0,-18.0,combined,51352.0741746994,18.752583324094147,8756,87.59503801520609
-4,85.0,-16.0,combined,54226.41427567676,19.802225487758097,8686,86.89475790316126
-4,85.0,-14.0,combined,58312.66843614432,21.294430483546716,8597,86.00440176070428
-4,85.0,-12.0,combined,63244.02094605787,23.095245744251343,8479,84.82392957182873
-4,85.0,-10.0,combined,70330.46306102812,25.683049613288098,8354,83.5734293717487
-4,85.0,-8.0,combined,77766.83079897391,28.398638182505813,8190,81.9327731092437
-4,85.0,-6.0,combined,85382.76582231093,31.17980054860902,7977,79.80192076830733
-4,90.0,-20.0,combined,45582.14692125576,16.645540067651098,8898,89.015606242497
-4,90.0,-18.0,combined,47793.411701970006,17.45304254381026,8846,88.4953981592637
-4,90.0,-16.0,combined,50918.42116423884,18.594223329038435,8772,87.75510204081633
-4,90.0,-14.0,combined,55191.32767024188,20.154589420918015,8679,86.82472989195679
-4,90.0,-12.0,combined,60330.20378075316,22.031187474712667,8556,85.59423769507804
-4,90.0,-10.0,combined,67854.21731328683,24.778782249958677,8421,84.24369747899159
-4,90.0,-8.0,combined,75861.2064297503,27.702748477121787,8244,82.47298919567827
-4,90.0,-6.0,combined,84355.51876091644,30.80467380985848,8004,80.0720288115246
-4,95.0,-20.0,combined,41514.60618844627,15.160168780472638,8997,90.00600240096038
-4,95.0,-18.0,combined,43895.379654872784,16.029571886821792,8943,89.46578631452581
-4,95.0,-16.0,combined,47077.46983795853,17.191597223911238,8868,88.71548619447779
-4,95.0,-14.0,combined,51609.324784141485,18.846525264439634,8770,87.73509403761504
-4,95.0,-12.0,combined,57301.75651501262,20.925268958155357,8635,86.38455382152861
