X,A,Y,rule,total_rev,rev_per_mwh,n_curtailed,pct_curtailed
-4,35.0,-8.0,combined,87721.25760034725,32.033763365595696,7937,79.40176070428171
-4,35.0,-6.0,combined,91119.08774300672,33.274571919006256,7834,78.37134853941576
-4,40.0,-20.0,combined,72484.4866930087,26.469648953041453,8270,82.73309323729492
-4,40.0,-18.0,combined,73733.51732873969,26.9257658956835,8238,82.41296518607443
-4,40.0,-16.0,combined,75241.53442336622,27.476458670525208,8200,82.0328131252501
-4,40.0,-14.0,combined,77494.71309997585,28.299267126780553,8150,81.53261304521808
-4,40.0,-12.0,combined,79432.53610317006,29.006915024528947,8096,80.9923969587835
-4,40.0,-10.0,combined,83368.08278901059,30.444085155203986,8042,80.45218087234895
-4,40.0,-8.0,combined,87324.65593711412,31.88893366093855,7953,79.56182472989197
-4,40.0,-6.0,combined,90873.4820016021,33.18488241367299,7843,78.46138455382153
-4,45.0,-20.0,combined,71368.6491701999,26.062171037905316,8301,83.04321728691477
-4,45.0,-18.0,combined,72617.6798059309,26.518287980547363,8269,82.72308923569427
-4,45.0,-16.0,combined,74251.14033077686,27.114789778986587,8228,82.31292517006803
-4,45.0,-14.0,combined,76707.338915497,28.011736384566543,8174,81.77270908363346
-4,45.0,-12.0,combined,78679.56928487595,28.73194905232105,8119,81.22248899559824
-4,45.0,-10.0,combined,82797.39475505656,30.235683156243272,8059,80.62224889955982
-4,45.0,-8.0,combined,86943.04120148954,31.74957683373121,7965,79.68187274909964
-4,45.0,-6.0,combined,90596.98422416512,33.08391185515817,7852,78.55142056822729
-4,50.0,-20.0,combined,69750.77560425756,25.47136123439146,8339,83.4233693477391
-4,50.0,-18.0,combined,71243.25358357767,26.016379485676918,8303,83.06322529011605
-4,50.0,-16.0,combined,72920.13764605852,26.62873855026969,8261,82.64305722288915
-4,50.0,-14.0,combined,75613.31955553973,27.61222595513429,8204,82.07282913165265
-4,50.0,-12.0,combined,77756.34291623837,28.394808251620795,8144,81.47258903561423
-4,50.0,-10.0,combined,82156.53396854605,30.001655699878054,8078,80.812324929972
-4,50.0,-8.0,combined,86622.06939440715,31.63236539380922,7975,79.78191276510604
-4,50.0,-6.0,combined,90472.45003302165,33.03843486452734,7856,78.59143657462985
-4,55.0,-20.0,combined,68287.52668211487,24.93701675508139,8379,83.82352941176471
-4,55.0,-18.0,combined,69958.83410471646,25.54733936047198,8339,83.4233693477391
-4,55.0,-16.0,combined,71781.38277146773,26.212891751193304,8293,82.96318527410963
-4,55.0,-14.0,combined,74597.69980481832,27.24134523985478,8232,82.35294117647058
-4,55.0,-12.0,combined,76842.84726212258,28.06122088158143,8169,81.72268907563026
-4,55.0,-10.0,combined,81662.66520360389,29.821306311570222,8092,80.95238095238095
-4,55.0,-8.0,combined,86217.6173508169,31.48466891280197,7986,79.89195678271308
-4,55.0,-6.0,combined,90165.87916599432,32.926482313027435,7864,78.67146858743497
-4,60.0,-20.0,combined,65703.24929601666,23.99329874964091,8424,84.27370948379351
-4,60.0,-18.0,combined,67446.64916714892,24.629947840764288,8382,83.85354141656663
-4,60.0,-16.0,combined,69417.35654240823,25.349604346482707,8332,83.35334133653461
-4,60.0,-14.0,combined,72435.28897168054,26.45168308927861,8267,82.70308123249299
-4,60.0,-12.0,combined,75322.39330067899,27.505986452190694,8192,81.95278111244498
-4,60.0,-10.0,combined,80430.04436484573,29.371181845181763,8109,81.12244897959184
-4,60.0,-8.0,combined,85663.5615688072,31.282340625477364,7998,80.01200480192077
-4,60.0,-6.0,combined,89817.94573928262,32.79942511659459,7871,78.74149659863946
-4,65.0,-20.0,combined,63468.8338539216,23.17734219030149,8476,84.79391756702681
-4,65.0,-18.0,combined,65263.41262210144,23.83268062448928,8432,84.35374149659864
-4,65.0,-16.0,combined,67258.1931249215,24.56112807658542,8381,83.84353741496598
-4,65.0,-14.0,combined,70393.46591553434,25.706056790656714,8313,83.16326530612244
-4,65.0,-12.0,combined,73558.14796812137,26.861725083304623,8232,82.35294117647058
-4,65.0,-10.0,combined,78890.92339666846,28.80913065902296,8144,81.47258903561423
-4,65.0,-8.0,combined,84409.90087048631,30.824532891647063,8025,80.28211284513806
-4,65.0,-6.0,combined,89221.63597173926,32.581666656346506,7884,78.87154861944778
-4,70.0,-20.0,combined,60736.50341281512,22.17955865206512,8533,85.3641456582633
-4,70.0,-18.0,combined,62531.082180994956,22.83489708625291,8489,84.92396958783513
-4,70.0,-16.0,combined,64774.51217849396,23.65414555159727,8433,84.36374549819928
-4,70.0,-14.0,combined,68111.35031110916,24.87268124127562,8360,83.63345338135254
