X,A,Y,F,rule,total_rev,rev_per_mwh,n_curtailed,pct_curtailed
5,95.0,-4.0,,rule12,114530.98713109537,41.82405314457179,6070,60.72428971588636
5,95.0,-1.0,,rule12,123992.68273817682,45.279244353701735,5581,55.83233293317327
5,95.0,2.0,,rule12,131172.2358680399,47.90105020013143,5090,50.9203681472589
5,100.0,-10.0,,rule12,90186.79068959302,32.93411871515959,7051,70.53821528611445
5,100.0,-7.0,,rule12,99683.41579601745,36.40206536518312,6687,66.8967587034814
5,100.0,-4.0,,rule12,111595.02860239425,40.75190936400608,6214,62.164865946378555
5,100.0,-1.0,,rule12,122269.86902732842,44.65011284959408,5674,56.76270508203282
5,100.0,2.0,,rule12,130432.41143652494,47.630883521956235,5137,51.39055622248899
8,,,,rule1_only,147932.83842325042,54.021632494613804,3782,37.83513405362145
8,0.0,-10.0,,rule12,146602.17078446326,53.535703616879665,4170,41.716686674669866
8,0.0,-7.0,,rule12,147488.55959335255,53.85939219739723,4125,41.26650660264106
8,0.0,-4.0,,rule12,148519.35581896146,54.235815008384996,4072,40.73629451780712
8,0.0,-1.0,,rule12,148696.37600450544,54.30045866363769,4003,40.04601840736294
8,0.0,2.0,,rule12,148532.70726659131,54.240690646578784,3930,39.31572629051621
8,0.0,5.0,,rule12,148425.28336125182,54.20146193443318,3857,38.58543417366947
8,5.0,-10.0,,rule12,144172.65071206735,52.64849938360626,4462,44.63785514205682
8,5.0,-7.0,,rule12,145502.70510443836,53.13420431800992,4388,43.897559023609446
8,5.0,-4.0,,rule12,147567.018385425,53.88804352374563,4289,42.907162865146056
8,5.0,-1.0,,rule12,148052.07161494013,54.06517368351597,4166,41.676670668267306
8,5.0,2.0,,rule12,147985.3796370739,54.040819324084836,4044,40.45618247298919
8,5.0,5.0,,rule12,148232.28567101277,54.13098366601402,3915,39.165666266506605
8,10.0,-10.0,,rule12,143050.3201136478,52.238650348250005,4585,45.86834733893557
8,10.0,-7.0,,rule12,144702.885579849,52.84212882699716,4499,45.00800320128051
8,10.0,-4.0,,rule12,147057.13130956475,53.701844620787604,4384,43.857543017206886
8,10.0,-1.0,,rule12,147529.46690186922,53.874330595190344,4245,42.46698679471789
8,10.0,2.0,,rule12,147662.42626295052,53.92288426195974,4104,41.05642256902761
8,10.0,5.0,,rule12,148172.55263748232,54.10917055122785,3941,39.42577030812325
8,15.0,-10.0,,rule12,141550.5812879677,51.690980604720906,4670,46.71868747498999
8,15.0,-7.0,,rule12,143610.16430317884,52.44309242739514,4572,45.73829531812726
8,15.0,-4.0,,rule12,146162.65657116976,53.37520324684844,4444,44.4577831132453
8,15.0,-1.0,,rule12,146912.82995092418,53.64914912026154,4293,42.947178871548616
8,15.0,2.0,,rule12,147402.63692414985,53.82801523668926,4132,41.33653461384554
8,15.0,5.0,,rule12,148028.63135263068,54.056613844811096,3958,39.595838335334136
8,20.0,-10.0,,rule12,140279.99989035437,51.22699382499065,4757,47.5890356142457
8,20.0,-7.0,,rule12,142577.11062796318,52.06584524830675,4648,46.49859943977591
8,20.0,-4.0,,rule12,145575.35936261967,53.16073596356255,4502,45.038015206082434
8,20.0,-1.0,,rule12,146623.96656671766,53.54366292970993,4339,43.40736294517807
8,20.0,2.0,,rule12,147179.19936339642,53.746421035420845,4166,41.676670668267306
8,20.0,5.0,,rule12,147919.4303768802,54.01673618787621,3974,39.755902360944376
8,25.0,-10.0,,rule12,139287.52413840342,50.864564759861025,4837,48.38935574229692
8,25.0,-7.0,,rule12,141779.0427348626,51.77440941238045,4718,47.198879551820724
8,25.0,-4.0,,rule12,144941.00700808608,52.929085235205264,4564,45.65826330532213
8,25.0,-1.0,,rule12,146164.80372417765,53.37598733719605,4385,43.86754701880752
8,25.0,2.0,,rule12,146924.5444640795,53.65342698805124,4197,41.98679471788716
8,25.0,5.0,,rule12,147798.2526522113,53.97248490074909,3988,39.89595838335334
8,30.0,-10.0,,rule12,137599.55999153148,50.24815950610996,4921,49.22969187675071
8,30.0,-7.0,,rule12,140515.23527429195,51.312896316933966,4788,47.89915966386555
8,30.0,-4.0,,rule12,144075.183468144,52.6129066126731,4618,46.198479391756706
8,30.0,-1.0,,rule12,145548.71727124078,53.1510068913383,4425,44.267707082833134
8,30.0,2.0,,rule12,146573.90962771903,53.52538329963448,4225,42.266906762705084
8,30.0,5.0,,rule12,147648.8392987266,53.917922618582615,4002,40.0360144057623
8,35.0,-10.0,,rule12,136965.41549599188,50.01658468302362,4961,49.62985194077631
8,35.0,-7.0,,rule12,140134.80380730997,51.17397159191864,4821,48.229291716686674
8,35.0,-4.0,,rule12,143748.90573777893,52.49375757295463,4646,46.47859143657463
8,35.0,-1.0,,rule12,145329.10785445734,53.07081063922632,4445,44.46778711484593
8,35.0,2.0,,rule12,146407.54409164173,53.46463047459894,4235,42.36694677871149
8,35.0,5.0,,rule12,147614.08005927372,53.90522935264159,4005,40.06602641056423
8,40.0,-10.0,,rule12,136071.9002565879,49.690293695803355,5029,50.31012404961985
8,40.0,-7.0,,rule12,139280.85186318928,50.86212820011295,4886,48.87955182072829
8,40.0,-4.0,,rule12,143062.64944261097,52.24315273247553,4703,47.048819527811126
8,40.0,-1.0,,rule12,144781.3718758831,52.870790197152765,4493,44.947979191676666
8,40.0,2.0,,rule12,146044.5759682407,53.33208295655884,4265,42.66706682673069
8,40.0,5.0,,rule12,147432.44584168284,53.83890076018217,4022,40.23609443777511
8,45.0,-10.0,,rule12,134697.2257916942,49.188294548529875,5101,51.03041216486594
8,45.0,-7.0,,rule12,138140.90189646897,50.44584498118208,4950,49.51980792316927
8,45.0,-4.0,,rule12,142265.55002933316,51.952070562859035,4753,47.549019607843135
8,45.0,-1.0,,rule12,144191.22045814106,52.65528062304305,4529,45.30812324929972
8,45.0,2.0,,rule12,145705.79865336602,53.20836935924848,4289,42.907162865146056
8,45.0,5.0,,rule12,147329.28503928165,53.80122883409351,4030,40.31612645058023
8,50.0,-10.0,,rule12,133421.83456506787,48.722551331094024,5171,51.73069227691076
8,50.0,-7.0,,rule12,137239.8056029039,50.116785569275464,5009,50.110044017607045
8,50.0,-4.0,,rule12,141556.79163036714,51.69324847734705,4803,48.04921968787515
8,50.0,-1.0,,rule12,143757.7257334552,52.49697843027141,4567,45.68827531012405
8,50.0,2.0,,rule12,145569.60202149668,53.15863351646827,4306,43.077230892356944
8,50.0,5.0,,rule12,147299.39184823597,53.7903125358735,4035,40.36614645858344
8,55.0,-10.0,,rule12,131534.76429675194,48.03343715189598,5233,52.350940376150454
8,55.0,-7.0,,rule12,135653.26972451858,49.53741956051658,5063,50.650260104041614
8,55.0,-4.0,,rule12,140336.79651872744,51.247734632897846,4845,48.46938775510204
8,55.0,-1.0,,rule12,143224.15969342116,52.30213252023852,4595,45.968387354941974
8,55.0,2.0,,rule12,145189.09394664463,53.01968081604026,4327,43.287314925970385
8,55.0,5.0,,rule12,147113.49150555834,53.72242605373881,4046,40.476190476190474
8,60.0,-10.0,,rule12,129959.00908050576,47.458007990251886,5301,53.03121248499399
8,60.0,-7.0,,rule12,134382.5515437253,49.07338283074983,5119,51.21048419367747
8,60.0,-4.0,,rule12,139191.52130047063,50.829506755941665,4896,48.97959183673469
8,60.0,-1.0,,rule12,142499.83303905418,52.03762526988541,4633,46.348539415766304
8,60.0,2.0,,rule12,144807.10555601312,52.880187538713535,4350,43.51740696278512
8,60.0,5.0,,rule12,146943.7791787395,53.66045105855226,4057,40.58623449379752
8,65.0,-10.0,,rule12,127073.88571716943,46.404428029933335,5407,54.09163665466187
8,65.0,-7.0,,rule12,131979.56970762942,48.19586974424096,5213,52.15086034413765
8,65.0,-4.0,,rule12,137281.99767733415,50.13219313370368,4974,49.759903961584634
8,65.0,-1.0,,rule12,141097.24138351512,51.5254314137873,4694,46.95878351340536
8,65.0,2.0,,rule12,143824.2675573432,52.52127795696145,4393,43.94757903161264
8,65.0,5.0,,rule12,146330.4039375363,53.43646068417189,4083,40.84633853541417
8,70.0,-10.0,,rule12,123371.41293350454,45.05237106832623,5556,55.58223289315727
8,70.0,-7.0,,rule12,128802.65686315854,47.03573505081747,5349,53.511404561824726
8,70.0,-4.0,,rule12,135153.5289437633,49.35492584858432,5083,50.85034013605442
8,70.0,-1.0,,rule12,139779.41951720335,51.04419351343974,4764,47.65906362545018
8,70.0,2.0,,rule12,142945.7148459184,52.20045093701374,4441,44.42777110844337
8,70.0,5.0,,rule12,146056.49944163536,53.33643713176869,4105,41.06642657062825
8,75.0,-10.0,,rule12,118082.44995946292,43.12096478215854,5750,57.523009203681475
8,75.0,-7.0,,rule12,124442.2726096417,45.44342411979321,5516,55.182072829131656
8,75.0,-4.0,,rule12,131572.75024146168,48.04730873556153,5220,52.22088835534213
8,75.0,-1.0,,rule12,137235.30692288687,50.115142755947595,4868,48.699479791916765
8,75.0,2.0,,rule12,141371.14385126974,51.62545422555863,4511,45.128051220488196
8,75.0,5.0,,rule12,145213.58923137898,53.02862592440074,4141,41.426570628251305
8,80.0,-10.0,,rule12,113801.65691048349,41.55771870818124,5918,59.20368147258903
8,80.0,-7.0,,rule12,120625.92497208028,44.04978270964077,5668,56.70268107242897
8,80.0,-4.0,,rule12,128925.34849332913,47.080539181028755,5339,53.41136454581833
8,80.0,-1.0,,rule12,135487.8758172372,49.477021551722615,4956,49.57983193277311
8,80.0,2.0,,rule12,140313.9916749989,51.23940683428239,4570,45.71828731492597
8,80.0,5.0,,rule12,144828.34804042755,52.88794480003928,4163,41.64665866346539
8,85.0,-10.0,,rule12,109151.56701031496,39.859614011946746,6107,61.094437775110045
8,85.0,-7.0,,rule12,116846.81183856304,42.66973847449717,5830,58.3233293317327
8,85.0,-4.0,,rule12,126080.34111470677,46.04160864545238,5472,54.741896758703476
8,85.0,-1.0,,rule12,133499.4876823111,48.750908443730324,5057,50.59023609443778
8,85.0,2.0,,rule12,138877.17264789267,50.71471393802684,4641,46.42857142857143
8,85.0,5.0,,rule12,144109.99827657928,52.625620171114264,4199,42.00680272108844
8,90.0,-10.0,,rule12,104287.84274573575,38.08349501378022,6319,63.21528611444578
8,90.0,-7.0,,rule12,112632.97385196507,41.13094283229809,6019,60.2140856342537
8,90.0,-4.0,,rule12,122706.14744986469,44.809431584087314,5627,56.292517006802726
8,90.0,-1.0,,rule12,131183.82277432733,47.90528146886041,5165,51.670668267306915
8,90.0,2.0,,rule12,137268.99228867877,50.12744386819997,4713,47.14885954381753
8,90.0,5.0,,rule12,143409.5793199453,52.36984345601275,4232,42.33693477390956
8,95.0,-10.0,,rule12,99650.85991241937,36.39017671356244,6517,65.19607843137256
8,95.0,-7.0,,rule12,108581.40685305759,39.65140478128016,6186,61.88475390156063
8,95.0,-4.0,,rule12,119451.89825640804,43.621055454428884,5759,57.61304521808724
8,95.0,-1.0,,rule12,128913.5938634895,47.076246663558834,5270,52.721088435374156
8,95.0,2.0,,rule12,136093.14699335257,49.69805250998853,4779,47.809123649459785
8,95.0,5.0,,rule12,142809.44842089718,52.15068960739746,4262,42.63705482192877
8,100.0,-10.0,,rule12,94202.7818705849,34.400665304771,6792,67.94717887154862
8,100.0,-7.0,,rule12,103699.4069770093,37.868611954794524,6428,64.30572228891556
8,100.0,-4.0,,rule12,115611.01978338612,42.218455953617486,5955,59.57382953181273
8,100.0,-1.0,,rule12,126285.86020832031,46.1166594392055,5415,54.17166866746699
8,100.0,2.0,,rule12,134448.4026175168,49.09743011156764,4878,48.79951980792317
8,100.0,5.0,,rule12,141904.5284765764,51.82023388715178,4314,43.157262905162064
11,,,,rule1_only,153692.97941039124,56.12510203417735,3098,30.992396958783512
