X,A,Y,rule,total_rev,rev_per_mwh,n_curtailed,pct_curtailed,avoided_loss
5,70.0,-10.0,combined,40384.18653842671,90.93214073455756,976,25.677453301762693,9464.542468561056
5,70.0,-8.0,combined,40408.67070521594,90.98727116780596,974,25.624835569586953,9440.058301771816
5,70.0,-6.0,combined,40505.03982738144,91.20426329592226,969,25.49329123914759,9343.689179606314
5,70.0,-4.0,combined,40728.47474556255,91.7073665441634,957,25.177584846093133,9120.254261425214
5,70.0,-2.0,combined,40996.39168190877,92.31062892603222,939,24.704025256511443,8852.337325078988
5,70.0,0.0,combined,42103.31124729931,94.80305416297867,897,23.599052880820835,7745.417759688451
5,70.0,2.0,combined,42874.724292205705,96.54002711146572,848,22.309918442515126,6974.004714782055
5,70.0,4.0,combined,43155.66852391463,97.17262275362407,804,21.152328334648775,6693.06048307313
5,75.0,-10.0,combined,39811.748993030356,89.64319632582976,1023,26.91397000789266,10036.980013957398
5,75.0,-8.0,combined,39836.2331598196,89.69832675907818,1021,26.861352275716914,10012.495847168158
5,75.0,-6.0,combined,39989.789266008665,90.04408549920653,1012,26.624572480926073,9858.939740979094
5,75.0,-4.0,combined,40247.13129517851,90.62353660666221,998,26.25624835569587,9601.597711809249
5,75.0,-2.0,combined,40614.82020407931,91.45145323632838,973,25.59852670349908,9233.908802908449
5,75.0,0.0,combined,41856.70194168213,94.24776968142807,917,24.12523020257827,7992.027065305631
5,75.0,2.0,combined,42771.46883971535,96.30752919229805,859,22.599315969481715,7077.26016727241
5,75.0,4.0,combined,43109.60624427525,97.06890538170828,807,21.231254932912393,6739.122762712506
5,80.0,-10.0,combined,38702.914448583775,87.14645917474182,1105,29.07129702709813,11145.814558403983
5,80.0,-8.0,combined,38771.659459816816,87.30125072985446,1101,28.96606156274665,11077.069547170939
5,80.0,-6.0,combined,39074.35532738779,87.98282402844107,1089,28.650355169692187,10774.373679599972
5,80.0,-4.0,combined,39497.277154046584,88.93510734421024,1066,28.04525124967114,10351.451852941176
5,80.0,-2.0,combined,39891.56518254921,89.82291659755836,1032,27.150749802683507,9957.163824438554
5,80.0,0.0,combined,41397.651784396956,93.21413703745351,957,25.177584846093133,8451.077222590802
5,80.0,2.0,combined,42485.453624907255,95.663515334537,878,23.099184425151275,7363.275382080501
5,80.0,4.0,combined,43049.07692058821,96.9326129006194,813,21.38910812943962,6799.652086399552
