datetime,date,hour,year,month,day_of_week,is_weekend,quarter,price_eur_mwh,demand_mw,supply_mw,net_flow_cz,net_flow_pl,net_flow_hu,net_import,price_lag24,price_change_24h,price_change_24h_pct,price_lag168,price_change_7d,price_daily_mean,price_daily_std,price_daily_range,yesterday_mean_price,yesterday_std_price,yesterday_range_price,price_momentum_6h,net_import_lag24,net_import_change_24h
2024-06-12 21:00:00,2024-06-12,21,2024,6,2,0,2,147.49,1002.1,1325.7,760.0,348.2,-1431.8,-323.5999999999999,122.88,24.610000000000014,20.027669270833346,170.39,-22.899999999999977,93.68374999999999,30.998607516061007,102.13,82.71375,25.184475344338047,98.55000000000001,98.4,-276.29999999999995,-47.299999999999955
2024-06-12 22:00:00,2024-06-12,22,2024,6,2,0,2,133.44,864.4,1301.7,716.1,-182.0,-971.4,-437.29999999999995,116.82,16.620000000000005,14.22701592193118,144.88,-11.439999999999998,94.37624999999998,31.71529487178638,102.13,82.75958333333334,25.24807585938887,98.55000000000001,69.88,-166.89999999999986,-270.4000000000001
2024-06-12 23:00:00,2024-06-12,23,2024,6,2,0,2,105.91,861.6,1197.7,899.3,-288.7,-946.7,-336.10000000000014,92.38,13.530000000000001,14.64602727863174,118.15,-12.240000000000009,94.94,31.798409312143598,102.13,82.52375,25.12527669110041,98.55000000000001,11.469999999999999,-290.20000000000005,-45.90000000000009
2024-06-13 00:00:00,2024-06-13,0,2024,6,3,0,2,99.42,827.0,1072.3,934.6,-227.9,-952.0,-245.29999999999995,88.88,10.540000000000006,11.858685868586866,107.54,-8.120000000000005,95.37916666666666,31.783856432317286,102.13,82.69333333333333,25.15509623648203,98.55000000000001,-23.189999999999998,-216.0,-29.299999999999955
2024-06-13 01:00:00,2024-06-13,1,2024,6,3,0,2,91.65,810.9,927.1,783.6,-81.2,-818.6,-116.20000000000005,85.5,6.150000000000006,7.192982456140358,102.75,-11.099999999999994,95.63541666666667,31.725482828294638,102.13,83.06625,25.1263876212103,98.55000000000001,-52.96000000000001,-89.29999999999995,-26.90000000000009
2024-06-13 02:00:00,2024-06-13,2,2024,6,3,0,2,83.11,812.1,919.8,834.1,74.1,-1015.9,-107.69999999999993,78.52,4.590000000000003,5.845644421803367,92.0,-8.89,95.82666666666667,31.631516158615696,102.13,83.645,24.841626530798226,98.55000000000001,-67.83,-137.29999999999995,29.600000000000023
2024-06-13 03:00:00,2024-06-13,3,2024,6,3,0,2,82.02,818.5,936.0,916.0,153.0,-1186.5,-117.5,80.77,1.25,1.547604308530395,90.47,-8.450000000000003,95.87875000000001,31.606665823154046,102.13,84.29291666666667,24.54114317863981,98.55000000000001,-65.47000000000001,-139.39999999999986,21.899999999999864
2024-06-13 04:00:00,2024-06-13,4,2024,6,3,0,2,81.72,851.3,922.2,887.4,144.1,-1102.4,-70.90000000000009,84.79,-3.0700000000000074,-3.6207099893855488,91.6,-9.879999999999995,95.75083333333333,31.65966270751531,102.13,85.205,24.114565326158633,98.55000000000001,-51.72,-111.0,40.09999999999991
2024-06-13 05:00:00,2024-06-13,5,2024,6,3,0,2,97.27,882.7,883.1,861.5,-235.3,-626.6,-0.39999999999997726,93.56,3.7099999999999937,3.9653698161607456,106.91,-9.64,95.90541666666667,31.657557786984206,102.13,86.16874999999999,23.96010802626821,98.55000000000001,-8.64,-8.899999999999977,8.5
2024-06-13 06:00:00,2024-06-13,6,2024,6,3,0,2,118.88,1051.8,1150.8,634.9,-169.4,-564.5,-99.0,122.82,-3.9399999999999977,-3.207946588503499,126.45,-7.570000000000007,95.74125,31.521843401252024,102.13,87.61583333333334,25.102712120348862,98.55000000000001,19.459999999999994,-129.79999999999995,30.799999999999955
