date,daily_mae,daily_mae_std,n_samples,imbalance_std,daily_bias,mae_standardized,mae_roll_7d,mae_roll_30d,above_10pct,above_20pct,above_30pct,mae_deviation,cusum
2025-01-17,5.207216605843627,4.9467592158664635,94,11.348238879717325,-2.6449712013303257,0.4588568024550902,5.121481900799751,5.1845665309611135,True,False,False,0.7799487345289977,12.87407721399024
2025-01-18,6.486887778199943,4.795578637867275,96,8.93559343972552,-3.9437162041043012,0.7259604884618838,5.2746391794082,5.256917711363271,True,False,False,2.059619906885314,14.933697120875554
2025-01-19,5.252126292143836,5.268574896680236,95,8.538126268662186,-2.819462986211014,0.6151380439782107,5.323839913589707,5.256665531404353,True,True,False,0.8248584208292069,15.75855554170476
2025-01-20,4.750373428118635,3.977703736086925,96,8.294805841761574,-0.5094984023264456,0.572692540216203,5.369166073824346,5.231350926240067,True,True,False,0.32310555680400643,16.081661098508768
2025-01-21,5.146957168991217,4.929754567262635,95,8.059967934894916,-1.6438215894372943,0.6385828343941572,5.299542159282957,5.227332175894884,True,False,False,0.7196892976765881,16.801350396185356
2025-01-22,3.811653770301174,4.729440611501083,93,6.855064367032383,-1.385898292521528,0.5560347162650017,5.117329909799456,5.1629831574588065,True,False,False,-0.6156141010134548,16.1857362951719
2025-01-23,5.422931521929268,5.446714640202303,93,9.927002913566415,-1.9361143682471962,0.5462808431856301,5.154020937932529,5.17428526026187,True,False,False,0.995663650614639,17.181399945786538
2025-01-24,5.403693360296763,4.950182142840145,96,9.893790101242002,-1.967297240560151,0.546170204239366,5.182089045711549,5.183843931096657,True,False,False,0.9764254889821338,18.15782543476867
2025-01-25,6.583009563987329,5.2914811963559965,95,10.075322950784159,-4.5254281536059,0.6533795091377171,5.19582072939546,5.239810556412284,True,False,False,2.1557416926727004,20.313567127441374
2025-01-26,5.888287731529417,5.2680244981465565,96,10.159185182302336,-2.023005483776916,0.5796023623810918,5.286700935021972,5.264751986224481,True,False,False,1.4610198602147877,21.77458698765616
2025-01-27,6.203002204319623,5.097329943523357,96,12.583593266142994,-1.4378888053062788,0.4929436348685251,5.494219331622113,5.299501994302079,True,True,False,1.7757343330049942,23.550321320661155
2025-01-28,4.45766364094614,3.787549245780089,96,7.8661616955548315,-0.6808305456995821,0.566688534188811,5.395748827615672,5.269436338825082,True,True,False,0.030395769631510916,23.580717090292666
2025-01-29,4.75819973053343,4.1006862759029294,95,11.013115469791092,-0.5755467686145589,0.43204847380245326,5.530969679077424,5.2518074902633005,True,True,False,0.33093185921880064,23.911648949511466
2025-01-30,7.415935135879833,6.930977348376797,95,13.351679819089782,3.071856888374392,0.5554308698503074,5.815684481070362,5.323945078450518,True,True,True,2.988667264565204,26.90031621407667
