,natgas_mw,hardcoal_mw,lignite_mw,nuclear_mw,fosiloil_mw,hydroreservoir_mw,hydrorunriver_mw,hydropump_mw,hydropump_cvtg2_mw,hydropump_cvtg3_mw,hydropump_cvtg4_mw,hydropump_cvtg5_mw,hydropump_cvtg6_mw,resl_mw,resl_isr_mw,de_spot,sk_spot_m1,sk_spot_m2,sk_spot_merged,cons_gfs,cons_icon,cons_ecmf,cons_seps,solar_fcst,temp_gfs,temp_ecm,temp_icon,cloud_ec,cloud_icon,picasso_pos,picasso_neg
2025-07-20 19:30:00+00:00,508.9,,0.0,1426.3,35.8,150.7,543.5,440.3,,,,,,,2640.2224933046464,,,,,,,2673.1039134120897,2638.0,,,24.12715021453386,22.145719134356895,58.6311462100856,25.246668109913387,30.52333333333333,95.2266666666667
2025-07-20 19:45:00+00:00,508.9,,0.0,1426.3,35.8,150.7,543.5,440.3,,,,,,,2613.6771374101622,,,,,,,2648.870572837487,2638.0,,,23.56876191179365,21.349510859500622,62.92192412071829,25.807604873312656,46.09000000000001,82.99600000000001
2025-07-20 20:00:00+00:00,508.9,,0.0,1429.9,35.9,87.4,333.1,379.8,,,,,,,2564.631917912656,,,,,,,2599.799055868948,2494.5,,,22.699718578936615,20.691005078131077,65.32263681529707,21.315293525203117,63.948666666666654,92.28999999999999
2025-07-20 20:15:00+00:00,508.9,,0.0,1429.9,35.9,87.4,333.1,379.8,,,,,,,2528.343499574991,,,,,,,2565.1770542435747,2494.5,,,23.235048712871862,22.474016512467347,65.86195770132744,15.253518009457355,211.3323076923077,92.4186666666667
2025-07-20 20:30:00+00:00,508.9,,0.0,1429.9,35.9,87.4,333.1,379.8,,,,,,,2486.4253702477795,,,,,,,2520.4932248972195,2494.5,,,22.603803294286394,22.09913360312337,64.53695251216402,12.44638118662286,373.88000000000005,40.47866666666667
2025-07-20 20:45:00+00:00,508.9,,0.0,1429.9,35.9,87.4,333.1,379.8,,,,,,,2443.307735270229,,,,,,,2473.073055899538,2494.5,,,22.530940934633016,20.785597930520826,60.26283370966756,12.97914124708543,,77.20533333333336
2025-07-20 21:00:00+00:00,494.5,,0.0,1431.9,36.2,48.6,325.6,274.7,,,,,,,2404.8621753763737,,,,,,,2419.8690103654094,2333.25,,,21.495518494457183,21.315920332540312,49.72664068408752,16.47747710196033,72.92,61.22133333333333
2025-07-20 21:15:00+00:00,494.5,,0.0,1431.9,36.2,48.6,325.6,274.7,,,,,,,2357.6698687725348,,,,,,,2370.4759622438587,2333.25,,,21.63499237831961,21.35808626114462,35.17984448431176,19.207157805665506,66.92,69.52000000000001
2025-07-20 21:30:00+00:00,494.5,,0.0,1431.9,36.2,48.6,325.6,274.7,,,,,,,2315.7714108277623,,,,,,,2325.7911199716305,2333.25,,,20.97637892174895,21.82959909589813,21.863949353792474,24.60905399933689,373.88000000000005,337.4293333333334
2025-07-20 21:45:00+00:00,494.5,,0.0,1431.9,36.2,48.6,325.6,274.7,,,,,,,2283.5335830457043,,,,,,,2291.2802287799336,2333.25,,,20.677783955467287,20.41159478322879,9.838516432657695,33.00762249849977,373.88,76.98
