date,n_hours,rev_forecast,charge_hours,discharge_hours,avg_charge_price,avg_discharge_price,start_soc_f,end_soc_f,rev_perfect,start_soc_p,end_soc_p,rev_legacy,start_soc_l,end_soc_l,rev_naive,start_soc_n,end_soc_n,capture_forecast,capture_legacy,forecast_vs_legacy,price_range,price_mean,forecast_mae,month
2025-11-02,24,99.70750000000001,"[np.int64(2), np.int64(3), np.int64(11), np.int64(12)]","[np.int64(7), np.int64(8), np.int64(17), np.int64(18)]",79.495625,104.42250000000001,0,0,115.63750000000002,0,0,66.38000000000001,1,1,52.639999999999986,0,0,0.8622419197924548,0.5740352394335747,33.3275,55.24250000000001,94.44822916666665,19.974948347395834,2025-11
2025-11-03,24,193.195,"[np.int64(2), np.int64(3), np.int64(11), np.int64(12)]","[np.int64(6), np.int64(7), np.int64(16), np.int64(17)]",86.371875,134.670625,0,0,204.965,0,0,153.015,1,1,60.07999999999993,0,0,0.9425755616812626,0.7465420925523869,40.18000000000001,67.7225,104.72104166666668,17.323358887083334,2025-11
2025-11-04,24,220.6275,"[np.int64(1), np.int64(2), np.int64(10), np.int64(11)]","[np.int64(6), np.int64(7), np.int64(16), np.int64(17)]",89.85249999999999,145.00937499999998,0,0,315.40250000000003,0,0,242.0675,1,1,-75.2475,0,0,0.6995109423672925,0.7674875753996876,-21.439999999999998,102.7475,105.29145833333332,21.207555420625003,2025-11
2025-11-05,24,137.14250000000004,"[np.int64(3), np.int64(4), np.int64(10), np.int64(11)]","[np.int64(6), np.int64(7), np.int64(16), np.int64(17)]",88.61437500000001,122.9,0,0,155.685,0,0,108.70500000000003,1,1,36.224999999999994,0,0,0.8808973247262102,0.6982368243568746,28.437500000000014,46.16750000000002,105.58822916666666,11.099368619583332,2025-11
2025-11-06,24,130.73,"[np.int64(2), np.int64(3), np.int64(11), np.int64(12)]","[np.int64(6), np.int64(7), np.int64(16), np.int64(17)]",90.320625,123.00312499999998,0,0,150.4525,0,0,137.55,1,1,-22.22999999999999,0,0,0.8689121151193898,0.9142420365231553,-6.820000000000022,54.1525,103.55114583333334,11.288024869895834,2025-11
2025-11-07,24,309.0725,"[np.int64(3), np.int64(4), np.int64(10), np.int64(11)]","[np.int64(7), np.int64(8), np.int64(16), np.int64(17)]",93.1175,170.385625,0,0,317.28,0,0,248.185,1,1,67.41000000000003,0,0,0.9741316817952598,0.7822270549672214,60.88749999999999,149.32,117.03385416666667,9.199349375000002,2025-11
2025-11-08,24,69.9425,"[np.int64(3), np.int64(4), np.int64(10), np.int64(11)]","[np.int64(6), np.int64(7), np.int64(17), np.int64(18)]",105.18625000000002,122.671875,0,0,88.55250000000001,0,0,64.1,1,1,67.83250000000004,0,0,0.7898421840151322,0.7238643742412691,5.842500000000001,41.732500000000016,112.73083333333334,11.850234678124998,2025-11
2025-11-09,24,60.567499999999995,"[np.int64(4), np.int64(5), np.int64(10), np.int64(11)]","[np.int64(6), np.int64(7), np.int64(17), np.int64(18)]",96.584375,111.72625,0,0,81.44750000000005,0,0,77.99249999999998,1,1,54.38749999999999,0,0,0.7436385401639087,0.9575800362196498,-17.424999999999983,41.4825,105.56854166666666,4.5866358033333325,2025-11
2025-11-10,24,247.14499999999998,"[np.int64(1), np.int64(3), np.int64(11), np.int64(12)]","[np.int64(7), np.int64(8), np.int64(16), np.int64(17)]",102.986875,164.773125,0,0,247.41499999999996,0,0,203.80999999999995,1,1,57.85499999999996,0,0,0.9989087161247298,0.8237576541438473,43.335000000000036,98.225,127.26291666666667,10.960610236874999,2025-11
2025-11-11,24,166.6375,"[np.int64(3), np.int64(4), np.int64(11), np.int64(12)]","[np.int64(7), np.int64(8), np.int64(16), np.int64(17)]",87.76187499999999,129.42125,0,0,173.46499999999997,0,0,151.15500000000003,1,1,40.55499999999995,0,0,0.9606404750237801,0.8713861585910705,15.482499999999959,56.875,106.95364583333333,6.229330949895832,2025-11
2025-11-12,24,140.72250000000003,"[np.int64(2), np.int64(3), np.int64(12), np.int64(13)]","[np.int64(7), np.int64(8), np.int64(16), np.int64(17)]",91.00125,126.181875,0,0,285.64,0,0,109.91000000000001,1,1,-24.26750000000004,0,0,0.49265684077860256,0.384785044111469,30.812500000000014,96.82,115.38052083333334,26.373135140520834,2025-11
2025-11-13,24,184.49499999999998,"[np.int64(3), np.int64(4), np.int64(10), np.int64(11)]","[np.int64(7), np.int64(8), np.int64(16), np.int64(18)]",122.30187500000001,168.425625,0,0,305.935,0,0,215.56499999999994,1,1,-79.85000000000002,0,0,0.6030529360811936,0.7046104564695113,-31.069999999999965,106.335,144.2246875,47.154691772187505,2025-11
2025-11-14,24,120.24000000000001,"[np.int64(2), np.int64(3), np.int64(11), np.int64(12)]","[np.int64(7), np.int64(8), np.int64(15), np.int64(16)]",105.25,135.31,0,0,194.6,0,0,96.84500000000001,1,1,33.02999999999997,0,0,0.6178828365878726,0.4976618705035972,23.394999999999996,75.56500000000001,119.97510416666667,13.067748692812499,2025-11
2025-11-15,24,92.3775,"[np.int64(1), np.int64(2), np.int64(11), np.int64(12)]","[np.int64(8), np.int64(9), np.int64(16), np.int64(17)]",102.568125,125.6625,0,0,120.6925,0,0,82.3775,1,1,26.289999999999964,0,0,0.765395529962508,0.6825403401205543,10.0,60.315,115.81489583333332,18.419440348958332,2025-11
2025-11-16,24,36.485,"[np.int64(0), np.int64(3), np.int64(4), np.int64(11)]","[np.int64(1), np.int64(10), np.int64(16), np.int64(17)]",106.676875,115.798125,0,0,73.74,0,0,74.63499999999999,1,1,18.38749999999999,0,0,0.49477895307838354,1.012137238947654,-38.14999999999999,44.837500000000006,108.66166666666668,10.44759679166667,2025-11
2025-11-17,24,80.94000000000001,"[np.int64(2), np.int64(3), np.int64(12), np.int64(13)]","[np.int64(7), np.int64(8), np.int64(16), np.int64(17)]",102.40375,122.63875000000002,0,0,125.45749999999998,0,0,81.19999999999999,1,1,72.1175,0,0,0.6451587190881376,0.6472311340493793,-0.2599999999999767,59.437499999999986,107.62145833333334,15.627693229791667,2025-11
2025-11-18,24,190.39749999999998,"[np.int64(2), np.int64(3), np.int64(11), np.int64(12)]","[np.int64(7), np.int64(8), np.int64(15), np.int64(16)]",85.31625,132.915625,0,0,209.06,0,0,146.23749999999995,1,1,50.28249999999997,0,0,0.9107313689849803,0.6995001434994736,44.160000000000025,79.42499999999998,108.54739583333333,5.593304171875,2025-11
2025-11-19,24,264.33000000000004,"[np.int64(2), np.int64(3), np.int64(10), np.int64(11)]","[np.int64(7), np.int64(8), np.int64(16), np.int64(17)]",93.388125,159.47062499999998,0,0,288.21000000000004,0,0,173.44,1,1,6.997500000000002,0,0,0.9171437493494328,0.6017834218104853,90.89000000000004,114.13750000000002,119.30552083333333,10.352125058958336,2025-11
2025-11-20,24,216.14,"[np.int64(1), np.int64(2), np.int64(11), np.int64(12)]","[np.int64(7), np.int64(8), np.int64(16), np.int64(17)]",114.269375,168.304375,0,0,223.19500000000002,0,0,202.95,1,1,90.07500000000005,0,0,0.968390868971079,0.9092945630502474,13.189999999999998,100.62750000000001,134.13354166666667,15.562954102708332,2025-11
2025-11-21,24,423.11749999999995,"[np.int64(2), np.int64(3), np.int64(11), np.int64(12)]","[np.int64(7), np.int64(8), np.int64(16), np.int64(17)]",114.39125000000001,220.170625,0,0,432.455,0,0,365.72749999999996,1,1,136.52499999999998,0,0,0.9784081580742504,0.8457007087442624,57.389999999999986,159.75,147.35072916666667,24.280158737291668,2025-11
2025-11-22,24,139.47499999999997,"[np.int64(3), np.int64(4), np.int64(11), np.int64(12)]","[np.int64(7), np.int64(10), np.int64(16), np.int64(17)]",92.746875,127.615625,0,0,151.08,0,0,156.945,1,1,31.995000000000005,0,0,0.9231863913158589,1.0388204924543287,-17.470000000000027,72.155,110.12281250000001,8.909571114895833,2025-11
2025-11-23,24,171.005,"[np.int64(3), np.int64(4), np.int64(9)]","[np.int64(8), np.int64(16), np.int64(17)]",74.43833333333333,131.44,0,0,171.4725,0,0,167.3875,1,1,91.98250000000007,0,0,0.9972736153027454,0.9761769379929726,3.617500000000007,93.435,100.873125,8.206358124374999,2025-11
2025-11-24,24,379.88250000000005,"[np.int64(2), np.int64(3), np.int64(10), np.int64(11)]","[np.int64(8), np.int64(9), np.int64(16), np.int64(17)]",129.559375,224.53000000000003,0,0,397.7025,0,0,306.12,1,1,214.41250000000002,0,0,0.9551926377128634,0.769721085484753,73.76250000000005,197.7025,162.93260416666666,38.6293924125,2025-11
2025-11-25,24,510.28999999999996,"[np.int64(2), np.int64(3), np.int64(11), np.int64(12)]","[np.int64(8), np.int64(9), np.int64(16), np.int64(17)]",224.7225,352.295,0,0,605.1899999999999,0,0,546.13,1,1,292.7075,0,0,0.8431897420644756,0.9024108131330657,-35.84000000000003,275.23,235.54666666666662,91.27129175,2025-11
2025-11-26,24,400.2125,"[np.int64(2), np.int64(3), np.int64(10), np.int64(15)]","[np.int64(8), np.int64(14), np.int64(16), np.int64(17)]",149.87625000000003,249.929375,0,0,513.1324999999999,0,0,457.88249999999994,1,1,190.05499999999995,0,0,0.7799398790760671,0.8923280049499885,-57.66999999999996,200.49750000000003,161.0091666666667,40.5142983125,2025-11
2025-11-27,24,238.01,"[np.int64(3), np.int64(4), np.int64(10), np.int64(11)]","[np.int64(8), np.int64(9), np.int64(16), np.int64(17)]",95.760625,155.263125,0,0,252.32500000000002,0,0,241.14,1,1,15.514999999999986,0,0,0.9432676112156939,0.9556722480927374,-3.1299999999999955,114.18749999999999,118.69864583333333,50.73022696541667,2025-11
2025-11-28,24,211.83249999999998,"[np.int64(2), np.int64(3), np.int64(10), np.int64(11)]","[np.int64(7), np.int64(8), np.int64(16), np.int64(17)]",97.066875,150.02499999999998,0,0,249.79749999999996,0,0,195.73000000000002,1,1,39.139999999999986,0,0,0.848016893683884,0.7835546792902253,16.102499999999964,99.3925,118.97093749999999,32.9959282665625,2025-11
2025-11-29,24,120.91500000000005,"[np.int64(1), np.int64(4), np.int64(10), np.int64(12)]","[np.int64(8), np.int64(9), np.int64(16), np.int64(17)]",98.038125,128.266875,0,0,129.13000000000002,0,0,92.52000000000001,1,1,74.3825,0,0,0.9363819406799352,0.7164872608998683,28.39500000000004,56.19500000000001,111.68958333333335,7.778615725416664,2025-11
2025-11-30,24,72.19500000000001,"[np.int64(1), np.int64(4), np.int64(5), np.int64(13)]","[np.int64(2), np.int64(10), np.int64(16), np.int64(17)]",88.779375,106.828125,0,0,107.19,0,0,88.6675,1,1,47.70749999999998,0,0,0.6735236495941787,0.8271993656124639,-16.472499999999997,47.307500000000005,101.87093750000001,7.735000769375001,2025-11
2025-12-01,24,357.44750000000005,"[np.int64(1), np.int64(2), np.int64(10), np.int64(11)]","[np.int64(8), np.int64(9), np.int64(16), np.int64(17)]",121.001875,210.36375000000004,0,0,379.59000000000003,0,0,285.0575,1,1,162.38750000000005,0,0,0.941667325272004,0.7509615637925129,72.39000000000004,179.98000000000002,159.49177083333333,24.623339833333333,2025-12
2025-12-02,24,263.155,"[np.int64(2), np.int64(3), np.int64(10), np.int64(11)]","[np.int64(7), np.int64(8), np.int64(16), np.int64(17)]",127.79,193.57875,0,0,281.275,0,0,246.73250000000002,1,1,91.10749999999996,0,0,0.9355790596391431,0.877193138387699,16.422499999999957,122.8925,148.2496875,11.393689667604166,2025-12
2025-12-03,24,493.3325000000001,"[np.int64(2), np.int64(3), np.int64(11), np.int64(12)]","[np.int64(8), np.int64(9), np.int64(16), np.int64(17)]",131.863125,255.19625000000002,0,0,493.3325000000001,0,0,464.6550000000001,1,1,86.77999999999997,0,0,1.0,0.9418698342395848,28.67750000000001,211.87250000000003,165.62395833333335,17.464618062499998,2025-12
2025-12-04,24,173.0475,"[np.int64(2), np.int64(3), np.int64(11), np.int64(12)]","[np.int64(7), np.int64(8), np.int64(16), np.int64(17)]",119.85374999999999,163.115625,0,0,193.32250000000002,0,0,167.58750000000003,1,1,75.875,0,0,0.8951234336406781,0.8668804717505724,5.4599999999999795,86.615,132.80739583333335,18.596021682708333,2025-12
2025-12-05,24,174.04999999999998,"[np.int64(2), np.int64(3), np.int64(11), np.int64(12)]","[np.int64(8), np.int64(9), np.int64(16), np.int64(17)]",128.18875,171.70125000000002,0,0,191.36749999999998,0,0,153.09499999999997,1,1,110.84249999999997,0,0,0.9095065776581708,0.8000052255477027,20.955000000000013,99.18749999999999,133.010625,26.960227515624997,2025-12
2025-12-06,24,109.71249999999999,"[np.int64(2), np.int64(3), np.int64(12), np.int64(13)]","[np.int64(7), np.int64(8), np.int64(16), np.int64(17)]",90.116875,117.54499999999999,0,0,116.22999999999998,0,0,88.88250000000001,1,1,68.03500000000003,0,0,0.9439258367030888,0.7647122085520092,20.829999999999984,54.61499999999998,101.95270833333335,5.941070659062497,2025-12
2025-12-07,24,51.27000000000001,"[np.int64(0), np.int64(1), np.int64(6), np.int64(10)]","[np.int64(5), np.int64(9), np.int64(18), np.int64(19)]",84.786875,97.604375,0,0,81.16000000000001,0,0,70.62749999999998,1,1,41.16000000000005,0,0,0.63171513060621,0.8702254805322815,-19.357499999999973,39.95750000000001,94.02749999999999,6.757368682083334,2025-12
2025-12-08,24,117.02249999999998,"[np.int64(3), np.int64(5), np.int64(11), np.int64(12)]","[np.int64(8), np.int64(9), np.int64(15), np.int64(16)]",92.625625,121.88125,0,0,151.89000000000001,0,0,100.99499999999998,1,1,86.7525,0,0,0.7704424254394625,0.664921983014023,16.027500000000003,64.895,105.28156249999999,21.09613069510417,2025-12
2025-12-09,24,142.12750000000003,"[np.int64(2), np.int64(3), np.int64(11), np.int64(12)]","[np.int64(8), np.int64(9), np.int64(16), np.int64(17)]",96.499375,132.03125,0,0,152.48500000000004,0,0,150.88500000000002,1,1,56.025000000000034,0,0,0.932075286093714,0.9895071646391447,-8.757499999999993,65.45750000000001,111.3021875,26.762737757500002,2025-12
2025-12-10,24,106.24500000000002,"[np.int64(3), np.int64(4), np.int64(11), np.int64(12)]","[np.int64(7), np.int64(8), np.int64(16), np.int64(18)]",90.645,117.20625000000001,0,0,112.28500000000001,0,0,105.29999999999998,1,1,50.50999999999999,0,0,0.946208309213163,0.937792225141381,0.9450000000000358,41.2775,101.09697916666669,6.893889825833334,2025-12
2025-12-11,24,95.47749999999999,"[np.int64(3), np.int64(4), np.int64(11), np.int64(12)]","[np.int64(7), np.int64(8), np.int64(16), np.int64(17)]",96.53812500000001,120.4075,0,0,111.5325,0,0,92.005,1,1,79.70500000000001,0,0,0.8560509268598838,0.8249165041579808,3.4724999999999966,39.08250000000001,106.1953125,6.950392684791666,2025-12
2025-12-12,24,143.99250000000004,"[np.int64(1), np.int64(2), np.int64(12), np.int64(13)]","[np.int64(7), np.int64(8), np.int64(16), np.int64(17)]",106.13999999999999,142.138125,0,0,145.9025,0,0,112.64750000000004,1,1,56.05250000000001,0,0,0.9869090659858469,0.7720738164184989,31.345,65.82249999999999,118.53770833333333,5.147547766041664,2025-12
2025-12-13,24,83.77249999999998,"[np.int64(3), np.int64(4), np.int64(12), np.int64(13)]","[np.int64(8), np.int64(9), np.int64(16), np.int64(17)]",95.24062500000001,116.18375,0,0,85.29499999999999,0,0,80.84249999999997,1,1,31.8125,0,0,0.9821501846532621,0.9477988158743184,2.930000000000007,32.17499999999998,105.28333333333335,4.041008210833336,2025-12
2025-12-14,24,55.24750000000003,"[np.int64(0), np.int64(3), np.int64(6), np.int64(12)]","[np.int64(5), np.int64(10), np.int64(15), np.int64(16)]",88.66437499999999,102.47625000000001,0,0,81.265,0,0,60.515,1,1,66.75500000000005,0,0,0.679843721159171,0.7446625238417522,-5.26749999999997,33.530000000000015,97.81447916666666,5.737917277604165,2025-12
2025-12-15,24,172.29499999999996,"[np.int64(0), np.int64(2), np.int64(11), np.int64(12)]","[np.int64(7), np.int64(8), np.int64(16), np.int64(17)]",95.43125,138.505,0,0,187.5625,0,0,132.48250000000002,1,1,39.85000000000002,0,0,0.9186004665111627,0.7063378873708764,39.81249999999994,80.07499999999999,112.18052083333333,8.8563171353125,2025-12
2025-12-16,24,215.25000000000006,"[np.int64(3), np.int64(4), np.int64(11), np.int64(12)]","[np.int64(7), np.int64(8), np.int64(16), np.int64(17)]",106.59374999999999,160.40625,0,0,217.25000000000003,0,0,202.93250000000003,1,1,72.17250000000001,0,0,0.9907940161104719,0.93409666283084,12.317500000000024,95.0025,125.67697916666668,10.461816056979169,2025-12
2025-12-17,24,143.82749999999996,"[np.int64(2), np.int64(3), np.int64(11), np.int64(12)]","[np.int64(7), np.int64(8), np.int64(16), np.int64(17)]",109.55,145.50687499999998,0,0,145.32749999999996,0,0,140.62999999999994,1,1,84.4375,0,0,0.9896784848015688,0.9676764549035797,3.1975000000000193,55.874999999999986,122.70291666666667,5.928297529791666,2025-12
2025-12-18,24,174.85999999999996,"[np.int64(1), np.int64(3), np.int64(11), np.int64(12)]","[np.int64(7), np.int64(8), np.int64(15), np.int64(16)]",101.08687499999999,144.801875,0,0,212.8875,0,0,185.33000000000004,1,1,103.44250000000005,0,0,0.8213727907932592,0.8705536962010454,-10.470000000000084,99.25499999999998,116.12729166666666,10.33735919302083,2025-12
2025-12-19,24,104.875,"[np.int64(3), np.int64(4), np.int64(11), np.int64(12)]","[np.int64(7), np.int64(8), np.int64(16), np.int64(17)]",91.53999999999999,117.75874999999999,0,0,141.0675,0,0,90.1675,1,1,100.45500000000001,0,0,0.743438424867528,0.6391798252609567,14.707499999999996,61.980000000000004,102.98895833333331,9.612428331041665,2025-12
2025-12-20,24,82.94000000000001,"[np.int64(2), np.int64(3), np.int64(12), np.int64(13)]","[np.int64(8), np.int64(9), np.int64(16), np.int64(17)]",102.244375,122.979375,0,0,88.39250000000001,0,0,78.17000000000003,1,1,47.74250000000001,0,0,0.9383149022824334,0.884351047883022,4.769999999999982,45.000000000000014,109.46375,4.632246254583332,2025-12
2025-12-21,24,60.64999999999996,"[np.int64(3), np.int64(4), np.int64(12), np.int64(13)]","[np.int64(9), np.int64(10), np.int64(16), np.int64(17)]",99.5625,114.72500000000001,0,0,63.672499999999985,0,0,67.16500000000002,1,1,44.38750000000002,0,0,0.952530527307707,1.0548509953276537,-6.515000000000057,32.31750000000001,104.65083333333332,6.8874457833333365,2025-12
2025-12-22,24,119.68250000000002,"[np.int64(2), np.int64(3), np.int64(11), np.int64(12)]","[np.int64(7), np.int64(8), np.int64(15), np.int64(16)]",97.06437500000001,126.985,0,0,127.1775,0,0,99.86249999999998,1,1,66.01749999999998,0,0,0.9410666194885103,0.7852214424721353,19.820000000000036,57.2175,108.96322916666666,14.906198247604166,2025-12
2025-12-23,24,52.10749999999999,"[np.int64(3), np.int64(5), np.int64(11), np.int64(12)]","[np.int64(8), np.int64(9), np.int64(16), np.int64(17)]",96.25,109.27687499999999,0,0,102.01000000000003,0,0,55.77999999999999,1,1,63.9075,0,0,0.5108077639447111,0.5468091363591802,-3.6724999999999994,47.58500000000001,98.14020833333332,9.3693358890625,2025-12
2025-12-24,24,65.71499999999999,"[np.int64(6), np.int64(11), np.int64(12), np.int64(21)]","[np.int64(9), np.int64(15), np.int64(16), np.int64(22)]",83.3675,99.79625,0,0,101.725,0,0,32.15750000000001,1,1,9.147500000000008,0,0,0.6460063897763577,0.31612189727205714,33.557499999999976,49.852500000000006,85.1228125,8.9655946503125,2025-12
2025-12-25,24,75.945,"[np.int64(6), np.int64(11), np.int64(12), np.int64(21)]","[np.int64(7), np.int64(16), np.int64(19), np.int64(22)]",79.75874999999999,98.74499999999999,0,0,115.73250000000002,0,0,58.692500000000024,1,1,47.93000000000001,0,0,0.6562115222603848,0.5071393083187524,17.25249999999997,48.6275,84.5115625,10.184015307604168,2025-12
2025-12-26,24,84.21749999999999,"[np.int64(6), np.int64(7), np.int64(11), np.int64(12)]","[np.int64(8), np.int64(9), np.int64(18), np.int64(19)]",86.749375,107.80375,0,0,104.79499999999996,0,0,76.91499999999999,1,1,36.16499999999999,0,0,0.8036404408607283,0.7339567727467916,7.302499999999995,39.5625,98.12208333333332,7.572030231458332,2025-12
2025-12-27,24,115.67000000000002,"[np.int64(4), np.int64(5), np.int64(11), np.int64(12)]","[np.int64(7), np.int64(8), np.int64(16), np.int64(18)]",79.736875,108.65437500000002,0,0,121.0375,0,0,96.69249999999998,1,1,3.5475000000000136,0,0,0.9556542393886194,0.7988639884333366,18.977500000000035,44.917500000000004,94.62072916666666,11.033721173645835,2025-12
2025-12-28,24,86.20249999999999,"[np.int64(2), np.int64(3), np.int64(12), np.int64(13)]","[np.int64(8), np.int64(9), np.int64(16), np.int64(18)]",82.785,104.335625,0,0,97.68250000000002,0,0,79.12999999999997,1,1,32.53250000000003,0,0,0.8824763903462746,0.8100734522560331,7.072500000000019,36.787499999999994,94.34104166666667,12.027993778125,2025-12
2025-12-29,24,80.9175,"[np.int64(2), np.int64(3), np.int64(11), np.int64(12)]","[np.int64(8), np.int64(9), np.int64(16), np.int64(17)]",86.58,106.809375,0,0,100.7325,0,0,88.9975,1,1,17.622500000000002,0,0,0.8032908941999851,0.8835033380487926,-8.079999999999998,33.1225,95.58260416666667,9.320014849166666,2025-12
2025-12-30,24,94.18249999999999,"[np.int64(3), np.int64(4), np.int64(11), np.int64(12)]","[np.int64(8), np.int64(9), np.int64(16), np.int64(19)]",77.22625,100.771875,0,0,103.43999999999998,0,0,66.17249999999997,1,1,27.517499999999984,0,0,0.9105036736272235,0.6397186774941993,28.01000000000002,34.94999999999999,89.34822916666667,2.763066866666669,2025-12
2025-12-31,24,119.51749999999998,"[np.int64(4), np.int64(5), np.int64(11), np.int64(12)]","[np.int64(8), np.int64(9), np.int64(15), np.int64(16)]",79.70937500000001,109.58874999999999,0,0,120.315,0,0,100.92250000000001,1,1,10.577500000000015,0,0,0.9933715663051156,0.838818933632548,18.59499999999997,48.30499999999999,95.52541666666666,6.905215233124998,2025-12
2026-01-01,24,68.285,"[np.int64(4), np.int64(5), np.int64(11), np.int64(12)]","[np.int64(8), np.int64(9), np.int64(15), np.int64(19)]",42.544374999999995,59.615624999999994,0,0,134.815,0,0,60.5325,1,1,-78.2375,0,0,0.5065089196306048,0.4490041909283092,7.752499999999998,73.3575,64.19989583333334,18.236753329166664,2026-01
2026-01-02,24,201.30999999999997,"[np.int64(3), np.int64(4), np.int64(11), np.int64(12)]","[np.int64(7), np.int64(8), np.int64(18), np.int64(19)]",59.041875000000005,109.369375,0,0,201.4475,0,0,100.44749999999999,1,1,137.20999999999998,0,0,0.9993174400277988,0.49862867496494123,100.86249999999998,88.185,86.5278125,11.593660272499998,2026-01
2026-01-03,24,59.00250000000001,"[np.int64(3), np.int64(4), np.int64(11), np.int64(12)]","[np.int64(7), np.int64(8), np.int64(18), np.int64(19)]",84.82624999999999,99.576875,0,0,80.61750000000004,0,0,52.89999999999999,1,1,45.49999999999997,0,0,0.7318820355381894,0.6561850714795171,6.1025000000000205,35.935,92.32010416666667,6.358600677916665,2026-01
2026-01-04,24,65.82249999999998,"[np.int64(2), np.int64(3), np.int64(11), np.int64(12)]","[np.int64(7), np.int64(8), np.int64(17), np.int64(18)]",87.34750000000001,103.80312500000001,0,0,87.66499999999999,0,0,74.37999999999997,1,1,69.995,0,0,0.7508412707465919,0.848457195003707,-8.55749999999999,38.6225,95.27895833333334,5.524542793645836,2026-01
2026-01-05,24,289.29,"[np.int64(3), np.int64(4), np.int64(12), np.int64(13)]","[np.int64(8), np.int64(9), np.int64(17), np.int64(18)]",112.981875,185.30437500000002,0,0,296.0475,0,0,212.97750000000002,1,1,142.02000000000004,0,0,0.9771742710206978,0.7194031363210296,76.3125,137.995,139.18145833333332,22.194934984166668,2026-01
