datetime,de_forecast1_spot,sk_forecast1_spot,sk_forecast2_spot,sk_merged_spot,price_actual,de_forecast1_spot_error,sk_forecast1_spot_error,sk_forecast2_spot_error,sk_merged_spot_error,date,hour
2025-11-27 17:00:00,135.74722445,245.73987315,245.73987315,,164.2775,-28.53027555,81.46237314999999,81.46237314999999,,2025-11-27,17
2025-11-27 18:00:00,148.6106276,211.052641875,211.052641875,,143.9425,4.668127599999991,67.11014187500001,67.11014187500001,,2025-11-27,18
2025-11-27 19:00:00,125.69754625,180.225888475,180.225888475,,140.18,-14.482453750000005,40.045888475,40.045888475,,2025-11-27,19
2025-11-27 20:00:00,97.8653521575,143.345076425,143.345076425,,120.9925,-23.12714784250001,22.352576424999995,22.352576424999995,,2025-11-27,20
2025-11-27 21:00:00,87.8288710175,115.9486551,115.9486551,,105.1975,-17.3686289825,10.751155099999991,10.751155099999991,,2025-11-27,21
2025-11-27 22:00:00,81.510565395,100.675082055,100.675082055,,95.9725,-14.461934604999996,4.702582055000008,4.702582055000008,,2025-11-27,22
2025-11-27 23:00:00,76.0198230375,85.8963321175,85.8963321175,,75.885,0.13482303749999858,10.01133211749999,10.01133211749999,,2025-11-27,23
2025-11-28 00:00:00,64.3552856375,87.745058915,87.745058915,,85.39500000000001,-21.039714362500007,2.350058914999991,2.350058914999991,,2025-11-28,0
2025-11-28 01:00:00,60.171063165,84.840644395,84.840644395,,72.715,-12.543936835000004,12.125644394999995,12.125644394999995,,2025-11-28,1
2025-11-28 02:00:00,58.9946853225,83.798454385,83.798454385,,72.2075,-13.212814677499999,11.590954385000003,11.590954385000003,,2025-11-28,2
2025-11-28 03:00:00,57.1866334725,84.5150245875,84.5150245875,,78.4925,-21.305866527500008,6.022524587499987,6.022524587499987,,2025-11-28,3
2025-11-28 04:00:00,58.583691735,87.654681145,87.654681145,,75.27000000000001,-16.686308265000008,12.384681144999988,12.384681144999988,,2025-11-28,4
2025-11-28 05:00:00,63.196208295,94.482064965,94.482064965,,99.3175,-36.121291705,-4.835435034999989,-4.835435034999989,,2025-11-28,5
2025-11-28 06:00:00,86.93415826750001,132.76092914999998,132.76092914999998,,120.42,-33.48584173249999,12.34092914999998,12.34092914999998,,2025-11-28,6
2025-11-28 07:00:00,100.13997399499999,189.561744825,189.561744825,,144.9975,-44.85752600500001,44.564244825,44.564244825,,2025-11-28,7
2025-11-28 08:00:00,116.794687975,193.8755227,193.8755227,,151.6375,-34.842812024999986,42.238022700000016,42.238022700000016,,2025-11-28,8
2025-11-28 09:00:00,108.84576907499999,180.48396145,180.48396145,,139.2225,-30.376730925000004,41.26146145000001,41.26146145000001,,2025-11-28,9
2025-11-28 10:00:00,106.74054305,153.199087275,153.199087275,,123.985,-17.24445695,29.21408727500001,29.21408727500001,,2025-11-28,10
2025-11-28 11:00:00,106.50136144999999,155.22707200000002,155.22707200000002,,113.5825,-7.081138550000006,41.644572000000025,41.644572000000025,,2025-11-28,11
2025-11-28 12:00:00,107.5848519,166.654355525,166.654355525,,119.66,-12.075148099999993,46.994355525,46.994355525,,2025-11-28,12
2025-11-28 13:00:00,105.69750082499999,183.52374955,183.52374955,,127.5425,-21.844999175000012,55.98124954999999,55.98124954999999,,2025-11-28,13
2025-11-28 14:00:00,108.587990725,211.020849325,211.020849325,,171.6,-63.012009275,39.420849325000006,39.420849325000006,,2025-11-28,14
2025-11-28 15:00:00,123.140982275,227.3115329,227.3115329,,147.8625,-24.721517725000012,79.44903289999999,79.44903289999999,,2025-11-28,15
2025-11-28 16:00:00,153.36047374999998,252.9805971,252.9805971,,159.7275,-6.367026250000009,93.25309710000002,93.25309710000002,,2025-11-28,16
2025-11-28 17:00:00,161.99873695,228.18162195,228.18162195,,143.73749999999998,18.26123695000001,84.44412195000001,84.44412195000001,,2025-11-28,17
2025-11-28 18:00:00,135.499532625,199.22213290000002,199.22213290000002,,136.48250000000002,-0.9829673750000154,62.739632900000004,62.739632900000004,,2025-11-28,18
2025-11-28 19:00:00,117.838711975,171.9180443,171.9180443,,135.2525,-17.413788025000002,36.66554429999999,36.66554429999999,,2025-11-28,19
2025-11-28 20:00:00,97.6242690725,137.213591575,137.213591575,,122.885,-25.260730927500006,14.328591575000004,14.328591575000004,,2025-11-28,20
2025-11-28 21:00:00,89.27472221,109.60351335,109.60351335,,111.535,-22.260277790000004,-1.9314866499999965,-1.9314866499999965,,2025-11-28,21
2025-11-28 22:00:00,84.65542479999999,98.7893277,98.7893277,,109.14,-24.48457520000001,-10.3506723,-10.3506723,,2025-11-28,22
2025-11-28 23:00:00,77.60394301,86.86397154,86.86397154,,92.635,-15.03105699000001,-5.771028460000011,-5.771028460000011,,2025-11-28,23
2025-11-29 00:00:00,80.30374358,91.9292411375,91.9292411375,,95.1025,-14.798756420000004,-3.173258862500006,-3.173258862500006,,2025-11-29,0
2025-11-29 01:00:00,79.1938960575,87.858539705,87.858539705,,91.46,-12.266103942499996,-3.6014602949999954,-3.6014602949999954,,2025-11-29,1
2025-11-29 02:00:00,78.5266430975,92.22891932,92.22891932,,90.61,-12.0833569025,1.6189193200000034,1.6189193200000034,,2025-11-29,2
2025-11-29 03:00:00,77.19304948999999,88.5799055975,88.5799055975,,90.42,-13.226950510000009,-1.8400944025000001,-1.8400944025000001,,2025-11-29,3
2025-11-29 04:00:00,75.70221612,88.15252575,88.15252575,,91.6675,-15.965283880000001,-3.5149742500000087,-3.5149742500000087,,2025-11-29,4
2025-11-29 05:00:00,78.30000562000001,92.8301077975,92.8301077975,,97.265,-18.964994379999993,-4.434892202499995,-4.434892202499995,,2025-11-29,5
2025-11-29 06:00:00,83.377524915,105.933516,105.933516,,98.2625,-14.884975085000008,7.6710159999999945,7.6710159999999945,,2025-11-29,6
2025-11-29 07:00:00,89.134681795,117.6260854,117.6260854,,111.3775,-22.242818204999992,6.248585399999996,6.248585399999996,,2025-11-29,7
2025-11-29 08:00:00,94.4437096375,121.982368475,121.982368475,,113.43,-18.9862903625,8.552368474999994,8.552368474999994,,2025-11-29,8
