tradeday,hour,ceps_in,ceps_out,apg_in,apg_out,mavir_in,mavir_out,pse_in,pse_out,de_in,de_out,total_import_cap,total_export_cap,net_capacity,ceps_congested_in,apg_congested_in,mavir_congested_in,pse_congested_in,de_congested_in,congested_in_count,last_price,total_amount,idm_mid_price,idm_bid,idm_ask,idm_spread,dayofweek,is_weekend,month,idm_price,date,imbalance_mwh,imbalance_abs_mean,imbalance_std,imbalance_min,imbalance_max,n_periods,imbalance_sign,abs_imbalance,is_deficit
2025-12-12,11,975.0,1009.0,851.0,824.0,851.0,824.0,0.0,470.0,0.0,1092.0,2677.0,4219.0,-1542.0,0,0,0,1,1,2,110.67,25.2,208.37875,67.52,349.2375,281.71750000000003,4,0,12,208.37875,2025-12-12,2.717,1.9987500000000002,2.5840308789434645,-1.899,3.978,4,1.0,2.717,0
2025-12-12,12,325.0,427.0,913.0,523.0,716.0,224.0,0.0,653.0,21.0,255.5,1975.0,2082.5,-107.5,0,0,0,1,0,1,105.59,156.6,116.23875,77.13,155.3475,78.2175,4,0,12,116.23875,2025-12-12,-0.16900000000000026,1.7467499999999998,2.072556613621608,-2.342,1.892,4,-1.0,0.16900000000000026,1
2025-12-12,13,409.0,1134.0,601.0,303.0,1111.0,370.0,0.0,326.0,0.0,1134.0,2121.0,3267.0,-1146.0,0,0,0,1,1,2,129.96,151.8,97.53625,45.505,149.5675,104.0625,4,0,12,97.53625,2025-12-12,-7.308,2.747,3.0684748654665563,-5.48,1.84,4,-1.0,7.308,1
2025-12-12,14,239.0,1038.0,396.0,7.0,813.0,7.0,0.0,189.0,0.0,1038.0,1448.0,2279.0,-831.0,0,0,0,1,1,2,86.0,193.0,96.68,58.75,134.61,75.86,4,0,12,96.68,2025-12-12,11.55,4.2135,4.764735844374447,-2.652,8.93,4,1.0,11.55,0
2025-12-12,15,293.0,389.0,293.0,83.0,1236.0,156.0,0.0,379.0,183.0,430.0,2005.0,1437.0,568.0,0,0,0,1,0,1,137.0,145.4,80.5925,28.7675,132.4175,103.65,4,0,12,80.5925,2025-12-12,-2.375,2.53875,3.052115809838589,-2.933,3.89,4,-1.0,2.375,1
2025-12-12,16,117.0,922.0,117.0,641.0,593.0,170.0,112.0,0.0,0.0,922.0,939.0,2655.0,-1716.0,0,0,0,0,1,1,138.75,112.4,114.63125,76.52000000000001,152.7425,76.2225,4,0,12,114.63125,2025-12-12,26.246000000000002,6.5615000000000006,4.339274324891971,3.591,12.887,4,1.0,26.246000000000002,0
2025-12-12,17,477.0,1314.0,477.0,398.0,731.0,398.0,0.0,161.0,35.0,1314.0,1720.0,3585.0,-1865.0,0,0,0,1,0,1,139.05,118.6,102.49875,62.5175,142.48000000000002,79.9625,4,0,12,102.49875,2025-12-12,17.443,4.36075,4.578729545408858,1.383,11.169,4,1.0,17.443,0
2025-12-12,18,367.0,593.0,416.0,102.0,298.0,263.0,0.0,68.0,303.0,593.0,1384.0,1619.0,-235.0,0,0,0,1,0,1,125.0,157.2,78.48625,23.2525,133.72,110.4675,4,0,12,78.48625,2025-12-12,24.829,6.20725,1.3740095523685414,4.246,7.283,4,1.0,24.829,0
2025-12-12,19,344.0,168.0,243.0,83.0,672.0,275.0,0.0,7.0,0.0,168.0,1259.0,701.0,558.0,0,0,0,1,1,2,130.96,145.4,59.44625,1.0,117.8925,116.8925,4,0,12,59.44625,2025-12-12,23.591,5.89775,2.8103602823600164,2.897,9.221,4,1.0,23.591,0
2025-12-12,20,541.0,549.0,396.0,517.0,896.0,632.0,0.0,105.0,0.0,667.0,1833.0,2470.0,-637.0,0,0,0,1,1,2,130.32,147.9,183.35875,33.2525,333.46500000000003,300.2125,4,0,12,183.35875,2025-12-12,-0.03500000000000103,3.8512500000000003,5.530960457581788,-5.434,7.55,4,-1.0,0.03500000000000103,1
