tradeday,hour,ceps_in,ceps_out,apg_in,apg_out,mavir_in,mavir_out,pse_in,pse_out,de_in,de_out,total_import_cap,total_export_cap,net_capacity,ceps_congested_in,apg_congested_in,mavir_congested_in,pse_congested_in,de_congested_in,congested_in_count,last_price,total_amount,idm_mid_price,idm_bid,idm_ask,idm_spread,dayofweek,is_weekend,month,idm_price
2026-02-10,11,1006.0,94.0,1006.0,94.0,227.0,1341.0,300.0,0.0,0.0,94.0,2539.0,1623.0,916.0,0,0,0,0,1,1,129.91,144.5,146.1975,116.66,175.735,59.07500000000001,1,0,2,146.1975
2026-02-10,12,407.0,769.0,407.0,769.0,853.0,692.0,0.0,64.0,0.0,769.0,1667.0,3063.0,-1396.0,0,0,0,1,1,2,120.0,69.2,164.06875,127.395,200.7425,73.3475,1,0,2,164.06875
2026-02-10,13,89.0,1108.0,89.0,1123.0,767.0,503.0,,,0.0,1123.0,945.0,3857.0,-2912.0,0,0,0,0,1,1,128.0,281.0,128.30375,100.3375,156.26999999999998,55.9325,1,0,2,128.30375
2026-02-10,14,0.0,856.0,0.0,823.0,747.0,0.0,,,0.0,856.0,747.0,2535.0,-1788.0,1,1,0,0,1,3,145.18,141.5,186.7925,139.415,234.17000000000002,94.755,1,0,2,186.7925
2026-02-10,15,0.0,1148.0,0.0,32.0,502.0,0.0,,,0.0,560.0,502.0,1740.0,-1238.0,1,1,0,0,1,3,140.0,53.4,246.54625,181.91,311.1825,129.2725,1,0,2,246.54625
2026-02-10,16,0.0,564.0,0.0,564.0,698.0,0.0,0.0,114.0,0.0,564.0,698.0,1806.0,-1108.0,1,1,0,1,1,4,180.0,181.6,164.43625,153.14499999999998,175.7275,22.5825,1,0,2,164.43625
2026-02-10,17,0.0,460.0,0.0,460.0,930.0,0.0,0.0,119.0,0.0,460.0,930.0,1499.0,-569.0,1,1,0,1,1,4,193.0,108.0,179.485,159.1875,199.7825,40.595,1,0,2,179.485
2026-02-10,18,0.0,332.0,0.0,33.0,627.0,0.0,0.0,260.0,0.0,163.0,627.0,788.0,-161.0,1,1,0,1,1,4,172.99,157.6,168.6375,156.7925,180.4825,23.689999999999998,1,0,2,168.6375
2026-02-10,19,0.0,461.0,0.0,233.0,573.0,0.0,0.0,37.0,0.0,461.0,573.0,1192.0,-619.0,1,1,0,1,1,4,156.85,132.4,172.3725,149.97750000000002,194.76749999999998,44.78999999999999,1,0,2,172.3725
2026-02-10,20,0.0,300.0,0.0,1.0,1251.0,0.0,0.0,145.0,0.0,300.0,1251.0,746.0,505.0,1,1,0,1,1,4,137.01,0.5,136.7,124.9125,148.4875,23.575,1,0,2,136.7
