date,bess_net,spec_net,bess_gross,spec_gross,bess_enh_gross,bess_enh_net,portfolio_gross,portfolio_net,portfolio_enh_gross,portfolio_enh_net,cum_bess_gross,cum_spec_gross,cum_portfolio_gross,cum_bess_net,cum_spec_net,cum_portfolio_net,cum_bess_enh_gross,cum_portfolio_enh_gross,month
2025-10-09,-126.08733858088068,-334.53,92.165,-310.53,90.15999999999995,-128.09233858088072,-218.36499999999995,-460.61733858088064,-220.37,-462.6223385808807,81871.66000000003,14333.160000000003,96204.81999999999,20324.500520191643,8636.16,28960.660520191654,88294.26250000007,102627.42249999999,2025-10
2025-10-10,-166.80233858088064,-1195.25,51.45000000000003,-1171.25,46.79750000000003,-171.45483858088068,-1119.8,-1362.0523385808806,-1124.4524999999999,-1366.7048385808807,81923.11000000003,13161.910000000003,95085.01999999999,20157.698181610762,7440.91,27598.608181610773,88341.06000000007,101502.96999999999,2025-10
2025-10-11,-90.59733858088069,1025.79,127.655,1049.79,170.58000000000004,-47.67233858088065,1177.445,935.1926614191193,1220.37,978.1176614191193,82050.76500000003,14211.700000000004,96262.465,20067.100843029883,8466.7,28533.80084302989,88511.64000000007,102723.33999999998,2025-10
2025-10-12,-170.0523385808807,259.1700000000001,48.2,283.1700000000001,59.33,-158.9223385808807,331.37000000000006,89.11766141911937,342.50000000000006,100.24766141911937,82098.96500000003,14494.870000000004,96593.83499999999,19897.048504449,8725.87,28622.91850444901,88570.97000000007,103065.83999999998,2025-10
2025-10-13,140.2726614191193,-894.03,358.525,-870.03,536.36,318.1076614191193,-511.505,-753.7573385808807,-333.66999999999996,-575.9223385808807,82457.49000000002,13624.840000000004,96082.32999999999,20037.32116586812,7831.840000000001,27869.161165868132,89107.33000000007,102732.16999999998,2025-10
2025-10-14,391.91516141911944,1120.8,610.1675000000001,1144.8,654.225,435.97266141911933,1754.9675000000002,1512.7151614191193,1799.025,1556.7726614191192,83067.65750000002,14769.640000000003,97837.29749999999,20429.23632728724,8952.640000000001,29381.876327287253,89761.55500000008,104531.19499999998,2025-10
2025-10-15,261.1201614191193,950.27,479.3725,974.27,477.3075,259.0551614191193,1453.6425,1211.3901614191193,1451.5774999999999,1209.3251614191192,83547.03000000001,15743.910000000003,99290.93999999999,20690.35648870636,9902.910000000002,30593.266488706373,90238.86250000008,105982.77249999998,2025-10
2025-10-16,-90.28233858088069,-1322.3,127.97,-1298.3,144.51749999999998,-73.7348385808807,-1170.33,-1412.5823385808806,-1153.7825,-1396.0348385808807,83675.00000000001,14445.610000000004,98120.60999999999,20600.074150125478,8580.610000000002,29180.684150125493,90383.38000000008,104828.98999999998,2025-10
2025-10-17,-53.13983858088068,-2327.07,165.1125,-2303.07,203.6925,-14.559838580880694,-2137.9575,-2380.209838580881,-2099.3775,-2341.629838580881,83840.11250000002,12142.540000000005,95982.65249999998,20546.934311544595,6253.540000000003,26800.47431154461,90587.07250000008,102729.61249999997,2025-10
2025-10-18,-122.14233858088069,48.77000000000001,96.11,72.77000000000001,83.89000000000001,-134.36233858088067,168.88,-73.37233858088068,156.66000000000003,-85.59233858088066,83936.22250000002,12215.310000000005,96151.53249999999,20424.791972963714,6302.310000000003,26727.10197296373,90670.96250000008,102886.27249999998,2025-10
2025-10-19,-10.749838580880692,814.45,207.5025,838.45,230.19000000000003,11.937661419119337,1045.9525,803.7001614191194,1068.64,826.3876614191194,84143.72500000002,13053.760000000006,97197.48499999999,20414.042134382835,7116.760000000003,27530.802134382848,90901.15250000008,103954.91249999998,2025-10
2025-10-20,-194.1848385808807,123.37999999999994,24.06749999999999,147.37999999999994,31.872499999999995,-186.3798385808807,171.44749999999993,-70.80483858088076,179.25249999999994,-62.99983858088075,84167.79250000003,13201.140000000005,97368.93249999998,20219.857295801954,7240.140000000003,27459.997295801968,90933.02500000008,104134.16499999998,2025-10
2025-10-21,-98.84983858088069,1262.16,119.4025,1286.16,99.0675,-119.1848385808807,1405.5625,1163.3101614191194,1385.2275,1142.9751614191193,84287.19500000002,14487.300000000005,98774.49499999998,20121.007457221072,8502.300000000003,28623.307457221086,91032.09250000009,105519.39249999997,2025-10
2025-10-22,18.70516141911932,1134.68,236.9575,1158.68,445.6950000000001,227.44266141911942,1395.6375,1153.3851614191194,1604.3750000000002,1362.1226614191196,84524.15250000003,15645.980000000005,100170.13249999998,20139.71261864019,9636.980000000003,29776.692618640205,91477.7875000001,107123.76749999997,2025-10
2025-10-23,-49.274838580880726,1390.7,168.97749999999996,1414.7,217.575,-0.6773385808807006,1583.6775,1341.4251614191194,1632.275,1390.0226614191192,84693.13000000002,17060.680000000004,101753.80999999998,20090.43778005931,11027.680000000004,31118.117780059325,91695.36250000009,108756.04249999997,2025-10
2025-10-24,129.1351614191193,-299.1,347.3875,-275.1,328.285,110.03266141911934,72.28749999999997,-169.96483858088072,53.185,-189.0673385808807,85040.51750000002,16785.580000000005,101826.09749999999,20219.57294147843,10728.580000000004,30948.152941478445,92023.6475000001,108809.22749999996,2025-10
2025-10-25,-18.714838580880695,3455.43,199.5375,3479.43,204.81000000000003,-13.442338580880659,3678.9674999999997,3436.7151614191193,3684.24,3441.9876614191194,85240.05500000002,20265.010000000006,105505.06499999999,20200.85810289755,14184.010000000004,34384.86810289756,92228.45750000009,112493.46749999997,2025-10
2025-10-26,-19.43733858088069,1189.78,198.815,1213.78,218.17,-0.08233858088070178,1412.595,1170.3426614191194,1431.95,1189.6976614191192,85438.87000000002,21478.790000000005,106917.65999999999,20181.42076431667,15373.790000000005,35555.21076431668,92446.62750000009,113925.41749999997,2025-10
2025-10-27,-58.09483858088066,653.77,160.15750000000003,680.77,159.96749999999997,-58.28483858088072,840.9275,595.6751614191194,840.7375,595.4851614191193,85599.02750000003,22159.560000000005,107758.5875,20123.32592573579,16027.560000000005,36150.8859257358,92606.59500000009,114766.15499999997,2025-10
2025-10-28,-112.82733858088069,652.37,105.425,676.37,96.78,-121.47233858088069,781.795,539.5426614191193,773.15,530.8976614191193,85704.45250000003,22835.930000000004,108540.38249999999,20010.498587154907,16679.930000000004,36690.428587154915,92703.37500000009,115539.30499999996,2025-10
2025-10-29,-8.484838580880677,40.51999999999992,209.7675,63.51999999999992,220.6725,2.4201614191193244,273.2874999999999,32.03516141911924,284.19249999999994,42.94016141911924,85914.22000000003,22899.450000000004,108813.67,20002.013748574027,16720.450000000004,36722.46374857403,92924.04750000009,115823.49749999997,2025-10
2025-10-30,-42.39983858088067,648.4200000000001,175.85250000000002,669.4200000000001,212.7625,-5.489838580880701,845.2725,606.0201614191194,882.1825000000001,642.9301614191194,86090.07250000002,23568.870000000003,109658.9425,19959.613909993146,17368.870000000003,37328.48390999315,93136.81000000008,116705.67999999996,2025-10
2025-10-31,-81.03483858088069,1574.375,137.2175,1598.375,311.585,93.33266141911929,1735.5925,1493.3401614191193,1909.96,1667.7076614191192,86227.29000000002,25167.245000000003,111394.535,19878.579071412267,18943.245000000003,38821.824071412266,93448.39500000009,118615.63999999997,2025-10
2025-11-01,-87.9598385808807,940.71,130.2925,964.71,172.9425,-45.309838580880694,1095.0025,852.7501614191193,1137.6525000000001,895.4001614191193,86357.58250000002,26131.955,112489.5375,19790.619232831385,19883.955,39674.574232831386,93621.3375000001,119753.29249999997,2025-11
2025-11-02,-169.22233858088066,724.24,49.030000000000015,748.24,86.31750000000002,-131.93483858088067,797.27,555.0176614191193,834.5575,592.3051614191194,86406.61250000002,26880.195000000003,113286.80750000001,19621.396894250505,20608.195000000003,40229.59189425051,93707.6550000001,120587.84999999996,2025-11
2025-11-03,-65.2373385808807,-182.58,153.015,-158.58,189.2925,-28.9598385808807,-5.565000000000026,-247.81733858088072,30.712499999999977,-211.5398385808807,86559.62750000002,26721.615,113281.24250000001,19556.159555669623,20425.615,39981.774555669625,93896.9475000001,120618.56249999996,2025-11
2025-11-04,23.815161419119306,339.0,242.0675,355.0,222.0025,3.7501614191193084,597.0675,362.8151614191193,577.0025,342.7501614191193,86801.69500000002,27076.615,113878.31000000001,19579.974717088742,20764.615,40344.58971708875,94118.9500000001,121195.56499999996,2025-11
2025-11-05,-89.2148385808807,-115.75999999999996,129.0375,-91.75999999999996,116.84,-101.41233858088069,37.27750000000003,-204.97483858088066,25.08000000000004,-217.17233858088065,86930.73250000003,26984.855000000003,113915.58750000001,19490.759878507863,20648.855000000003,40139.61487850787,94235.7900000001,121220.64499999996,2025-11
2025-11-06,-80.70233858088068,160.86,137.55,184.86,138.35749999999996,-79.89483858088073,322.41,80.15766141911934,323.2175,80.96516141911928,87068.28250000003,27169.715000000004,114237.99750000001,19410.05753992698,20809.715000000004,40219.77253992699,94374.1475000001,121543.86249999996,2025-11
2025-11-07,88.31516141911936,219.76,306.56750000000005,243.76,300.13500000000005,81.88266141911936,550.3275000000001,308.07516141911935,543.895,301.64266141911935,87374.85000000003,27413.475000000002,114788.32500000001,19498.3727013461,21029.475000000002,40527.84770134611,94674.28250000009,122087.75749999996,2025-11
2025-11-08,-138.47733858088068,13.88000000000001,79.775,37.88000000000001,69.87000000000003,-148.38233858088066,117.65500000000002,-124.59733858088067,107.75000000000004,-134.50233858088063,87454.62500000003,27451.355000000003,114905.98000000001,19359.89536276522,21043.355000000003,40403.250362765226,94744.15250000008,122195.50749999996,2025-11
2025-11-09,-139.8273385808807,119.53000000000003,78.42499999999998,143.53000000000003,63.73249999999999,-154.5198385808807,221.955,-20.297338580880677,207.26250000000002,-34.98983858088067,87533.05000000003,27594.885000000002,115127.93500000001,19220.068024184337,21162.885000000002,40382.953024184346,94807.88500000008,122402.76999999996,2025-11
