datetime,hour,day_of_week,is_weekend,imbalance,baseline_12,baseline_9,error_12,error_9,abs_error_12,abs_error_9,imb_magnitude,proxy_lag1,proxy_rolling_mean4,proxy_rolling_std4
2025-11-12 12:00:00,12,2,0,7.314,-20.4125,-13.268900000000002,-27.7265,-20.582900000000002,27.7265,20.582900000000002,5-10,-40.8922,-46.813762499999996,4.559873724747504
2025-11-12 12:15:00,12,2,0,18.68,29.521,22.0142,10.841000000000001,3.334199999999999,10.841000000000001,3.334199999999999,10-20,-2.7771500000000002,-34.5838375,21.443505466511393
2025-11-12 12:30:00,12,2,0,13.701,18.9065,16.663500000000003,5.205500000000001,2.962500000000002,5.205500000000001,2.962500000000002,10-20,20.87095,-17.230324999999993,31.912728092160528
2025-11-12 12:45:00,12,2,0,17.556,10.2175,13.3529,-7.338500000000002,-4.203100000000001,7.338500000000002,4.203100000000001,10-20,15.548599999999999,-1.8124499999999952,27.952937823032695
2025-11-12 13:00:00,13,2,0,20.51,20.21775,18.56915,-0.2922500000000028,-1.940850000000001,0.2922500000000028,1.940850000000001,>20,15.640649999999999,12.320762500000006,10.368112269226451
2025-11-12 13:15:00,13,2,0,14.303,22.817,20.192800000000002,8.514,5.889800000000001,8.514,5.889800000000001,10-20,20.091200000000004,18.037850000000006,2.8393447151863476
2025-11-12 13:30:00,13,2,0,14.235,10.77625,13.043050000000001,-3.45875,-1.1919499999999985,3.45875,1.1919499999999985,10-20,16.8063,17.021687500000006,2.124896085447179
2025-11-12 13:45:00,13,2,0,12.103,18.69275,13.15395,6.58975,1.0509500000000003,6.58975,1.0509500000000003,10-20,12.7713,16.327362500000007,3.028366359213447
2025-11-12 14:00:00,14,2,0,18.42,21.12925,25.757450000000002,2.7092499999999973,7.3374500000000005,2.7092499999999973,7.3374500000000005,10-20,11.7185,15.346825000000008,3.8486895062897024
2025-11-12 14:15:00,14,2,0,18.456,14.7335,18.5223,-3.7225,0.0663000000000018,3.7225,0.0663000000000018,10-20,19.792299999999997,15.272100000000005,3.726841883774762
2025-11-12 14:30:00,14,2,0,10.501,15.919,16.268600000000003,5.418000000000001,5.767600000000003,5.418000000000001,5.767600000000003,10-20,18.27015,15.638062500000006,3.9902744783138244
2025-11-12 14:45:00,14,2,0,3.568,13.7105,14.299500000000002,10.1425,10.731500000000002,10.1425,10.731500000000002,2-5,11.103600000000002,15.221137500000005,4.450265473236719
2025-11-12 15:00:00,15,2,0,7.58,-17.241,0.5398000000000005,-24.820999999999998,-7.0402,24.820999999999998,7.0402,5-10,9.9171,14.770787500000004,4.982224141948691
2025-11-12 15:15:00,15,2,0,12.369,4.89175,8.17255,-7.47725,-4.1964500000000005,7.47725,4.1964500000000005,10-20,3.28795,10.644700000000006,6.137568716111712
2025-11-12 15:30:00,15,2,0,6.779,8.961,3.7244,2.1820000000000004,-3.0545999999999998,2.1820000000000004,3.0545999999999998,5-10,11.767149999999997,9.018950000000006,3.8965541736677034
2025-11-12 15:45:00,15,2,0,-2.077,21.95275,17.606550000000002,24.02975,19.683550000000004,24.02975,19.683550000000004,2-5,4.3332500000000005,7.326362500000005,4.151305512400438
2025-11-12 16:00:00,16,2,0,-13.202,-17.07175,-5.338150000000001,-3.8697500000000016,7.863849999999999,3.8697500000000016,7.863849999999999,10-20,5.8072,6.298887500000005,3.7891567565383255
2025-11-12 16:15:00,16,2,0,-6.432,-13.347,-10.866,-6.914999999999999,-4.433999999999999,6.914999999999999,4.433999999999999,5-10,-13.95135,1.9890625000000055,11.102269059849368
2025-11-12 16:30:00,16,2,0,-2.969,-3.06925,-1.32205,-0.10024999999999995,1.64695,0.10024999999999995,1.64695,2-5,-8.413999999999998,-3.0562249999999938,9.6708177045256
2025-11-12 16:45:00,16,2,0,-1.148,-1.00625,1.08995,0.14174999999999982,2.2379499999999997,0.14174999999999982,2.2379499999999997,<2,-3.3245000000000005,-4.970662499999994,8.394075135810077
2025-11-12 17:00:00,17,2,0,-7.75,-2.0575,-2.7109,5.6925,5.0390999999999995,5.6925,5.0390999999999995,5-10,-0.8413999999999999,-6.632812499999994,5.808585897671282
2025-11-12 17:15:00,17,2,0,-4.783,-24.3595,-12.7849,-19.5765,-8.0019,19.5765,8.0019,2-5,-3.2733499999999998,-3.9633124999999945,3.1853354894931454
2025-11-12 17:30:00,17,2,0,-2.312,0.71125,-0.94435,3.02325,1.3676499999999998,3.02325,1.3676499999999998,2-5,-9.717949999999998,-4.289299999999995,3.800054766052678
2025-11-12 17:45:00,17,2,0,-6.102,-6.0715,-8.4687,0.03049999999999997,-2.3667,0.03049999999999997,2.3667,5-10,-1.039,-3.7179249999999944,4.149256245099768
2025-11-12 18:00:00,18,2,0,4.093,3.68075,4.82735,-0.4122499999999998,0.7343500000000001,0.4122499999999998,0.7343500000000001,2-5,-8.03575,-5.516512499999994,4.044689144910712
2025-11-12 18:15:00,18,2,0,6.335,6.275,1.7312,-0.05999999999999961,-4.6038,0.05999999999999961,4.6038,5-10,3.7830999999999997,-3.7523999999999944,6.273786040209912
2025-11-12 18:30:00,18,2,0,4.277,5.78625,7.101450000000001,1.5092499999999998,2.8244500000000006,1.5092499999999998,2.8244500000000006,2-5,6.511449999999999,0.30495000000000516,6.376823863674691
2025-11-12 18:45:00,18,2,0,2.827,-1.73775,0.2084499999999999,-4.56475,-2.61855,4.56475,2.61855,2-5,5.8568,2.028900000000005,6.809808371630604
2025-11-12 19:00:00,19,2,0,-2.551,5.89725,-0.6493500000000003,8.44825,1.9016499999999998,8.44825,1.9016499999999998,2-5,1.34955,4.375225000000006,2.328364444016995
2025-11-12 19:15:00,19,2,0,-0.162,-4.06825,-0.27745,-3.90625,-0.11544999999999997,3.90625,0.11544999999999997,<2,-0.4902000000000002,3.306900000000005,3.4166415354354975
2025-11-12 19:30:00,19,2,0,-3.352,-1.1025,-5.181900000000001,2.2495,-1.8299000000000007,2.2495,1.8299000000000007,2-5,-0.7311,1.4962625000000052,3.0519386634764074
2025-11-12 19:45:00,19,2,0,1.079,-3.57975,-5.881150000000001,-4.65875,-6.9601500000000005,4.65875,6.9601500000000005,<2,-2.8122499999999997,-0.6709999999999946,1.7033177933075523
2025-11-12 20:00:00,20,2,0,-2.108,7.91175,-7.18685,10.01975,-5.078849999999999,10.01975,5.078849999999999,2-5,-1.2446000000000002,-1.3195374999999947,1.0436898672291144
2025-11-12 20:15:00,20,2,0,0.568,5.5035,1.5851000000000002,4.9355,1.0171000000000001,4.9355,1.0171000000000001,<2,-1.5700499999999997,-1.5894999999999944,0.8853064318821167
2025-11-12 20:30:00,20,2,0,-1.477,5.03925,-3.033149999999999,6.51625,-1.556149999999999,6.51625,1.556149999999999,<2,0.7431000000000001,-1.2209499999999944,1.4733361491294794
2025-11-12 20:45:00,20,2,0,5.093,1.023,-0.9972000000000002,-4.07,-6.0902,4.07,6.0902,5-10,-0.5221499999999999,-0.6484249999999946,1.0258499683180284
2025-11-12 21:00:00,21,2,0,-6.562,17.7435,-4.943100000000001,24.305500000000002,1.6188999999999991,24.305500000000002,1.6188999999999991,5-10,1.7779,0.10720000000000546,1.4611475267739973
2025-11-12 21:15:00,21,2,0,3.668,5.2125,-0.12489999999999979,1.5445000000000002,-3.7929,1.5445000000000002,3.7929,2-5,-3.95,-0.48778749999999466,2.4924231891788287
2025-11-12 21:30:00,21,2,0,0.295,7.66925,1.02725,7.37425,0.7322500000000001,7.37425,0.7322500000000001,<2,3.2034999999999996,0.12731250000000516,3.1216260395221522
2025-11-12 21:45:00,21,2,0,3.941,4.071,-0.6355999999999999,0.1299999999999999,-4.5766,0.1299999999999999,4.5766,2-5,1.04935,0.5201875000000051,3.111516026091234
2025-11-12 22:00:00,22,2,0,1.574,11.279,3.5292000000000003,9.705,1.9552000000000003,9.705,1.9552000000000003,<2,2.46385,0.6916750000000051,3.220918464894371
2025-11-12 22:15:00,22,2,0,4.636,3.61675,2.7659499999999997,-1.01925,-1.8700500000000004,1.01925,1.8700500000000004,2-5,3.2374,2.4885250000000054,1.0236921009252362
2025-11-12 22:30:00,22,2,0,0.98,4.228,1.2930000000000001,3.2479999999999998,0.31300000000000017,3.2479999999999998,0.31300000000000017,<2,4.47105,2.8054125000000054,1.433106407640963
2025-11-12 22:45:00,22,2,0,2.4,2.093,0.522,-0.30699999999999994,-1.878,0.30699999999999994,1.878,2-5,1.41965,2.897987500000005,1.2862974781473422
2025-11-12 23:00:00,23,2,0,0.607,1.32375,2.5931499999999996,0.71675,1.9861499999999996,0.71675,1.9861499999999996,<2,2.51855,2.9116625000000056,1.2804208984893235
2025-11-12 23:15:00,23,2,0,3.847,-4.4615,-1.5671000000000002,-8.3085,-5.4141,8.3085,5.4141,2-5,1.7125499999999998,2.530450000000005,1.3746401977717806
2025-11-12 23:30:00,23,2,0,4.963,17.16575,18.31135,12.202749999999998,13.34835,12.202749999999998,13.34835,2-5,-0.5897499999999999,1.2652500000000053,1.3210731168248264
2025-11-12 23:45:00,23,2,0,6.415,-9.10225,-2.5116500000000004,-15.51725,-8.92665,15.51725,8.92665,5-10,10.2614,3.4756875000000056,4.711632492631539
2025-11-13 00:00:00,0,3,0,2.062,2.81425,-2.04075,0.7522500000000001,-4.10275,0.7522500000000001,4.10275,2-5,3.903999999999999,3.8220500000000044,4.668544159763599
2025-11-13 00:15:00,0,3,0,-0.456,5.13,-0.46820000000000017,5.586,-0.012200000000000155,5.586,0.012200000000000155,<2,1.63465,3.802575000000005,4.680424664582209
2025-11-13 00:30:00,0,3,0,-0.301,3.04325,2.47525,3.34425,2.77625,3.34425,2.77625,<2,-0.002600000000000072,3.9493625000000048,4.5025835811921455
2025-11-13 00:45:00,0,3,0,6.509,-1.26925,-2.2186500000000002,-7.77825,-8.72765,7.77825,8.72765,5-10,0.60175,1.5344500000000045,1.7182606743440134
2025-11-13 01:00:00,1,3,0,-0.274,21.31975,14.103350000000002,21.59375,14.377350000000003,21.59375,14.377350000000003,<2,1.8903500000000002,1.031037500000005,0.8860888333696382
2025-11-13 01:15:00,1,3,0,-5.402,-3.25775,-4.96115,2.14425,0.4408500000000002,2.14425,0.4408500000000002,5-10,4.8214500000000005,1.8277375000000051,2.1462692881576357
2025-11-13 01:30:00,1,3,0,-3.331,-8.125,-9.161000000000001,-4.7940000000000005,-5.830000000000002,4.7940000000000005,5.830000000000002,2-5,-4.35985,0.7384250000000052,3.830104976259027
2025-11-13 01:45:00,1,3,0,-5.47,-0.09975,-4.56635,5.3702499999999995,0.9036499999999998,5.3702499999999995,0.9036499999999998,5-10,-4.972,-0.655012499999995,4.7900143961811965
2025-11-13 02:00:00,2,3,0,-11.978,-1.20275,-11.968950000000001,10.77525,0.009049999999998448,10.77525,0.009049999999998448,10-20,-5.2112,-2.4303999999999952,4.847840925779801
2025-11-13 02:15:00,2,3,0,-7.485,-10.05075,-9.74595,-2.5657500000000004,-2.2609500000000002,2.5657500000000004,2.2609500000000002,5-10,-10.115150000000002,-6.164549999999995,2.6580214555819266
2025-11-13 02:30:00,2,3,0,-5.652,-1.3635,-2.9029000000000003,4.2885,2.7491,4.2885,2.7491,5-10,-9.2501,-7.387112499999995,2.675834737166342
2025-11-13 02:45:00,2,3,0,-8.175,-7.83,-9.130400000000002,0.34500000000000064,-0.9554000000000009,0.34500000000000064,0.9554000000000009,5-10,-4.26455,-7.210249999999995,2.90245766119008
2025-11-13 03:00:00,3,3,0,-10.175,-7.42425,-9.474450000000001,2.750750000000001,0.7005499999999998,2.750750000000001,0.7005499999999998,10-20,-8.26255,-7.973087499999995,2.5856160843455323
2025-11-13 03:15:00,3,3,0,-4.152,-8.773,-5.8738,-4.6209999999999996,-1.7218,4.6209999999999996,1.7218,2-5,-9.860899999999999,-7.909524999999995,2.5176361348497704
2025-11-13 03:30:00,3,3,0,-6.942,-6.94725,-5.96065,-0.005250000000000199,0.98135,0.005250000000000199,0.98135,5-10,-4.54805,-6.734012499999995,2.768304500163552
2025-11-13 03:45:00,3,3,0,-10.268,-10.017,-8.1204,0.2510000000000012,2.1476000000000006,0.2510000000000012,2.1476000000000006,10-20,-6.2295,-7.225249999999995,2.3224670873163427
2025-11-13 04:00:00,4,3,0,-8.804,-15.82025,-10.30705,-7.016249999999999,-1.50305,7.016249999999999,1.50305,5-10,-9.08905,-7.4318749999999945,2.4771316545891837
2025-11-13 04:15:00,4,3,0,-6.43,-10.51475,-9.641950000000001,-4.08475,-3.2119500000000016,4.08475,3.2119500000000016,5-10,-9.820850000000002,-7.421862499999996,2.4640875121011323
2025-11-13 04:30:00,4,3,0,-5.428,-4.31925,-3.16285,1.1087499999999997,2.2651499999999998,1.1087499999999997,2.2651499999999998,5-10,-7.57765,-8.179262499999997,1.6006284413607916
