Delivery day;Period number;Period;Buy Orders (MW);Sell Orders (MW);Buy trades (MW);Sell trades (MW);Traded Quantity Difference (MW);Weighted average price of all trades (EUR/MWh);Total Traded Quantity (MW)
2025-12-12;29;07:00 - 07:15;159.6;290.8;9.8;44.8;-35.0;123.5;54.6
2025-12-12;30;07:15 - 07:30;231.1;277.2;8.5;35.6;-27.1;128.81;44.1
2025-12-12;31;07:30 - 07:45;306.1;367.6;9.0;16.0;-7.0;127.85;25.0
2025-12-12;32;07:45 - 08:00;734.8;189.0;27.8;29.4;-1.6;126.93;57.2
2025-12-12;33;08:00 - 08:15;1,092.8;924.7;57.4;88.0;-30.6;122.3;145.4
2025-12-12;34;08:15 - 08:30;645.7;418.2;43.2;83.7;-40.5;132.09;126.9
2025-12-12;35;08:30 - 08:45;866.1;267.1;56.5;77.0;-20.5;130.69;133.5
2025-12-12;36;08:45 - 09:00;1,718.2;252.4;51.4;90.7;-39.3;126.81;142.1
2025-12-12;37;09:00 - 09:15;2,188.2;1,020.6;110.9;84.6;26.3;137.7;195.5
2025-12-12;38;09:15 - 09:30;2,512.6;626.2;76.5;57.4;19.1;125.14;133.9
2025-12-12;39;09:30 - 09:45;3,678.2;961.8;30.0;45.9;-15.9;123.43;75.9
2025-12-12;40;09:45 - 10:00;935.2;3,098.3;17.6;35.4;-17.8;120.33;53.0
2025-12-12;41;10:00 - 10:15;1,505.4;2,498.8;53.6;35.5;18.1;124.92;89.1
2025-12-12;42;10:15 - 10:30;1,576.9;4,544.1;18.4;37.6;-19.2;118.99;56.0
2025-12-12;43;10:30 - 10:45;1,212.5;516.3;12.0;62.6;-50.6;117.54;74.6
2025-12-12;44;10:45 - 11:00;539.1;1,263.5;30.5;96.4;-65.9;114.85;126.9
2025-12-12;45;11:00 - 11:15;5,164.8;631.0;33.3;46.7;-13.4;122.16;80.0
2025-12-12;46;11:15 - 11:30;746.8;945.8;17.8;41.8;-24.0;125.39;59.6
2025-12-12;47;11:30 - 11:45;1,281.0;891.0;35.6;42.5;-6.9;116.98;78.1
2025-12-12;48;11:45 - 12:00;1,359.7;80.3;38.0;13.4;24.6;116.16;51.4
2025-12-12;49;12:00 - 12:15;343.5;222.2;23.9;22.4;1.5;102.44;46.3
2025-12-12;50;12:15 - 12:30;319.6;556.9;56.8;59.5;-2.7;99.12;116.3
2025-12-12;51;12:30 - 12:45;749.7;740.4;38.2;37.3;0.9;111.27;75.5
2025-12-12;52;12:45 - 13:00;1,205.7;547.8;27.6;23.2;4.4;113.41;50.8
2025-12-12;53;13:00 - 13:15;1,452.4;2,334.8;48.1;56.6;-8.5;113.65;104.7
2025-12-12;54;13:15 - 13:30;650.6;389.5;35.5;40.4;-4.9;119.78;75.9
2025-12-12;55;13:30 - 13:45;1,013.0;480.2;24.8;23.6;1.2;121.32;48.4
2025-12-12;56;13:45 - 14:00;1,662.0;676.1;40.7;46.6;-5.9;131.17;87.3
2025-12-12;57;14:00 - 14:15;543.1;432.2;31.8;31.5;0.3;114.68;63.3
2025-12-12;58;14:15 - 14:30;3,453.4;377.0;52.0;35.4;16.6;119.3;87.4
2025-12-12;59;14:30 - 14:45;4,998.0;2,699.4;65.1;65.4;-0.3;133.1;130.5
2025-12-12;60;14:45 - 15:00;2,139.1;4,561.3;99.5;112.6;-13.1;142.02;212.1
2025-12-12;61;15:00 - 15:15;327.9;566.0;58.1;60.5;-2.4;127.46;118.6
2025-12-12;62;15:15 - 15:30;663.3;1,021.5;59.0;71.4;-12.4;131.73;130.4
2025-12-12;63;15:30 - 15:45;582.7;513.5;68.6;82.7;-14.1;136.79;151.3
2025-12-12;64;15:45 - 16:00;318.1;1,049.1;65.8;40.2;25.6;137.81;106.0
2025-12-12;65;16:00 - 16:15;1,186.7;1,116.9;41.0;53.6;-12.6;130.28;94.6
2025-12-12;66;16:15 - 16:30;1,214.8;1,238.3;76.4;69.4;7.0;141.1;145.8
2025-12-12;67;16:30 - 16:45;1,294.8;1,162.6;75.8;41.3;34.5;146.07;117.1
2025-12-12;68;16:45 - 17:00;937.1;1,183.0;81.7;64.9;16.8;151.33;146.6
2025-12-12;69;17:00 - 17:15;1,405.7;877.2;77.6;51.2;26.4;140.89;128.8
2025-12-12;70;17:15 - 17:30;1,524.4;1,615.8;65.6;42.8;22.8;139.77;108.4
2025-12-12;71;17:30 - 17:45;1,657.5;633.1;35.1;48.2;-13.1;133.56;83.3
2025-12-12;72;17:45 - 18:00;759.4;741.4;44.2;76.4;-32.2;129.16;120.6
2025-12-12;73;18:00 - 18:15;714.9;580.6;35.2;41.0;-5.8;130.78;76.2
2025-12-12;74;18:15 - 18:30;622.3;498.6;41.1;40.1;1.0;128.63;81.2
2025-12-12;75;18:30 - 18:45;1,277.6;645.0;52.4;33.1;19.3;128.39;85.5
2025-12-12;76;18:45 - 19:00;925.2;854.5;39.8;38.6;1.2;127.81;78.4
2025-12-12;77;19:00 - 19:15;610.5;479.5;45.3;31.7;13.6;130.22;77.0
2025-12-12;78;19:15 - 19:30;469.6;545.6;28.1;41.2;-13.1;128.76;69.3
2025-12-12;79;19:30 - 19:45;581.0;3,368.5;42.1;52.1;-10.0;128.0;94.2
2025-12-12;80;19:45 - 20:00;599.9;563.7;18.9;63.8;-44.9;122.16;82.7
