lead_time,feature,importance,pct
9,reg_hist_std_80,1151.3939801752567,0.8690711381041454
9,proxy_acceleration,1084.7294526696205,0.8187528128496746
9,reg_hist_max_10,1056.7239398956299,0.7976142770584959
9,load_hist_std_10,1009.5221108794212,0.7619863790756789
9,proxy_rolling_mean10,993.5330025553703,0.7499178145289559
9,reg_hist_std_10,948.5765156149864,0.7159846987205021
9,reg_hist_range_10,914.7166897654533,0.6904273326983323
9,proxy_rolling_std4,905.6767727732658,0.6836040115032957
9,proxy_rolling_std10,895.0406001210213,0.6755758379752811
9,reg_hist_range_40,877.0102572441101,0.6619665514284989
9,proxy_vol_of_vol,865.2537007927895,0.6530927132191141
9,proxy_momentum,826.3456828892231,0.6237249763861649
9,reg_hist_min_10,768.5239606797695,0.5800811925963081
9,proxy_consecutive_same_sign,760.5826957821846,0.5740871330116991
9,reg_hist_std_20,754.4336647391319,0.5694458499245579
9,reg_hist_std_40,735.7439390420914,0.5553388618196619
9,proxy_abs_mean_4,671.5983247160912,0.5069218099620507
9,reg_abs_mean_10,648.8261929154396,0.48973342541097176
9,proxy_lag2,594.2640182375908,0.4485499451590621
9,reg_hist_mean_10,520.8460333943367,0.3931341163952816
9,reg_range,344.66106045246124,0.2601498576725311
9,proxy_last_sign,322.26664996147156,0.24324657682541967
9,proxy_last_positive,6.686359882354736,0.005046858410574141
6,baseline_pred,114805.95338705555,68.04527302036013
6,reg_cumulative_mean,14709.710124999285,8.718417573097627
6,reg_trend,6966.838251531124,4.129231951202753
6,hour_sin,5924.46249461174,3.5114177971731655
6,proxy_rolling_mean4,5063.667349308729,3.0012261307247243
6,hour_cos,4468.964494198561,2.6487468650761037
6,proxy_lag1,4231.157566174865,2.50779914532719
6,proxy_lag3,2827.2134124338627,1.6756840813585983
6,reg_hist_std_10,2391.5896603167057,1.4174907013774185
6,reg_range,1940.9007758796215,1.1503682457555249
6,reg_std,1915.174868285656,1.1351205486258626
6,proxy_lag2,1760.8104017972946,1.043629019162835
6,reg_hist_mean_10,1385.7116452753544,0.821308690433168
6,proxy_last_sign,325.6799286007881,0.19302988220635853
6,proxy_last_positive,2.1197099685668945,0.0012563481185408289
3,baseline_pred,159134.04298098385,72.5927645077941
3,reg_cumulative_mean,21119.614580933005,9.634212636401438
3,reg_trend,15469.87912800163,7.056951934773991
3,proxy_rolling_mean4,6636.66342882067,3.0274712838373565
3,hour_sin,6127.413964062929,2.7951650734352462
3,proxy_lag1,3249.37560595572,1.4822796790797403
3,reg_range,2694.8929403051734,1.229339272255325
3,reg_std,2692.9910022467375,1.2284716581421025
3,reg_hist_mean_10,2055.964752856642,0.9378770396619792
3,proxy_last_sign,33.90575730800629,0.015466914618719518
0,reg_cumulative_mean,136449.7502618255,44.98570323629792
0,baseline_pred,111216.79548795056,36.66672710732484
0,reg_trend,45576.59690958634,15.026009642090449
0,proxy_lag1,3837.8442817982286,1.2652872108363231
0,reg_std,3362.9220670238137,1.1087115500295304
0,reg_range,2818.9027959890664,0.9293554908602296
0,proxy_last_sign,55.22136092185974,0.018205762560712265
