date,rev_s1,rev_perfect,rev_naive,cap_s1,rev_s2,cap_s2,rev_s3,cap_s3,rev_s4,cap_s4
2025-10-03,401.21999999999997,404.86,175.42500000000004,0.9910092377612013,401.21999999999997,0.9910092377612013,386.26000000000005,0.9540581929555897,386.26000000000005,0.9540581929555897
2025-10-04,109.94,179.49500000000003,-48.91250000000001,0.6124961698097439,115.0575,0.6410067132789213,169.63250000000002,0.9450541797821665,169.63250000000002,0.9450541797821665
2025-10-05,213.46499999999997,300.255,267.57750000000004,0.7109456961582654,184.20749999999998,0.6135035220062945,196.22249999999997,0.6535195084178448,196.22249999999997,0.6535195084178448
2025-10-06,94.1875,284.4825,154.4975,0.33108363431845544,65.6225,0.23067324000597575,39.63499999999999,0.13932315696044567,39.63499999999999,0.13932315696044567
2025-10-07,442.8,530.4050000000001,296.51250000000005,0.8348337591086056,495.8725,0.9348940903649097,514.7375000000002,0.970461251307963,514.7375000000002,0.970461251307963
2025-10-08,320.9875,333.4925,226.65249999999997,0.962502904862928,322.3975,0.966730886001934,322.6275,0.9674205566841833,322.6275,0.9674205566841833
2025-10-09,92.16499999999999,159.58249999999998,35.9975,0.5775382639073834,88.49000000000001,0.5545094230257078,90.15999999999997,0.5649742296304417,90.15999999999997,0.5649742296304417
2025-10-10,51.45000000000003,93.24750000000002,-16.769999999999982,0.5517574197699673,46.79750000000003,0.5018633207324595,46.79750000000003,0.5018633207324595,46.79750000000003,0.5018633207324595
2025-10-11,127.655,186.545,113.105,0.6843120962770378,138.9425,0.7448202846498164,174.5625,0.9357661690208797,170.26250000000005,0.9127154305931547
2025-10-12,48.2,130.68,9.537499999999994,0.3688399142944597,63.870000000000005,0.4887511478420569,67.235,0.5145010713192532,67.235,0.5145010713192532
2025-10-13,358.525,561.51,403.8699999999999,0.6385015404890385,393.51750000000004,0.700820110060373,536.36,0.9552100585920109,536.36,0.9552100585920109
2025-10-14,610.1675000000001,669.9225000000001,531.7,0.9108031152857233,646.595,0.9651788079964472,654.225,0.9765681851258913,654.225,0.9765681851258913
2025-10-15,479.37249999999995,444.555,133.18250000000003,1.0783198929266344,477.3075,1.0736747983938995,477.3075,1.0736747983938995,477.3075,1.0736747983938995
2025-10-16,127.97,163.2175,82.07250000000002,0.784045828419134,127.97,0.784045828419134,144.51749999999998,0.8854289521650557,144.51749999999998,0.8854289521650557
2025-10-17,185.0675,211.0275,122.22499999999997,0.876982857684425,199.64749999999998,0.9460733790619705,203.6925,0.9652414969612965,203.6925,0.9652414969612965
2025-10-18,96.10999999999999,124.31250000000001,56.5925,0.7731322272498741,85.11500000000001,0.6846857717445952,83.89000000000001,0.6748315736551032,83.89000000000001,0.6748315736551032
2025-10-19,207.50249999999997,232.195,102.85750000000002,0.8936561941471607,179.0725,0.771216003789918,230.19000000000003,0.9913650164732231,230.19000000000003,0.9913650164732231
2025-10-20,24.06749999999999,153.48999999999998,-89.72500000000001,0.15680174604208738,31.872499999999995,0.20765196429734836,31.872499999999995,0.20765196429734836,31.872499999999995,0.20765196429734836
2025-10-21,119.4025,269.525,74.98999999999995,0.44301085242556354,121.6925,0.45150728132826273,99.0675,0.36756330581578706,99.0675,0.36756330581578706
2025-10-22,236.95749999999998,466.06500000000005,351.42750000000007,0.5084215720983124,446.0575,0.9570714385332517,445.69500000000005,0.9562936500273567,445.69500000000005,0.9562936500273567
2025-10-23,168.97749999999996,212.6075,28.507499999999993,0.7947861669978715,215.3175,1.012746492950625,217.575,1.0233646508237009,217.575,1.0233646508237009
2025-10-24,347.3875,359.33500000000004,247.65500000000003,0.966751081859546,328.285,0.9135903822338486,328.285,0.9135903822338486,328.285,0.9135903822338486
2025-10-25,199.5375,225.10000000000002,110.35500000000002,0.8864393602843179,213.455,0.9482674366948023,204.81000000000003,0.9098622834295869,204.81000000000003,0.9098622834295869
