date,pnl,pnl_raw,n_correct,n_traded,cum_pnl,cum_pnl_raw,accuracy,year,month_period
2025-02-10,-93.67,126.61000000000001,2,7,541.3100000000003,872.4400000000004,0.2857142857142857,2025,2025-02
2025-02-11,-291.56000000000006,-291.56000000000006,3,24,249.75000000000023,580.8800000000003,0.125,2025,2025-02
2025-02-12,565.8800000000001,565.8800000000001,19,24,815.6300000000003,1146.7600000000004,0.7916666666666666,2025,2025-02
2025-02-13,407.905,622.4499999999999,21,24,1223.5350000000003,1769.2100000000005,0.875,2025,2025-02
2025-02-14,-149.86000000000004,-149.86000000000004,10,24,1073.6750000000002,1619.3500000000004,0.4166666666666667,2025,2025-02
2025-02-15,-205.99999999999994,-205.99999999999994,1,24,867.6750000000002,1413.3500000000004,0.041666666666666664,2025,2025-02
2025-02-16,-283.34999999999997,-283.34999999999997,3,24,584.3250000000003,1130.0000000000005,0.125,2025,2025-02
2025-02-17,46.05000000000001,60.87000000000002,14,24,630.3750000000002,1190.8700000000006,0.5833333333333334,2025,2025-02
2025-02-18,445.71,445.71,15,24,1076.0850000000003,1636.5800000000006,0.625,2025,2025-02
2025-02-19,25.31999999999995,25.31999999999995,7,24,1101.4050000000002,1661.9000000000005,0.2916666666666667,2025,2025-02
2025-02-20,-612.76,-612.76,3,24,488.6450000000002,1049.1400000000006,0.125,2025,2025-02
2025-02-21,-132.78,-132.78,8,24,355.86500000000024,916.3600000000006,0.3333333333333333,2025,2025-02
2025-02-22,226.58999999999992,226.58999999999992,17,24,582.4550000000002,1142.9500000000005,0.7083333333333334,2025,2025-02
2025-02-23,-100.24999999999996,-100.24999999999996,13,24,482.2050000000002,1042.7000000000005,0.5416666666666666,2025,2025-02
2025-02-24,239.50000000000003,561.9900000000001,8,11,721.7050000000003,1604.6900000000005,0.7272727272727273,2025,2025-02
2025-02-25,210.175,203.78,16,24,931.8800000000003,1808.4700000000005,0.6666666666666666,2025,2025-02
2025-02-26,-89.13999999999992,-77.5499999999999,12,24,842.7400000000005,1730.9200000000005,0.5,2025,2025-02
2025-02-27,-0.7999999999999972,-34.349999999999994,3,4,841.9400000000005,1696.5700000000006,0.75,2025,2025-02
2025-02-28,20.379999999999995,26.769999999999982,2,3,862.3200000000005,1723.3400000000006,0.6666666666666666,2025,2025-02
2025-03-01,20.580000000000027,20.580000000000027,13,24,882.9000000000005,1743.9200000000005,0.5416666666666666,2025,2025-03
2025-03-02,762.5699999999999,762.5699999999999,14,24,1645.4700000000005,2506.4900000000007,0.5833333333333334,2025,2025-03
2025-03-03,420.70000000000005,505.3500000000001,20,24,2066.1700000000005,3011.8400000000006,0.8333333333333334,2025,2025-03
2025-03-04,413.2,523.61,20,24,2479.3700000000003,3535.4500000000007,0.8333333333333334,2025,2025-03
2025-03-05,84.14999999999995,9.069999999999926,15,24,2563.5200000000004,3544.5200000000004,0.625,2025,2025-03
2025-03-06,20.110000000000028,182.42000000000007,5,8,2583.6300000000006,3726.9400000000005,0.625,2025,2025-03
2025-03-07,-87.89499999999998,-116.93999999999998,12,24,2495.7350000000006,3610.0000000000005,0.5,2025,2025-03
2025-03-08,177.29999999999998,177.29999999999998,21,24,2673.0350000000008,3787.3000000000006,0.875,2025,2025-03
2025-03-09,157.41,157.41,16,24,2830.4450000000006,3944.7100000000005,0.6666666666666666,2025,2025-03
2025-03-10,24.51,169.68,2,2,2854.955000000001,4114.39,1.0,2025,2025-03
2025-03-11,145.38999999999993,145.38999999999993,8,24,3000.3450000000007,4259.780000000001,0.3333333333333333,2025,2025-03
2025-03-12,-149.23999999999998,-149.23999999999998,4,24,2851.105000000001,4110.540000000001,0.16666666666666666,2025,2025-03
2025-03-13,-118.63999999999997,-118.63999999999997,6,24,2732.465000000001,3991.900000000001,0.25,2025,2025-03
2025-03-14,-53.24000000000004,-53.24000000000004,9,24,2679.225000000001,3938.6600000000008,0.375,2025,2025-03
2025-03-15,-29.039999999999935,-29.039999999999935,10,24,2650.185000000001,3909.620000000001,0.4166666666666667,2025,2025-03
2025-03-16,-37.27999999999999,-37.27999999999999,8,24,2612.9050000000007,3872.3400000000006,0.3333333333333333,2025,2025-03
2025-03-17,87.9,87.9,10,24,2700.8050000000007,3960.2400000000007,0.4166666666666667,2025,2025-03
2025-03-18,37.56000000000002,37.56000000000002,16,24,2738.3650000000007,3997.8000000000006,0.6666666666666666,2025,2025-03
2025-03-19,0.0,116.74000000000005,0,0,2738.3650000000007,4114.540000000001,0.0,2025,2025-03
2025-03-20,-2.450000000000003,-2.450000000000003,8,24,2735.915000000001,4112.090000000001,0.3333333333333333,2025,2025-03
2025-03-21,-77.4,177.47,1,3,2658.515000000001,4289.560000000001,0.3333333333333333,2025,2025-03
2025-03-22,247.44999999999996,247.44999999999996,21,24,2905.9650000000006,4537.010000000001,0.875,2025,2025-03
2025-03-23,-67.48999999999997,-67.48999999999997,9,24,2838.475000000001,4469.520000000001,0.375,2025,2025-03
2025-03-24,94.84000000000013,94.84000000000013,16,24,2933.315000000001,4564.3600000000015,0.6666666666666666,2025,2025-03
2025-03-25,-4.919999999999988,351.9100000000001,0,1,2928.395000000001,4916.270000000001,0.0,2025,2025-03
2025-03-26,-12.375000000000014,12.189999999999985,15,24,2916.020000000001,4928.460000000001,0.625,2025,2025-03
2025-03-27,6.259999999999991,-12.57000000000004,1,1,2922.2800000000007,4915.890000000001,1.0,2025,2025-03
2025-03-28,31.459999999999997,-130.12000000000006,1,1,2953.7400000000007,4785.770000000001,1.0,2025,2025-03
2025-03-29,367.62,367.62,23,24,3321.3600000000006,5153.390000000001,0.9583333333333334,2025,2025-03
2025-03-30,-237.43999999999997,-237.43999999999997,2,23,3083.9200000000005,4915.950000000002,0.08695652173913043,2025,2025-03
2025-03-31,-152.33999999999992,-152.33999999999992,6,24,2931.580000000001,4763.6100000000015,0.25,2025,2025-03
2025-04-01,-6.949999999999992,-6.949999999999992,11,24,2924.630000000001,4756.660000000002,0.4583333333333333,2025,2025-04
2025-04-02,22.81000000000001,22.81000000000001,11,24,2947.440000000001,4779.470000000002,0.4583333333333333,2025,2025-04
2025-04-03,42.19000000000001,42.19000000000001,15,24,2989.630000000001,4821.660000000002,0.625,2025,2025-04
2025-04-04,11.680000000000009,270.26,1,1,3001.310000000001,5091.920000000002,1.0,2025,2025-04
2025-04-05,259.48,259.48,21,24,3260.790000000001,5351.4000000000015,0.875,2025,2025-04
2025-04-06,369.86,369.86,20,24,3630.650000000001,5721.260000000001,0.8333333333333334,2025,2025-04
2025-04-07,-8.960000000000012,-8.960000000000012,7,24,3621.690000000001,5712.300000000001,0.2916666666666667,2025,2025-04
2025-04-08,43.25999999999996,43.25999999999996,11,24,3664.9500000000007,5755.560000000001,0.4583333333333333,2025,2025-04
2025-04-09,65.67999999999998,65.67999999999998,16,24,3730.6300000000006,5821.240000000002,0.6666666666666666,2025,2025-04
2025-04-10,-87.81,-87.81,8,24,3642.8200000000006,5733.430000000001,0.3333333333333333,2025,2025-04
2025-04-11,71.65999999999998,-272.38,3,4,3714.4800000000005,5461.050000000001,0.75,2025,2025-04
2025-04-12,189.87,189.87,18,24,3904.3500000000004,5650.920000000001,0.75,2025,2025-04
2025-04-13,-108.24000000000004,-108.24000000000004,9,24,3796.11,5542.680000000001,0.375,2025,2025-04
2025-04-14,-100.24000000000001,-38.59999999999998,2,9,3695.87,5504.080000000001,0.2222222222222222,2025,2025-04
2025-04-15,16.92999999999999,16.92999999999999,14,24,3712.7999999999997,5521.010000000001,0.5833333333333334,2025,2025-04
2025-04-16,17.61000000000001,107.74000000000007,2,2,3730.41,5628.750000000001,1.0,2025,2025-04
2025-04-17,-0.049999999999998934,-44.85000000000002,1,2,3730.3599999999997,5583.900000000001,0.5,2025,2025-04
2025-04-18,7.829999999999999,-77.07000000000001,4,5,3738.1899999999996,5506.830000000001,0.8,2025,2025-04
2025-04-19,-120.44999999999999,-120.44999999999999,10,24,3617.74,5386.380000000001,0.4166666666666667,2025,2025-04
2025-04-20,937.6800000000001,937.6800000000001,22,24,4555.42,6324.060000000001,0.9166666666666666,2025,2025-04
2025-04-21,256.815,317.90999999999997,20,24,4812.235,6641.970000000001,0.8333333333333334,2025,2025-04
2025-04-22,-383.98,-383.98,1,24,4428.254999999999,6257.990000000002,0.041666666666666664,2025,2025-04
2025-04-23,-553.3499999999999,-553.3499999999999,0,24,3874.9049999999993,5704.640000000001,0.0,2025,2025-04
2025-04-24,-208.97,-208.97,1,24,3665.9349999999995,5495.670000000001,0.041666666666666664,2025,2025-04
2025-04-25,242.69000000000003,242.69000000000003,24,24,3908.6249999999995,5738.360000000001,1.0,2025,2025-04
2025-04-26,41.24000000000001,41.24000000000001,12,24,3949.865,5779.6,0.5,2025,2025-04
2025-04-27,1192.16,1192.16,23,24,5142.025,6971.76,0.9583333333333334,2025,2025-04
2025-04-28,-19.650000000000023,-19.650000000000023,10,24,5122.375,6952.110000000001,0.4166666666666667,2025,2025-04
2025-04-29,-65.49999999999999,-65.49999999999999,6,24,5056.875,6886.610000000001,0.25,2025,2025-04
2025-04-30,17.39,184.16,1,1,5074.265,7070.77,1.0,2025,2025-04
2025-05-01,-2.52,-176.03999999999996,0,1,5071.745,6894.7300000000005,0.0,2025,2025-05
2025-05-02,-1.9400000000000002,36.50999999999999,2,4,5069.805,6931.240000000001,0.5,2025,2025-05
2025-05-03,-376.59000000000003,-376.59000000000003,9,24,4693.215,6554.650000000001,0.375,2025,2025-05
2025-05-04,-17.08,-17.08,13,24,4676.135,6537.570000000001,0.5416666666666666,2025,2025-05
2025-05-05,-5.629999999999988,-5.629999999999988,15,24,4670.505,6531.9400000000005,0.625,2025,2025-05
2025-05-06,188.49,188.49,15,24,4858.995,6720.43,0.625,2025,2025-05
2025-05-07,-156.19999999999996,-156.19999999999996,8,24,4702.795,6564.2300000000005,0.3333333333333333,2025,2025-05
2025-05-08,78.52000000000005,38.92000000000006,4,7,4781.3150000000005,6603.150000000001,0.5714285714285714,2025,2025-05
2025-05-09,-16.040000000000006,-28.610000000000003,1,3,4765.275000000001,6574.540000000001,0.3333333333333333,2025,2025-05
2025-05-10,-376.14000000000004,-376.14000000000004,4,24,4389.135,6198.400000000001,0.16666666666666666,2025,2025-05
2025-05-11,-136.16999999999996,-136.16999999999996,12,24,4252.965,6062.2300000000005,0.5,2025,2025-05
2025-05-12,-81.6,-81.6,11,24,4171.365,5980.63,0.4583333333333333,2025,2025-05
2025-05-13,-93.59000000000005,-93.59000000000005,5,24,4077.7749999999996,5887.04,0.20833333333333334,2025,2025-05
2025-05-14,0.4400000000000066,0.4400000000000066,12,24,4078.2149999999997,5887.48,0.5,2025,2025-05
2025-05-15,7.469999999999974,7.469999999999974,10,24,4085.6849999999995,5894.95,0.4166666666666667,2025,2025-05
2025-05-16,220.7,220.7,18,24,4306.384999999999,6115.65,0.75,2025,2025-05
2025-05-17,-399.4,-399.4,3,24,3906.984999999999,5716.25,0.125,2025,2025-05
2025-05-18,-261.05000000000007,-261.05000000000007,8,24,3645.934999999999,5455.2,0.3333333333333333,2025,2025-05
2025-05-19,295.67,295.67,20,24,3941.604999999999,5750.87,0.8333333333333334,2025,2025-05
2025-05-20,-97.82,-97.82,11,24,3843.784999999999,5653.05,0.4583333333333333,2025,2025-05
2025-05-21,25.000000000000043,25.000000000000043,15,24,3868.784999999999,5678.05,0.625,2025,2025-05
2025-05-22,-56.62999999999997,-492.92999999999995,1,3,3812.154999999999,5185.12,0.3333333333333333,2025,2025-05
2025-05-23,-250.31000000000006,-250.31000000000006,3,24,3561.844999999999,4934.8099999999995,0.125,2025,2025-05
2025-05-24,9.750000000000021,9.750000000000021,15,24,3571.594999999999,4944.5599999999995,0.625,2025,2025-05
2025-05-25,-152.91,-152.91,3,24,3418.684999999999,4791.65,0.125,2025,2025-05
2025-05-26,3.550000000000012,-112.57000000000001,1,1,3422.234999999999,4679.08,1.0,2025,2025-05
2025-05-27,-2.3900000000000183,-2.3900000000000183,9,24,3419.8449999999993,4676.69,0.375,2025,2025-05
2025-05-28,24.099999999999994,-174.36000000000004,2,2,3443.9449999999993,4502.33,1.0,2025,2025-05
2025-05-29,437.37,437.37,17,24,3881.314999999999,4939.7,0.7083333333333334,2025,2025-05
2025-05-30,164.21999999999997,164.21999999999997,17,24,4045.534999999999,5103.92,0.7083333333333334,2025,2025-05
2025-05-31,-0.7300000000000555,-0.7300000000000555,13,24,4044.804999999999,5103.19,0.5416666666666666,2025,2025-05
2025-06-01,-35.82000000000002,-35.82000000000002,12,24,4008.9849999999988,5067.37,0.5,2025,2025-06
2025-06-02,33.26000000000001,-62.49999999999992,2,3,4042.244999999999,5004.87,0.6666666666666666,2025,2025-06
2025-06-03,78.14999999999998,78.14999999999998,14,24,4120.394999999999,5083.0199999999995,0.5833333333333334,2025,2025-06
2025-06-04,-306.71,-306.71,1,24,3813.6849999999986,4776.3099999999995,0.041666666666666664,2025,2025-06
2025-06-05,-11.94999999999997,-11.94999999999997,10,24,3801.7349999999988,4764.36,0.4166666666666667,2025,2025-06
2025-06-06,306.92,306.92,18,24,4108.654999999999,5071.28,0.75,2025,2025-06
2025-06-07,-197.86999999999998,-197.86999999999998,9,24,3910.784999999999,4873.41,0.375,2025,2025-06
2025-06-08,-657.5,-657.5,7,24,3253.284999999999,4215.91,0.2916666666666667,2025,2025-06
2025-06-09,-417.37,-520.83,3,24,2835.914999999999,3695.08,0.125,2025,2025-06
2025-06-10,168.865,238.55,21,24,3004.779999999999,3933.63,0.875,2025,2025-06
2025-06-11,-11.010000000000002,-168.13000000000002,1,4,2993.7699999999986,3765.5,0.25,2025,2025-06
2025-06-12,-51.3,83.91,3,6,2942.4699999999984,3849.41,0.5,2025,2025-06
2025-06-13,8.399999999999993,86.58,5,8,2950.8699999999985,3935.99,0.625,2025,2025-06
2025-06-14,-36.75999999999997,-36.75999999999997,9,23,2914.1099999999988,3899.23,0.391304347826087,2025,2025-06
2025-06-15,-68.68,-68.68,10,24,2845.429999999999,3830.55,0.4166666666666667,2025,2025-06
2025-06-16,-70.66999999999997,-70.66999999999997,15,24,2774.759999999999,3759.88,0.625,2025,2025-06
2025-06-17,28.09999999999995,28.09999999999995,10,24,2802.8599999999988,3787.98,0.4166666666666667,2025,2025-06
